group,ticker,start,end,r,name_return,universe_median,excess,percentile,n_universe
STOPPED,CANFINHOME,2026-07-13,2026-07-27,-2.94,-0.1290651081779065,-0.01341165266949762,-0.11565345550840889,1.4198782961460445,493.0
STOPPED,GLENMARK,2026-07-13,2026-07-27,-0.93,-0.04575673891908627,-0.01341165266949762,-0.03234508624958865,22.10953346855984,493.0
STOPPED,LINDEINDIA,2026-07-20,2026-07-27,-2.32,-0.0328735433067453,-0.007163719579434735,-0.025709823727310566,17.038539553752535,493.0
STOPPED,NATCOPHARM,2026-07-13,2026-07-27,-0.95,-0.05393139466364116,-0.01341165266949762,-0.04051974199414354,15.821501014198782,493.0
STOPPED,3MINDIA,2026-07-27,2026-08-03,-0.57,0.0215939764171047,0.01837662581890065,0.0032173505982040496,54.563894523326574,493.0
STOPPED,DELHIVERY,2026-07-06,2026-08-17,-1.05,-0.12248633007538456,-0.0011583579973326597,-0.1213279720780519,3.6511156186612577,493.0
STOPPED,GESHIP,2026-07-27,2026-08-17,-1.46,-0.07863881428962871,0.015680413795313486,-0.0943192280849422,4.259634888438134,493.0
STOPPED,NLCINDIA,2026-07-13,2026-08-17,-1.97,-0.08862629424235013,0.003364441713327615,-0.09199073595567775,10.953346855983773,493.0
STOPPED,CCL,2026-08-17,2026-08-24,-2.18,-0.042993623158524175,-0.006357151395894323,-0.03663647176262985,7.505070993914807,493.0
OPEN,INDUSINDBK,2026-07-06,2026-09-08,0.6761268781302173,-0.011982546773825375,-0.019732514095226472,0.007749967321401097,53.14401622718052,493.0
OPEN,NESTLEIND,2026-07-06,2026-09-08,-0.5267145135566202,-0.04510256272392188,-0.019732514095226472,-0.025370048628695407,40.16227180527384,493.0
OPEN,CUB,2026-07-06,2026-09-08,2.0488958990536257,0.04656454590259118,-0.019732514095226472,0.06629705999781765,69.5740365111562,493.0
OPEN,LTF,2026-07-09,2026-09-08,-0.043478260869565216,-0.039863027303775334,-0.012440704674959169,-0.027422322628816165,36.511156186612574,493.0
OPEN,SIEMENS,2026-07-20,2026-09-08,1.6146224643125462,0.07946848706567367,-0.020456794822992008,0.09992528188866567,79.3103448275862,493.0
OPEN,MRPL,2026-07-20,2026-09-08,0.17854889589905448,0.011935458499744644,-0.020456794822992008,0.03239225332273665,62.67748478701826,493.0
OPEN,HEG,2026-07-27,2026-09-08,1.2038461538461538,-0.6036781515654933,-0.011063374836008055,-0.5926147767294853,0.0,493.0
OPEN,M&MFIN,2026-07-27,2026-09-08,0.3504155124653731,0.03126723444494672,-0.011063374836008055,0.04233060928095478,67.13995943204868,493.0
OPEN,TVSMOTOR,2026-07-27,2026-09-08,0.6427162581008743,0.06624711057635801,-0.011063374836008055,0.07731048541236607,76.47058823529412,493.0
OPEN,GVT&D,2026-08-03,2026-09-08,-0.016754188547136083,0.08964698708351637,-0.03046521202140795,0.12011219910492432,86.00405679513185,493.0
OPEN,ENGINERSIN,2026-08-10,2026-09-08,2.132272228320527,0.12598808133286354,-0.029494961825284105,0.15548304315814765,94.32048681541582,493.0
OPEN,GRAPHITE,2026-08-10,2026-09-08,0.4240790655885001,0.01570061585644167,-0.029494961825284105,0.045195577681725774,71.19675456389453,493.0
OPEN,UNIONBANK,2026-08-10,2026-09-08,0.2872253864930841,0.011482841106675856,-0.029494961825284105,0.04097780293195996,69.1683569979716,493.0
OPEN,PTCIL,2026-08-10,2026-09-08,2.975049244911359,0.22509034589571497,-0.029494961825284105,0.2545853077209991,98.58012170385395,493.0
OPEN,HINDALCO,2026-08-11,2026-09-08,-0.588480222068009,-0.03822321658480743,-0.028969511414692395,-0.009253705170115034,43.40770791075051,493.0
OPEN,MCX,2026-08-17,2026-09-08,1.271231933929801,0.14220058670229907,-0.024171570015780297,0.16637215671807937,96.75456389452333,493.0
OPEN,APLAPOLLO,2026-08-17,2026-09-08,1.1111111111111114,0.05386873812967541,-0.024171570015780297,0.0780403081454557,86.81541582150102,493.0
OPEN,ADANIPORTS,2026-08-17,2026-09-08,0.12248322147650949,0.011235955056179803,-0.024171570015780297,0.0354075250719601,74.2393509127789,493.0
OPEN,IKS,2026-08-18,2026-09-08,-0.6682509505703415,-0.04383324917065168,-0.0204992251028272,-0.023334024067824477,28.397565922920894,493.0
OPEN,PHOENIXLTD,2026-08-24,2026-09-08,0.6458852867830461,-0.02432714039325168,-0.020174200891237337,-0.004152939502014341,43.81338742393509,493.0
OPEN,JSWSTEEL,2026-08-24,2026-09-08,0.5672268907563036,-0.022381274432460407,-0.020174200891237337,-0.00220707354122307,47.05882352941176,493.0
OPEN,SAIL,2026-08-24,2026-09-08,3.28849028400598,0.035903214172931186,-0.020174200891237337,0.05607741506416852,83.97565922920892,493.0
OPEN,USHAMART,2026-08-31,2026-09-08,1.3590604026845658,0.0018037756778548353,-0.011888928497577611,0.013692704175432446,64.90872210953347,493.0
OPEN,HINDZINC,2026-08-31,2026-09-08,-0.11838006230529487,8.394960440671895e-05,-0.011888928497577611,0.01197287810198433,63.48884381338742,493.0
