ticker,rows,first,last,status
STARCEMENT,2215,2017-06-19,2026-06-05,OK
STLTECH,3700,2011-06-06,2026-06-05,OK
SUDARSCHEM,3699,2011-06-06,2026-06-05,OK
SUNTECK,3700,2011-06-06,2026-06-05,OK
SUPRAJIT,3699,2011-06-06,2026-06-05,OK
SUVEN,3700,2011-06-06,2026-06-05,WARN
SWANCORP,3459,2012-05-29,2026-06-05,OK
SYMPHONY,3693,2011-06-15,2026-06-05,OK
TAKE,3698,2011-06-06,2026-06-05,OK
TASTYBITE,2274,2017-03-23,2026-06-05,OK
TATACAP,161,2025-10-13,2026-06-05,OK
TCI,3699,2011-06-06,2026-06-05,OK
TCIEXP,2340,2016-12-15,2026-06-05,OK
TEAMLEASE,2546,2016-02-12,2026-06-05,OK
TEGA,1108,2021-12-13,2026-06-05,OK
TENNIND,136,2025-11-19,2026-06-05,OK
TEXRAIL,3700,2011-06-06,2026-06-05,OK
THELEELA,252,2025-06-02,2026-06-05,OK
THOMASCOOK,3700,2011-06-06,2026-06-05,OK
THYROCARE,2492,2016-05-09,2026-06-05,WARN
TIMETECHNO,3700,2011-06-06,2026-06-05,OK
TMCV,141,2025-11-12,2026-06-05,OK
TMPV,3700,2011-06-06,2026-06-05,OK
TNPL,3699,2011-06-06,2026-06-05,OK
TRAVELFOOD,223,2025-07-14,2026-06-05,OK
TTKPRESTIG,3700,2011-06-06,2026-06-05,OK
TVSSRICHAK,3699,2011-06-06,2026-06-05,OK
TVTODAY,3699,2011-06-06,2026-06-05,OK
UFLEX,3699,2011-06-06,2026-06-05,OK
UJJIVANSFB,1606,2019-12-12,2026-06-05,OK
UNICHEMLAB,3700,2011-06-06,2026-06-05,OK
URBANCO,178,2025-09-17,2026-06-05,OK
VAIBHAVGBL,3699,2011-06-06,2026-06-05,OK
VAKRANGEE,3700,2011-06-06,2026-06-05,OK
VARROC,1952,2018-07-09,2026-06-05,OK
VENKEYS,3699,2011-06-06,2026-06-05,OK
VENTIVE,357,2024-12-30,2026-06-05,OK
VESUVIUS,3699,2011-06-06,2026-06-05,OK
VINATIORGA,3700,2011-06-06,2026-06-05,OK
VIPIND,3699,2011-06-06,2026-06-05,OK
VMART,3277,2013-02-20,2026-06-05,OK
VRLLOG,2742,2015-04-30,2026-06-05,OK
VSTIND,3700,2011-06-06,2026-06-05,OK
WABAG,3700,2011-06-06,2026-06-05,OK
ZYDUSWELL,3700,2011-06-06,2026-06-05,OK
