ticker,entry_date,exit_date,entry,exit,stop0,reason,held,r_gross,r_net,ret_gross,ret_net,rs_dist,stop_pct
360ONE,2023-01-18,2023-01-30,433.21790396582776,402.2030529024501,392.99186012177404,stop,7,-0.7710142012377464,-0.8229346038571911,-0.0715918035230236,-0.07641282401421605,0.027740416576984117,0.09285406599268056
360ONE,2023-02-06,2023-02-07,450.6470862391996,439.7885944864104,419.6327895144774,rule,1,-0.350112461010076,-0.4218886880053994,-0.024095333320374872,-0.029035094987073826,0.013353992915682955,0.06882169589411279
360ONE,2023-06-15,2023-06-23,420.9867470222263,401.60861634959446,389.3075211901321,stop,6,-0.6116983658420049,-0.6766143590335457,-0.046030262970745695,-0.05091518731331874,0.030360078370587074,0.07524993614685382
360ONE,2023-07-03,2023-08-03,434.40065838930576,487.8063792750908,401.60861634959446,rule,23,1.6286183343236296,1.5583111057780905,0.12294116008895031,0.11763380718872814,0.004927044665130831,0.07548801183059761
360ONE,2023-08-14,2023-08-29,495.8891599390448,486.31487122547645,456.98737696470306,rule,10,-0.24611439326272597,-0.3092351525228058,-0.019307316003328738,-0.02425904771332041,0.0199057560542637,0.07844854478997605
360ONE,2023-09-12,2023-09-18,534.0418631752416,508.06147254182156,470.0299104682688,rule,4,-0.4058678033515136,-0.4465673638104603,-0.048648603086935846,-0.05352698157921854,0.054123538739683896,0.11986317388374437
360ONE,2023-10-17,2023-10-31,531.6844041763985,503.73140883118657,476.6961787332198,rule,9,-0.5083451069737971,-0.5554195399393378,-0.05257441280135405,-0.05744297676935064,0.07236684537788873,0.10342267896376943
360ONE,2023-11-03,2023-11-06,518.8385014758153,516.7215733159037,482.25277253096885,rule,1,-0.0578621287853222,-0.12862469828016646,-0.00408012927701024,-0.009069928953817587,0.042302715878354435,0.07051467622541466
360ONE,2023-11-16,2023-11-17,543.8017750880801,531.6365699592743,490.5298599868746,rule,1,-0.22836057434193013,-0.27882986679200467,-0.02237066093952236,-0.02731473428717337,0.03138840695237577,0.09796201031630879
360ONE,2023-11-30,2023-12-21,546.4674880734798,614.9999905564332,490.5298599868746,rule,15,1.2251592501714283,1.1732502079775218,0.12541002708973295,0.12009650202200887,0.004736244830942482,0.10236222521454674
360ONE,2023-12-28,2024-01-03,655.8579218968432,660.2199237598508,607.9168499088739,rule,4,0.09098674022354329,0.022356764344671893,0.006650833537836916,0.001634206453992576,0.004404096346565689,0.07309673389217627
360ONE,2024-02-14,2024-03-05,673.9014139057207,691.5727235546655,582.2207379533286,rule,14,0.19274846597031112,0.15551395271886528,0.02622239586429626,0.02115683987463568,0.08834380347885396,0.13604464104183983
360ONE,2024-04-12,2024-05-03,719.3976726923713,763.4693979542221,640.588159611524,rule,13,0.5592183422912349,0.5121787460331864,0.06126197920117092,0.05610882425316804,0.03970386332802511,0.1095493022460024
360ONE,2024-05-23,2024-05-31,781.6122860969753,766.4605619651337,695.2415387716231,rule,6,-0.175426572086567,-0.22023551770766345,-0.01938521745545036,-0.024336754411811597,0.026594059153355776,0.11050331329443308
360ONE,2024-06-20,2024-07-15,836.4330312473281,918.9582588113564,723.9041363174808,rule,17,0.7333692169951199,0.6943705382301458,0.09866328143564912,0.0934166232320601,0.05930905166968059,0.13453425525536566
360ONE,2024-07-23,2024-08-06,967.5516165289254,973.8372027103659,858.8136861698725,stop,10,0.05780490911207806,0.01317032730541675,0.006496383318535452,0.0014801423602391602,0.013377908371930758,0.11238462992718493
360ONE,2024-08-19,2024-08-30,1060.0977367327957,1075.9267082065344,973.8372027103659,rule,9,0.18350189519604326,0.12159570399440267,0.014931615194768063,0.009894286156781293,0.018182165535520767,0.08137035957484773
360ONE,2024-09-06,2024-09-11,1100.8009342857151,1061.8183323109122,977.6000514976648,rule,3,-0.3164149565540614,-0.36029896163698394,-0.035412944121543534,-0.04032441176123948,0.006239695177100879,0.11191931161285994
360ONE,2024-10-17,2024-10-24,1106.6506262988778,999.878981574023,956.9754654356052,rule,5,-0.7133558040561593,-0.7485408273379647,-0.0964818002967619,-0.10124059579601995,0.09768578211767087,0.13525059969816453
360ONE,2024-11-28,2024-12-06,1120.8083712057771,1100.1124829553537,985.6201866721369,rule,6,-0.1530894753991867,-0.19416038817574696,-0.018465144249554966,-0.023418981388930938,0.047885306956578555,0.12061667989524683
360ONE,2024-12-11,2025-01-08,1182.4526923469723,1174.8823236349454,1029.0077038851928,rule,19,-0.049336044063195944,-0.08774288679577973,-0.006402259270940491,-0.01138625362276306,0.05146851945020048,0.12976839534883777
360ONE,2025-04-23,2025-05-05,1002.8284857683121,932.0218352336594,809.298432993907,rule,7,-0.36586901889181456,-0.3908632031704878,-0.07060693981025533,-0.07543042246072959,0.07400083015204717,0.1929841997120106
360ONE,2025-05-16,2025-06-02,1011.404902476323,994.1433929847467,864.3157879240636,rule,11,-0.11735409206942636,-0.15144139182586902,-0.01706686357690494,-0.0220241964179626,0.035917172925499674,0.14543049395165727
360ONE,2025-06-06,2025-07-10,1095.4372722628127,1181.6952277091134,919.5770863080934,rule,24,0.49049166517150433,0.4581203173361524,0.07874294369053204,0.07354608633130565,0.056251489910310815,0.1605388007215147
360ONE,2025-07-18,2025-07-23,1200.8857130614429,1127.6850065104165,1096.668240114446,rule,3,-0.7023842018147465,-0.758242654666411,-0.06095559781822554,-0.06580320882367982,0.010457433379833514,0.08678383947237833
360ONE,2025-10-13,2025-10-30,1073.2792131685203,1128.3500516452139,1000.5371972902916,rule,12,0.7570705569788307,0.6814048898182182,0.05131082182623678,0.04618254477167146,0.03336818977431988,0.06777548189299289
360ONE,2025-11-28,2025-12-05,1159.171134081352,1118.606475505526,1054.890547364441,rule,5,-0.3889953044275271,-0.44360224713130775,-0.034994538237853506,-0.03990705189225869,0.04341720129036242,0.08996133845202563
360ONE,2025-12-24,2026-01-12,1183.1319190187996,1134.3153426774516,1088.9058692238837,rule,12,-0.5180794106045822,-0.5795657847744675,-0.04126046771000217,-0.04615731654072701,0.029977721047098838,0.0796412033858912
360ONE,2026-04-17,2026-04-30,1077.743690292949,1038.199951171875,952.9435393175567,rule,9,-0.31685650066938664,-0.3592431409283792,-0.036691227679862624,-0.04159949961066283,0.0550876729597678,0.1157976169097028
360ONE,2026-05-07,2026-05-28,1084.0999755859375,1112.0999755859375,995.9269161674213,rule,15,0.31755731495146505,0.2552877292737274,0.025827876238874076,0.020763306548277016,0.015110939648642407,0.08133295950944026
360ONE,2026-06-16,2026-06-25,1143.199951171875,1109.9000244140625,1042.2895003837468,rule,7,-0.3299948270742453,-0.3858141192780949,-0.029128698548033793,-0.03405587680166359,0.025808130006048202,0.08827016716077234
3MINDIA,2019-02-12,2019-03-18,20216.807613671153,21980.19810587985,18718.173012790925,rule,22,1.1766647394721577,1.1062723207752245,0.08722398342536744,0.08200592346680428,0.047189601941810544,0.07412815264991744
3MINDIA,2019-03-26,2019-03-27,22574.757913461137,22249.233884876645,20723.32543774528,rule,1,-0.17582279281269925,-0.2363488886685664,-0.014419823673519211,-0.019383774114335367,0.0053256808622799134,0.0820133922504597
3MINDIA,2019-04-12,2019-04-26,22904.55415285292,21691.10292130498,20853.5605304735,stop,8,-0.5916406654352139,-0.6459992658076772,-0.0529786008254082,-0.05784615432334463,0.02352545905129655,0.0895452323014965
3MINDIA,2019-06-25,2019-07-05,21841.821926142962,21333.983787464447,20293.30235030354,rule,8,-0.32795073862932983,-0.3976557110223995,-0.023250722416643832,-0.028192595610602056,0.06428324379717498,0.0708969966459604
3MINDIA,2019-10-18,2019-11-14,21367.053331746378,20586.69191133844,18072.01959997397,rule,17,-0.23682956956807236,-0.2686606133890693,-0.036521714449437276,-0.04143041016331362,0.10495766856339217,0.15421095649519292
3MINDIA,2019-11-22,2019-11-27,21037.260275530265,21079.064768245924,19551.4236668441,rule,3,0.028135322868793795,-0.042727658965083244,0.001987164306004439,-0.003017803604760413,0.006124715457886731,0.07062880761210301
3MINDIA,2020-01-16,2020-02-13,20656.367474122926,20920.900524689612,19361.953090660292,rule,20,0.20436504256005317,0.12406373308373818,0.012806368346132373,0.00777435242526728,0.015609718699581387,0.06266418261023869
3MINDIA,2020-06-29,2020-07-02,17746.733186658766,17453.538973191924,15748.438525136095,rule,3,-0.1467222122504359,-0.19076010220434814,-0.016521024482818805,-0.0214797219216117,0.018909928955180177,0.112600704620099
3MINDIA,2020-07-09,2020-08-05,17977.77471143496,19375.224267465328,16421.29184546664,rule,19,0.897825210019892,0.8378293697257214,0.07773206520056715,0.07253773503756587,0.003243395973146601,0.08657817171211413
3MINDIA,2020-08-10,2020-08-13,20074.488710309557,20159.30432581975,18511.98844682433,rule,3,0.05428198477292299,-0.010092073229450731,0.004225044868347505,-0.0007855177438233157,0.007583200291227943,0.077835121284199
3MINDIA,2020-11-06,2020-11-27,18582.880704241026,19648.307642613785,17086.451660230625,rule,15,0.7119795907712636,0.6481088905535068,0.05733378776572594,0.05219045329631186,0.03835106172046654,0.08052729110341235
3MINDIA,2020-12-16,2020-12-21,21458.190746569024,20438.193076662308,19359.5448887623,rule,3,-0.4860265804792361,-0.5359354105795844,-0.047534187851778896,-0.052415352382149324,0.005014911864643423,0.09780162188847538
3MINDIA,2021-02-26,2021-04-06,20319.138754913445,26290.766720697713,18541.6321239443,rule,24,3.3595531300653256,3.293997952009256,0.29389178536616106,0.2881570559027457,0.04297077709404262,0.087479427765575
3MINDIA,2021-09-02,2021-09-13,23280.89232935792,22498.90420696224,20996.92337313854,rule,6,-0.3423812395813351,-0.3924911550550745,-0.03358926759905886,-0.03850529443006111,0.039798505239066584,0.09810487175095203
3MINDIA,2021-10-11,2021-10-22,23847.489337547388,23828.909934420873,21870.71560560043,rule,8,-0.009398851687600547,-0.06969457307121332,-0.0007790926274683845,-0.005777144895899607,0.013950545350258414,0.08289232061148534
3MINDIA,2021-11-03,2021-11-16,24576.89898264623,24228.381686068995,22378.381445397048,rule,8,-0.1585237737122198,-0.21402171703290312,-0.01418068637639454,-0.019145234660453366,0.027776895629361142,0.08945463537940886
3MINDIA,2022-04-19,2022-04-25,20159.259688776383,19267.510381152366,18222.630489312065,rule,4,-0.4604646609018803,-0.5113607876369738,-0.04423522100469276,-0.04912463295218086,0.0680918559289343,0.09606648405558917
3MINDIA,2022-06-01,2022-06-21,18765.848514371817,18551.24779086903,16240.803230278803,rule,14,-0.08498886133040982,-0.12193581881699998,-0.011435705842900445,-0.01640711657829306,0.07705866894666369,0.13455534835844002
3MINDIA,2022-06-28,2022-07-18,19073.34713107867,20791.07515186571,17238.98365006928,rule,14,0.936416385612861,0.8820863377575047,0.09005907610144225,0.08483392841118878,0.025075086927487833,0.09617417794595813
3MINDIA,2022-08-08,2022-08-11,22019.44761036993,21320.604557944647,19916.125533254,rule,2,-0.3322567951093513,-0.3837706034792777,-0.03173753787066699,-0.03665819402599029,0.0015971707092754528,0.09552110999030625
3MINDIA,2022-09-19,2022-09-22,22481.85638146438,21367.055697412732,20102.71196294919,rule,3,-0.4685720948152393,-0.5146484403048518,-0.04958668292938506,-0.05446271622206143,0.05097810463962493,0.10582508749040503
3MINDIA,2022-09-30,2022-10-12,22203.157378548716,22106.540453206806,20235.538698308974,rule,7,-0.04910348042138839,-0.1054021147512328,-0.004351494866007453,-0.009340616128842414,0.06809607600229128,0.08861886832999395
3MINDIA,2023-02-01,2023-02-07,22457.786096180847,21830.999865842557,20817.884113334116,rule,4,-0.3822095691659826,-0.4497269976850046,-0.02790952891143979,-0.03283975508916111,0.045608236616824005,0.07302153363753038
3MINDIA,2023-02-10,2023-02-14,22747.49641216627,22140.060439790162,21017.627323234417,rule,2,-0.3511456307663045,-0.41601695128870503,-0.026703420955425543,-0.03163666240303698,0.02278691919741993,0.07604657047035075
3MINDIA,2023-05-10,2023-05-16,23198.928884198955,22338.367591801507,21533.968927854672,rule,4,-0.5168660598222218,-0.5852420233138379,-0.03709487178020471,-0.04200213460075412,0.028361620329106163,0.07176882883926185
3MINDIA,2023-05-22,2023-06-23,23018.86976100448,25745.197891954256,21533.968927854672,rule,24,1.836033807837943,1.7539339353004664,0.11843883558385478,0.11314273849489534,0.022364314228884075,0.06450798186735172
3MINDIA,2023-06-27,2023-06-30,26551.90264662188,26469.114359551084,24897.96433142631,rule,2,-0.05005524469091532,-0.1301988276151409,-0.0031179794598006853,-0.008110184511151097,0.011429988562298155,0.062290764515363105
3MINDIA,2023-07-11,2023-07-19,26781.39741696731,27088.097583897783,24897.96433142631,rule,6,0.1628410211570519,0.09133662923782715,0.0114519852028395,0.0064233552398325604,0.005211896726965648,0.07032616917695844
3MINDIA,2023-08-01,2023-08-08,28003.597543159012,26663.65201616882,25604.25734727241,rule,5,-0.5584641683106787,-0.6154248794814499,-0.04784904957033018,-0.052729426946404305,0.023581760341222502,0.08567971283649359
3MINDIA,2023-08-14,2023-09-13,28451.904229675565,30721.11513273636,25771.84778513172,rule,21,0.8467026534760239,0.791505103921726,0.07975602914809436,0.0745566390752243,0.058148886465334115,0.0941960307088524
3MINDIA,2023-11-07,2023-11-16,30383.764167919864,30048.776125049768,28462.724275121782,rule,6,-0.17437849371372027,-0.25302410190687613,-0.011025231798757416,-0.01599766871926039,0.033928041020689026,0.06322586899309786
3MINDIA,2023-12-28,2024-01-11,34201.591402173726,33222.33324875184,29861.11766657821,rule,10,-0.2256108925141393,-0.2644453197898947,-0.02863194703155381,-0.03356036716397482,0.1258988231992617,0.1269085313766906
3MINDIA,2024-05-22,2024-07-19,30437.525393926822,37632.01796013995,27564.893619367576,rule,40,2.504495226269296,2.445255521448,0.23636916842289157,0.23077824550183437,0.05726735319968412,0.09437796724212082
3MINDIA,2024-07-31,2024-08-08,39127.87502243426,37255.04297041349,35535.964250319535,rule,6,-0.5214027215153089,-0.5745658725781317,-0.04786439465335055,-0.05274473366671708,0.014341420457159693,0.09179928043767453
3MINDIA,2024-11-01,2024-11-13,35519.99787542415,33071.256014140876,32035.051832769554,stop,8,-0.7026627762127384,-0.7518681678099325,-0.0689398087767773,-0.07376745925483533,0.07547876283537636,0.09811222553776644
3MINDIA,2025-04-16,2025-04-23,29783.389673713984,29498.288155447783,26331.33860345158,rule,4,-0.08258902098007766,-0.1255212347730902,-0.009572500692150035,-0.014548569440419623,0.05677329015590793,0.1159052447716887
3MINDIA,2025-05-22,2025-05-28,29793.221257560486,27764.01840041277,27348.053356513417,stop,4,-0.8298828298370726,-0.8887307719695179,-0.06810954879988936,-0.07293927492788954,0.01645923661372395,0.0820712832596633
3MINDIA,2025-07-11,2025-08-14,29350.819917929293,30600.0,27810.789976051004,rule,24,0.811140126631013,0.7138192592120172,0.042560312984906784,0.0374539122024446,0.032949237710590884,0.05246974177159335
3MINDIA,2025-09-02,2025-09-05,31315.0,30500.0,29166.008158015797,rule,3,-0.3792476007016833,-0.4511592278101935,-0.02602586619830752,-0.030960801532811704,0.02248394508982665,0.06862499894568748
3MINDIA,2025-11-06,2025-12-01,35700.0,35175.0,31141.840340356386,rule,17,-0.11517806290292339,-0.15405065913266003,-0.014705882352941176,-0.019669117647058823,0.19735879150645208,0.12767954228693595
3MINDIA,2025-12-15,2025-12-22,35465.0,35300.0,33400.221751955796,rule,5,-0.07991172909550508,-0.16559284287495007,-0.004652474270407444,-0.009640843084731385,0.017151042495923363,0.05822016771589465
3MINDIA,2026-01-02,2026-01-07,36070.0,34900.0,33400.221751955796,rule,3,-0.4382386442983066,-0.504695474609952,-0.032436928195176046,-0.037355835874687986,0.01981614347803351,0.07401658575115619
3MINDIA,2026-02-10,2026-02-16,36500.0,34905.0,32918.35247623003,rule,4,-0.4453257863635713,-0.49516667629349337,-0.0436986301369863,-0.04858938356164376,0.03949443496896299,0.09812732941835536
3MINDIA,2026-03-02,2026-03-05,35755.0,34690.0,33764.31550574632,rule,2,-0.5349918598724388,-0.6234601734140186,-0.029786043909942665,-0.03471157880016769,0.042951120375078755,0.05567569554618032
3MINDIA,2026-04-28,2026-05-07,33600.0,32500.0,30242.55700777724,rule,6,-0.32763028368554853,-0.3768492876664911,-0.03273809523809524,-0.03765625,0.060250394596474965,0.09992389857805836
3MINDIA,2026-05-25,2026-06-08,33950.0,31800.0,30444.551306999514,rule,10,-0.6133308994917023,-0.6602221862842365,-0.06332842415316642,-0.0681701030927835,0.04903465635023685,0.1032532751988361
3MINDIA,2026-06-19,2026-06-29,33250.0,32710.0,30716.710446770892,maxhold,5,-0.21316157851425957,-0.27825480869389096,-0.0162406015037594,-0.021199999999999934,0.007858638482089342,0.07618915949561227
AADHARHFC,2025-03-10,2025-03-24,427.8999938964844,415.0,363.24048249976636,rule,9,-0.19950651679590564,-0.2320964627949115,-0.03014721682750265,-0.03507184878543374,0.10420899376795822,0.15110893273898984
AADHARHFC,2025-04-03,2025-04-25,432.0,468.3500061035156,384.73313929205415,rule,13,0.7690378747198027,0.72141730120284,0.08414353264702691,0.07893317381540939,0.044321866727572434,0.10941402941654133
AADHARHFC,2025-07-02,2025-07-09,464.20001220703125,451.6499938964844,428.55585374382247,rule,5,-0.3520918672691,-0.41632749840686456,-0.027035799182507602,-0.031968209684551156,0.02862719959688409,0.07678620750942944
AADHARHFC,2025-07-16,2025-08-05,477.0,500.95001220703125,428.55585374382247,rule,14,0.494384028988377,0.44391611450416246,0.050209669197130505,0.04508414502413773,0.055495726915170795,0.10156005504439734
AADHARHFC,2025-08-21,2025-08-28,517.0,501.04998779296875,474.71618319517006,rule,4,-0.37721316125864335,-0.43740462839203803,-0.03085108744106625,-0.03577395972246354,0.009166424343901358,0.08178687969986449
AADHARHFC,2025-09-17,2025-09-29,544.0,515.0,490.3240054987106,rule,8,-0.5402787646403715,-0.5896024897915922,-0.05330882352941176,-0.0581755514705883,0.03457785499472266,0.0986691075391349
AADHARHFC,2026-04-17,2026-04-21,491.6000061035156,484.0,434.60821806290664,rule,2,-0.13335265245758407,-0.1761482919542926,-0.015459735575990414,-0.02042108623705031,0.0214117922227135,0.11593121914772371
AADHARHFC,2026-05-05,2026-05-15,499.5,474.8500061035156,454.01445445691303,rule,8,-0.5419302682240942,-0.5954829954954708,-0.04934933713009885,-0.05422596378727346,0.021636146407155943,0.09106215323941336
AADHARHFC,2026-06-22,2026-06-29,516.0,518.75,454.68527904444943,maxhold,5,0.044850566995054617,0.0026604540876617876,0.005329457364341085,0.00031613372093030305,0.064515339294692,0.11882697859602824
AARTIDRUGS,2021-12-13,2021-12-20,585.6826447438527,522.5787767545622,501.46690152671334,rule,5,-0.7493120119665198,-0.7822114847717675,-0.10774413166517657,-0.11247477133601358,0.08310542966626322,0.14379074396846947
AARTIDRUGS,2022-04-06,2022-04-26,500.6619494080058,476.4092571089519,429.76275977146344,rule,12,-0.34207291258733546,-0.37652574665799965,-0.04844125328024392,-0.053320150147043215,0.09125919404347171,0.141610900769222
AARTIDRUGS,2022-07-15,2022-07-25,435.6588964037971,422.86571367523504,387.0015975599116,rule,6,-0.2629242278657583,-0.30703501034227537,-0.029365135967990168,-0.03429172312807005,0.06509872207620537,0.11168668709748263
AARTIDRUGS,2022-08-18,2022-08-29,458.0839956128365,415.90108799866374,418.0701093196407,stop,7,-1.054206714766064,-1.1088118259271922,-0.09208553020443197,-0.09685531637892077,0.06953254495911376,0.08735054417184812
AARTIDRUGS,2022-09-09,2022-09-28,464.3076394119251,424.7921005691785,418.0701093196407,rule,13,-0.854620451479101,-0.9026928581478049,-0.08510637234570492,-0.08989360641484058,0.04651194099797973,0.09958382367097625
AARTIDRUGS,2022-10-06,2022-10-12,474.03834455012384,455.26848997732776,427.994579005022,rule,4,-0.40765246609576705,-0.45811026551364475,-0.03959564619315599,-0.044496657077672905,0.038442660391504235,0.09713088840692564
