,Supertrend + Pivot Poi,Triple Supertrend,44 MA,RSI + MACD + Stochasti,RSI Oversold,5 Star RSI,Flag Pattern Breakout,Consolidation Breakout,66 MA + Stochastic,RANDOM ENTRY CONTROL
2016,-0.09983233334316277,-0.06413978517426322,-0.007485013804578333,-0.025602697772247995,-0.03529332344594949,0.03109770659312261,-0.07164690257520567,-0.0030856205270262116,-0.042568080440993916,-0.019942741190363544
2017,0.4108795246028849,0.8405992149647648,0.2885718465126752,0.16991337910732374,0.42919242877056973,0.14025591034994367,0.7278944410209243,0.5677755082893614,0.37341742324630256,0.13168060432897488
2018,-0.28348717456876327,-0.3461256078355718,-0.386005475070352,-0.18638121282034859,-0.21145138757946347,-0.0838393222346514,-0.2809016407267979,-0.15093368447016664,-0.251590864666717,-0.22649786555234186
2019,0.06277953947869319,-0.14172491822641353,-0.27222580582015543,-0.14494034905243314,-0.11722782896955364,0.22632394959298008,-0.1864255809772294,0.2836200417218042,-0.012406067497238604,-0.12610254309560553
2020,0.22053077995777004,0.1509777548116331,-0.23452591503590892,0.42493457452123784,-0.14566137889235098,-0.03506522238005749,-0.020557587882102046,0.5489840977686982,-0.06950124823905524,0.054091823895005886
2021,0.14187002302847973,0.45793289274879556,0.4279447407195631,0.39274485763426603,0.20407289878216806,0.42781236108357956,0.3960352082578158,0.4552457111063861,0.061573486082892925,0.6419329983223563
2022,0.020530815672895386,-0.16781342969886404,-0.271467794421986,-0.08640034692246046,-0.11229630684356895,0.048222084105465246,0.043141163383545234,0.002423200924342561,-0.05528128130830834,-0.16773172794142166
2023,0.44132773101151934,0.45410689140317917,0.18575582354659592,0.1675585954323675,0.17123256197342362,0.5478770401500552,0.3888777252844644,0.12264211792545487,0.4332969644193829,0.4140053645719852
2024,0.04660148982050227,-0.01731815054493946,0.015474403500634226,-0.07841744834330888,-0.04591122855704877,0.057840354177847386,0.27428622440947215,0.3472351973378953,0.1949422497462634,0.19626453301791935
2025,-0.10599207687648282,-0.2109628058409846,-0.33936329287177336,-0.03200791272835013,-0.09934152324131484,-0.2287982687175555,-0.25376359939173976,-0.1467334890907822,-0.07877894973774702,-0.05718489468468946
2026,0.14699464523023464,0.008114264316610553,-0.013351379078157533,-0.10003605385965231,-0.12262982022957847,0.015280731094366784,0.09947597252546925,-0.10453353557814304,0.12668158660188866,-0.07082860996423412
