,swing,lowvol,blend,w_swing
2017-09-15,,,,
2017-09-18,0.009739293787695669,0.0091010998774112,0.009420196832553435,0.5
2017-09-19,0.0011392152350280238,-0.0012936049086944,-7.719483683318808e-05,0.5
2017-09-20,-3.793753587444382e-05,-0.0025554252317518,-0.001296681383813122,0.5
2017-09-21,-0.0010241573336715604,-0.0063539676811695,-0.00368906250742053,0.5
2017-09-22,-0.005657677924209792,-0.004232286347224,-0.004944982135716896,0.5
2017-09-25,-0.0008783015719650011,-0.0121577434611802,-0.006518022516572601,0.5
2017-09-26,0.0006115300391258405,-0.002713723220907,-0.0010510965908905798,0.5
2017-09-27,-0.003055769220991711,-0.008847916957506,-0.005951843089248856,0.5
2017-09-28,-0.0014559498583276431,0.0094298081013297,0.003986929121501028,0.5
2017-09-29,-0.0018033931038381468,0.0068035931680605,0.0025001000321111765,0.5
2017-10-03,-0.005738785737630536,0.0018605195905128,-0.0019391330735588682,0.37481240141373107
2017-10-04,0.00809489955061693,0.0022274663702885,0.004426653090742004,0.37481240141373107
2017-10-05,-0.004757323255790369,-0.0017979080659842,-0.002907133580055723,0.37481240141373107
2017-10-06,0.008568772233697342,0.0057012179928896,0.006776012884070879,0.37481240141373107
2017-10-09,-0.011486321228053042,0.0013630908645443,-0.003453028138636745,0.37481240141373107
2017-10-10,-0.005690138443757764,0.0012474469075189,-0.0013528461180058295,0.37481240141373107
2017-10-11,-0.013573179370271249,-0.0025860675965818,-0.006704173345079421,0.37481240141373107
2017-10-12,0.0028647886121651034,0.0118100491808099,0.008457254585804586,0.37481240141373107
2017-10-13,0.0012640706733164642,0.0084107505425929,0.005732086298654229,0.37481240141373107
2017-10-16,0.01633066907328029,0.0036566492249914,0.00840702903989385,0.37481240141373107
2017-10-17,-0.006676362600741115,0.0022055640019176,-0.0011234922372054148,0.37481240141373107
2017-10-18,-0.004696869118235636,-0.0019987491292389,-0.0030100379616171563,0.37481240141373107
2017-10-19,0.00364708812383685,-0.0036229003228636,-0.0008980184949057238,0.37481240141373107
2017-10-23,-0.005718754035968887,-0.0009463978968176,-0.002735136161734456,0.37481240141373107
2017-10-24,0.005646476888684138,0.0001396470439161,0.002203675162210412,0.37481240141373107
2017-10-25,0.0035732446640261983,-0.0173279376927961,-0.009493915341249229,0.37481240141373107
2017-10-26,0.006050594254569441,0.0013788942443668,0.003129905343875404,0.37481240141373107
2017-10-27,-8.56221575321614e-05,0.0005576620456471,0.00031655114866196255,0.37481240141373107
2017-10-30,-0.003357245813197962,0.0056258813615774,0.002258893892994901,0.37481240141373107
2017-10-31,-0.004556642590558546,-0.0011900022094832,-0.002451860775410489,0.37481240141373107
2017-11-01,-7.811352503273028e-05,0.0077668981083063,0.004826490458895841,0.37481240141373107
