tkr,sig_date,entry_date,entry,stop0,risk_pct,half_date,half_px,exit_date,exit_px,reason,held,R,gap_through,net_pnl,stt_paid
ESCORTS,2018-02-01,2018-02-06,846.6,780.15,2.0,,,2018-03-20,787.6,stall,28,-0.888,False,-20045.82,528.88
3MINDIA,2017-12-27,2018-01-01,18487.15,15962.86,2.0,,,2018-03-27,18020.42,stall,58,-0.185,False,-7206.39,377.6
HEG,2018-03-16,2018-03-19,566.28,505.23,2.0,,,2018-04-04,505.23,stop,10,-1.0,False,-22057.3,375.29
TVTODAY,2018-03-14,2018-03-16,362.26,298.22,2.0,,,2018-04-18,303.99,stall,21,-0.91,False,-21217.11,228.72
FSL,2018-02-12,2018-02-16,37.2,34.3,2.0,2018-04-02,43.00927549520105,2018-04-19,45.91,target3,41,2.5,False,52618.29,616.54
IBVENTURES,2018-04-13,2018-04-16,324.7,276.77,2.0,2018-04-24,420.5540999999999,2018-04-25,468.48,target3,7,2.5,False,55091.27,357.82
COFORGE,2018-04-25,2018-04-27,212.78,179.67,2.0,,,2018-05-04,179.67,stop,4,-1.0,False,-23343.6,270.91
AARTIIND,2018-04-16,2018-04-19,314.45,284.61,2.0,,,2018-05-21,284.61,stop,21,-1.0,False,-24179.77,453.58
DBL,2018-03-28,2018-04-04,1151.83,977.96,2.0,,,2018-05-25,1011.41,deep,36,-0.808,False,-18339.06,268.07
FLFL,2018-03-26,2018-04-02,407.63,377.47,2.0,2018-04-13,467.93837622017855,2018-05-29,430.25,stall_half,40,1.375,False,26966.81,600.62
ASTRAL,2018-03-22,2018-03-27,392.18,366.49,2.0,2018-05-30,443.56315435325604,2018-06-01,469.25,target3,45,2.5,False,49439.93,684.88
CUB,2018-05-30,2018-06-01,127.97,117.47,2.0,,,2018-06-19,121.15,stall,12,-0.65,False,-16792.87,543.67
TEAMLEASE,2018-06-15,2018-06-19,3295.0,2987.01,2.0,,,2018-06-25,2987.01,stop,4,-1.0,False,-24371.28,463.97
AIAENG,2018-05-16,2018-05-21,1519.01,1374.65,2.0,,,2018-06-28,1418.52,stall,28,-0.696,False,-18566.06,458.34
DMART,2018-05-25,2018-05-30,1544.0,1418.58,2.0,,,2018-06-28,1455.8,stall,21,-0.703,False,-16485.95,528.36
MPHASIS,2018-06-27,2018-06-28,942.64,880.99,2.0,,,2018-06-29,880.99,stop,1,-1.0,False,-23840.83,639.11
GSKCONS,2018-06-26,2018-06-28,6485.95,6113.88,2.0,,,2018-07-02,6594.0,stall,2,0.29,False,3615.67,759.48
GAIL,2018-06-29,2018-07-04,83.26,76.47,2.0,,,2018-07-06,83.43,stall,2,0.025,False,-411.42,515.91
VIPIND,2018-05-22,2018-05-25,400.45,356.36,2.0,,,2018-07-09,406.48,stall,31,0.137,False,1587.75,400.05
VBL,2018-06-27,2018-07-02,43.86,41.71,2.0,,,2018-07-17,41.71,stop,11,-1.0,False,-24969.1,844.37
VMART,2018-07-04,2018-07-09,706.69,617.46,2.0,,,2018-07-17,617.46,stop,6,-1.0,True,-22217.79,313.43
MERCK,2018-04-19,2018-04-24,1397.15,1138.04,2.0,2018-06-01,1915.3699636864515,2018-07-20,1650.53,stall_half,62,1.489,False,32797.83,278.38
JUSTDIAL,2018-05-25,2018-05-29,609.0,457.79,2.0,,,2018-08-30,552.0,stall,65,-0.377,False,-8694.8,170.84
ZYDUSWELL,2018-07-04,2018-07-06,278.7,255.87,2.0,2018-08-27,324.36407164477123,2018-09-03,347.2,target3,39,2.5,False,48799.33,563.55
GMRAIRPORT,2018-08-29,2018-09-03,18.96,17.01,2.0,,,2018-09-05,17.01,stop,2,-1.0,False,-23080.81,411.3
SUVEN,2018-09-05,2018-09-06,11.18,10.45,2.0,2018-09-07,12.647471324865268,2018-09-11,13.38,target3,3,2.5,False,52026.82,721.76
MAHINDCIE,2018-09-06,2018-09-11,284.94,258.87,2.0,,,2018-09-19,258.87,stop,5,-1.0,False,-23854.88,463.63
ASTRAL,2018-07-12,2018-07-17,480.25,456.87,2.0,2018-08-16,527.0093189353547,2018-09-21,479.87,stall_half,44,0.992,False,16829.81,859.32
VMART,2018-08-01,2018-08-06,709.18,603.21,2.0,,,2018-09-21,663.24,stall,30,-0.433,False,-10042.94,271.65
BBTC,2018-08-21,2018-08-27,1892.39,1525.11,2.0,,,2018-09-21,1525.11,stop,17,-1.0,False,-22245.64,200.47
PRAJIND,2018-09-12,2018-09-18,104.62,86.92,2.0,,,2018-09-21,86.92,stop,2,-1.0,False,-22610.05,235.8
AIAENG,2018-09-17,2018-09-21,1749.02,1670.77,2.0,,,2018-09-24,1670.77,stop,1,-1.0,False,-27082.02,928.09
EXCELCROP,2018-07-17,2018-07-20,3889.9,3500.5,2.0,2018-08-01,4668.7080000000005,2018-09-26,3899.9,deep_half,44,1.013,False,17594.98,419.43
VINATIORGA,2018-08-10,2018-08-16,659.05,575.82,2.0,,,2018-09-28,575.82,stop,28,-1.0,False,-22315.77,314.78
ERIS,2018-09-19,2018-09-24,736.12,673.52,2.0,,,2018-09-28,673.52,stop,4,-1.0,False,-23554.15,464.49
UBL,2018-09-25,2018-09-28,1393.07,1280.0,2.0,,,2018-10-01,1280.0,stop,1,-1.0,False,-20269.63,459.64
INDHOTEL,2018-09-28,2018-10-01,131.79,120.54,2.0,,,2018-10-03,120.54,stop,1,-1.0,False,-20219.53,420.41
SANOFI,2018-09-21,2018-09-24,4770.0,4362.13,2.0,,,2018-10-04,4362.13,stop,7,-1.0,False,-22244.37,461.85
ZENSARTECH,2018-09-27,2018-10-03,293.92,252.09,2.0,,,2018-10-05,263.27,stall,2,-0.733,False,-14208.54,242.87
ABFRL,2018-09-25,2018-09-28,184.33,170.36,2.0,,,2018-10-08,177.38,stall,5,-0.497,False,-11432.88,503.38
LTI,2018-09-21,2018-09-24,1889.95,1640.56,2.0,,,2018-10-11,1730.0,stall,12,-0.641,False,-13768.83,299.42
PRAJIND,2018-10-05,2018-10-08,89.53,86.07,2.0,2018-10-10,96.46060405303515,2018-10-11,99.92,target3,3,2.5,False,40335.32,946.17
AUROPHARMA,2018-10-09,2018-10-11,738.67,704.8,2.0,,,2018-10-12,704.8,stop,1,-1.0,False,-19512.91,772.25
DRREDDY,2018-10-09,2018-10-12,473.37,447.11,2.0,,,2018-10-16,490.55,stall,2,0.654,False,10480.74,654.08
ATUL,2018-10-12,2018-10-16,3184.02,3034.64,2.0,,,2018-10-22,3034.64,stop,3,-1.0,False,-20666.92,750.98
PRAJIND,2018-10-11,2018-10-12,101.78,91.78,2.0,,,2018-10-23,91.78,stop,6,-1.0,False,-19023.81,344.87
BIOCON,2018-10-19,2018-10-22,330.99,311.64,2.0,,,2018-10-23,311.64,stop,1,-1.0,False,-18657.11,584.49
ICICIBANK,2018-10-22,2018-10-24,318.25,304.68,2.0,,,2018-10-25,304.68,stop,1,-1.0,False,-18199.02,771.59
TIINDIA,2018-10-05,2018-10-10,282.35,264.65,2.0,,,2018-11-27,275.51,stall,31,-0.386,False,-10237.34,551.6
HEG,2018-10-25,2018-10-26,718.63,661.56,2.0,,,2018-12-10,668.72,stall,29,-0.874,False,-15114.91,400.17
ATUL,2018-10-23,2018-10-25,3126.28,2966.56,2.0,2018-11-15,3445.723646768622,2018-12-14,3286.93,stall_half,34,1.503,False,22567.44,674.22
GLENMARK,2018-12-11,2018-12-14,659.23,612.16,2.0,,,2019-01-15,651.16,stall,21,-0.171,False,-3725.41,468.26
ADANIENSOL,2019-01-10,2019-01-15,223.0,205.44,2.0,,,2019-01-24,205.44,stop,7,-1.0,True,-19426.16,419.8
BERGEPAINT,2018-12-10,2018-12-13,257.04,238.78,2.0,,,2019-01-28,252.61,stall,31,-0.242,False,-5643.95,463.3
COLPAL,2018-11-26,2018-11-27,1014.16,968.95,2.0,2018-12-13,1104.5755094449419,2019-02-05,1088.73,stall_half,49,1.825,False,28256.46,794.08
MUTHOOTFIN,2018-12-07,2018-12-10,423.27,376.82,2.0,,,2019-02-07,430.45,stall,42,0.154,False,2018.57,305.61
KSCL,2019-01-24,2019-01-28,564.56,524.73,2.0,,,2019-02-08,524.73,stop,9,-1.0,False,-18143.37,452.82
DIVISLAB,2019-02-04,2019-02-07,1567.27,1471.71,2.0,,,2019-02-15,1471.71,stop,5,-1.0,False,-17008.76,511.64
ICICIGI,2019-02-12,2019-02-15,865.93,815.52,2.0,2019-03-05,966.7438096612238,2019-04-09,1017.15,target3,34,2.5,False,37898.42,589.14
PRAJIND,2019-02-05,2019-02-08,127.45,109.55,2.0,,,2019-04-15,129.35,stall,42,0.106,False,1304.47,233.28
PFIZER,2019-02-27,2019-03-05,2862.97,2652.1,2.0,,,2019-04-30,2756.65,stall,35,-0.504,False,-9750.71,434.92
MERCK,2019-04-05,2019-04-10,2925.09,2722.42,2.0,,,2019-04-30,2722.42,stop,11,-1.0,False,-18794.77,477.19
AMBUJACEM,2019-04-24,2019-04-30,201.89,191.96,2.0,,,2019-05-03,197.0,stall,2,-0.493,False,-9461.01,672.76
BATAINDIA,2019-01-31,2019-02-05,1111.95,1014.23,2.0,2019-03-28,1307.392664609998,2019-05-15,1219.68,stall_half,63,1.551,False,24495.45,395.01
GILLETTE,2019-04-12,2019-04-16,7004.01,6093.46,2.0,,,2019-05-16,6093.46,stop,18,-1.0,False,-18506.09,247.34
MANAPPURAM,2019-05-14,2019-05-17,108.11,98.78,2.0,,,2019-05-21,110.22,stall,2,0.226,False,2394.27,388.56
NAUKRI,2019-01-22,2019-01-24,339.41,294.81,2.0,,,2019-05-22,366.36,stall,76,0.604,False,9278.53,267.43
ACC,2019-05-23,2019-05-28,1647.3,1517.92,2.0,,,2019-06-06,1517.92,stop,6,-1.0,False,-18369.36,430.45
HEIDELBERG,2019-05-16,2019-05-21,157.5,138.36,2.0,,,2019-06-26,152.14,stall,25,-0.28,False,-6548.27,277.33
BLUESTARCO,2019-04-26,2019-05-03,327.51,304.18,2.0,2019-05-28,374.1696699433402,2019-07-08,353.73,stall_half,45,1.562,False,22982.87,489.78
BAJAJFINSV,2019-05-17,2019-05-22,816.14,755.06,2.0,,,2019-07-08,755.06,stop,32,-1.0,False,-17987.51,442.23
UPL,2019-07-02,2019-07-05,663.79,586.35,2.0,,,2019-07-09,619.75,stall,2,-0.569,False,-10316.57,285.69
MERCK,2019-05-10,2019-05-15,3013.21,2711.4,2.0,2019-05-17,3616.8396415654897,2019-07-16,3918.65,target3,43,2.5,False,39839.9,369.67
SOBHA,2019-07-08,2019-07-09,538.12,511.0,2.0,,,2019-07-22,511.0,stop,9,-1.0,False,-18567.45,632.7
DCMSHRIRAM,2019-04-25,2019-05-02,436.41,366.5,2.0,2019-05-23,576.2295083808567,2019-07-23,453.12,stall_half,57,1.119,False,17323.69,225.03
OBEROIRLTY,2019-07-09,2019-07-10,583.19,517.94,2.0,,,2019-07-24,552.12,stall,10,-0.476,False,-8765.59,283.95
LALPATHLAB,2019-07-17,2019-07-22,520.94,492.51,2.0,,,2019-07-24,519.97,stall,2,-0.034,False,-2638.97,595.33
IGL,2019-07-19,2019-07-24,144.31,140.16,2.0,,,2019-07-25,140.16,stop,1,-1.0,True,-18049.84,1102.07
MASFIN,2019-07-25,2019-07-29,201.47,183.27,2.0,,,2019-08-01,189.88,stall,3,-0.637,False,-12172.24,338.99
APOLLOHOSP,2019-05-31,2019-06-06,1309.94,1183.94,2.0,,,2019-08-07,1312.88,stall,44,0.023,False,-864.42,363.32
TRENT,2019-08-02,2019-08-05,446.25,407.18,2.0,,,2019-08-07,444.26,stall,2,-0.051,False,-2003.7,349.56
NAUKRI,2019-07-22,2019-07-25,434.04,403.56,2.0,,,2019-08-13,434.45,stall,12,0.013,False,-1324.28,436.92
NAM-INDIA,2019-08-08,2019-08-14,205.91,189.27,2.0,,,2019-09-17,189.27,stop,21,-1.0,False,-17039.81,373.6
ASTRAL,2019-09-17,2019-09-19,650.09,613.06,2.0,,,2019-09-20,613.06,stop,1,-1.0,False,-17243.35,525.49
BERGEPAINT,2019-08-02,2019-08-07,281.6,266.61,2.0,2019-09-20,311.59170292105335,2019-09-23,326.59,target3,29,2.5,False,36235.82,615.16
ADANIGREEN,2019-09-20,2019-09-25,53.4,49.15,2.0,2019-10-03,61.89840305328369,2019-10-07,66.15,target3,7,2.5,False,39252.29,460.88
ADANIENSOL,2019-09-18,2019-09-23,227.0,220.23,2.0,2019-09-25,240.54090609741212,2019-10-11,223.9,stall_half,12,0.771,False,5532.03,1091.54
KOLTEPATIL,2019-10-03,2019-10-04,242.92,219.68,2.0,,,2019-10-17,238.39,stall,8,-0.195,False,-5565.4,354.38
FINPIPE,2019-09-17,2019-09-20,99.14,93.75,2.0,2019-09-23,109.9311697744054,2019-11-21,102.27,stall_half,40,1.29,False,16061.88,581.7
NAM-INDIA,2019-10-17,2019-10-22,239.96,214.89,2.0,2019-10-24,290.11836928618266,2019-11-21,315.2,target3,21,2.5,False,42921.31,383.1
ASIANPAINT,2019-07-22,2019-07-25,1394.09,1277.76,2.0,2019-09-23,1626.750868815268,2019-11-25,1587.79,stall_half,79,1.833,False,27385.04,395.58
BAJFINANCE,2019-10-07,2019-10-11,386.5,370.63,2.0,,,2019-12-09,385.59,stall,39,-0.058,False,-2478.47,830.99
GRANULES,2019-10-18,2019-10-24,114.44,94.91,2.0,,,2020-01-07,121.22,stall,51,0.347,False,5483.88,217.13
SWANENERGY,2020-01-03,2020-01-07,127.8,111.89,2.0,,,2020-01-30,111.89,stop,17,-1.0,False,-20150.77,277.23
TATACOMM,2019-11-25,2019-11-28,389.1,330.91,2.0,,,2020-02-12,384.41,stall,53,-0.081,False,-2744.67,241.5
ATGL,2020-01-24,2020-01-27,176.68,147.91,2.0,,,2020-02-26,152.19,deep,21,-0.851,False,-17166.03,225.11
ESSELPACK,2019-11-18,2019-11-21,131.98,115.41,2.0,2020-01-24,165.14145811179023,2020-02-27,181.72,target3,68,2.5,False,43785.01,337.65
CHOLAHLDNG,2019-12-04,2019-12-09,496.7,471.64,2.0,2020-01-14,546.8136597678524,2020-03-02,526.26,stall_half,58,1.59,False,23983.16,731.7
LUXIND,2020-01-09,2020-01-14,1450.4,1294.52,2.0,,,2020-03-04,1360.58,deep,35,-0.576,False,-12156.26,342.89
AARTIIND,2020-01-27,2020-01-30,488.16,414.01,2.0,,,2020-03-12,414.01,stop,28,-1.0,False,-20036.4,233.82
ABBOTINDIA,2020-02-07,2020-02-12,13397.16,12035.45,2.0,,,2020-03-12,12035.45,stop,19,-1.0,False,-20731.36,363.44
GARFIBRES,2020-02-24,2020-02-27,318.47,263.57,2.0,,,2020-03-12,263.57,stop,9,-1.0,True,-21044.87,209.15
MIDHANI,2020-02-27,2020-02-28,237.26,183.57,2.0,,,2020-03-12,183.57,stop,8,-1.0,False,-20137.38,153.61
PIIND,2020-02-28,2020-03-04,1533.72,1412.36,2.0,,,2020-03-12,1412.36,stop,5,-1.0,False,-20399.13,456.43
INDOCO,2020-03-03,2020-03-04,236.19,184.91,2.0,,,2020-03-12,184.91,stop,5,-1.0,False,-19619.94,154.4
SFL,2020-03-11,2020-03-12,776.6,741.13,2.0,,,2020-03-13,741.13,stop,1,-1.0,True,-22701.96,765.19
BAYERCROP,2020-03-09,2020-03-13,3676.04,3512.25,2.0,,,2020-03-16,3512.25,stop,1,-1.0,True,-18762.76,713.79
RATNAMANI,2020-03-09,2020-03-13,816.52,757.96,2.0,,,2020-03-16,757.96,stop,1,-1.0,False,-19019.34,437.28
JCHAC,2020-03-12,2020-03-13,3096.0,2507.49,2.0,,,2020-03-16,2507.49,stop,1,-1.0,False,-17085.26,154.86
IPCALAB,2020-03-13,2020-03-17,663.78,608.09,2.0,,,2020-03-19,608.09,stop,2,-1.0,False,-15490.69,339.83
NAVINFLUOR,2020-03-13,2020-03-17,1359.26,1106.29,2.0,,,2020-03-19,1106.29,stop,2,-1.0,True,-15140.02,145.02
PIDILITIND,2020-03-17,2020-03-18,777.07,716.71,2.0,,,2020-03-19,716.71,stop,1,-1.0,True,-15402.44,364.9
PFIZER,2020-03-13,2020-03-16,3797.74,3022.05,2.0,,,2020-03-20,3527.04,stall,4,-0.349,False,-6089.04,150.51
JBCHEPHARM,2019-11-21,2019-11-22,181.62,145.86,2.0,2020-02-06,253.1484349962416,2020-03-24,226.24,deep_half,84,1.624,False,28801.08,217.32
IPCALAB,2020-03-20,2020-03-23,796.22,647.0,2.0,,,2020-03-24,647.0,stop,1,-1.0,False,-14050.03,133.57
NAVINFLUOR,2020-03-26,2020-03-27,1322.02,1091.6,2.0,,,2020-03-31,1216.18,stall,2,-0.459,False,-6700.16,148.24
ABBOTINDIA,2020-03-26,2020-03-30,15487.62,13015.65,2.0,,,2020-04-01,14244.71,stall,2,-0.503,False,-7293.34,160.99
AJANTPHARM,2020-03-30,2020-03-31,832.25,743.27,2.0,,,2020-04-03,839.2,stall,2,0.078,False,162.17,246.08
DMART,2020-03-31,2020-04-01,2220.25,2147.85,2.0,,,2020-04-03,2147.85,stop,1,-1.0,True,-14672.52,798.52
IPCALAB,2020-03-31,2020-04-03,694.92,644.14,2.0,2020-04-08,796.5025762138079,2020-04-08,847.29,target3,2,2.5,False,31114.24,379.86
ABBOTINDIA,2020-04-01,2020-04-03,14678.37,13934.08,2.0,2020-04-08,16166.947582628727,2020-04-09,16911.24,target3,3,2.5,False,29930.82,533.48
DIVISLAB,2020-04-07,2020-04-08,2085.58,1861.82,2.0,,,2020-04-13,2313.54,stall,2,1.019,False,13194.3,263.78
AJANTPHARM,2020-04-08,2020-04-09,908.09,828.98,2.0,,,2020-04-20,828.98,stop,5,-1.0,False,-15431.84,314.65
INDOCO,2020-04-17,2020-04-20,240.79,222.71,2.0,,,2020-04-27,222.71,stop,5,-1.0,False,-16513.88,364.37
NAVINFLUOR,2020-04-03,2020-04-07,1288.7,1165.03,2.0,2020-04-27,1536.028131082598,2020-04-28,1659.69,target3,13,2.5,False,30784.87,297.14
HINDUNILVR,2020-04-07,2020-04-08,2200.56,1983.88,2.0,,,2020-04-30,1983.88,stop,14,-1.0,False,-13883.73,259.12
GRANULES,2020-04-22,2020-04-27,170.21,153.89,2.0,,,2020-05-04,153.89,stop,4,-1.0,False,-14800.41,274.78
ALKEM,2020-04-08,2020-04-13,2605.33,2187.31,2.0,,,2020-05-19,2231.29,deep,24,-0.895,False,-13629.93,168.61
ASTRAZEN,2020-05-04,2020-05-05,3249.78,2913.06,2.0,,,2020-05-19,2913.06,stop,10,-1.0,False,-14200.28,244.25
MIDHANI,2020-04-08,2020-04-13,208.3,174.31,2.0,,,2020-05-26,180.46,stall,28,-0.819,False,-12520.7,166.68
PFIZER,2020-04-23,2020-04-28,4369.36,3676.93,2.0,,,2020-06-01,3805.95,stall,22,-0.814,False,-12055.01,166.47
DEEPAKNTR,2020-04-27,2020-04-30,509.6,457.63,2.0,,,2020-06-12,457.63,stop,29,-1.0,True,-14795.13,258.52
TRIDENT,2020-06-10,2020-06-15,6.44,5.67,2.0,,,2020-07-16,5.67,stop,23,-1.0,False,-13772.88,203.53
FDC,2020-07-14,2020-07-16,259.36,234.3,2.0,,,2020-07-20,265.03,stall,2,0.226,False,2059.63,281.8
NAVINFLUOR,2020-05-14,2020-05-19,1493.52,1385.36,2.0,2020-07-07,1709.8312122558903,2020-07-27,1817.99,target3,48,2.5,False,30683.21,385.91
BPCL,2020-07-17,2020-07-20,151.32,132.45,2.0,,,2020-08-04,132.45,stop,11,-1.0,False,-14048.49,205.7
ASTRAZEN,2020-05-20,2020-05-26,3103.1,2553.81,2.0,,,2020-08-10,3315.88,stall,54,0.387,False,4370.88,147.42
ALKYLAMINE,2020-04-22,2020-04-27,678.46,554.79,2.0,2020-07-09,925.7985899429601,2020-08-11,1049.47,target3,74,2.5,False,33944.18,186.44
AFFLE,2020-07-03,2020-07-07,336.1,300.11,2.0,2020-08-11,408.0808309936524,2020-08-11,444.07,target3,25,2.5,False,32901.36,287.22
AARTIIND,2020-08-06,2020-08-11,523.58,496.04,2.0,,,2020-08-12,496.04,stop,1,-1.0,False,-16494.0,540.68
ATGL,2020-08-07,2020-08-12,163.23,152.59,2.0,2020-08-25,184.500585987206,2020-08-26,195.14,target3,10,2.5,False,34826.39,484.97
LAOPALA,2020-08-25,2020-08-28,217.5,187.42,2.0,,,2020-08-31,187.42,stop,1,-1.0,False,-16066.07,206.53
AJANTPHARM,2020-07-30,2020-08-04,1042.12,910.31,2.0,,,2020-09-01,910.31,stop,20,-1.0,False,-14533.37,204.68
ECLERX,2020-08-20,2020-08-25,269.09,226.67,2.0,,,2020-09-01,226.67,stop,5,-1.0,False,-15586.53,175.01
AEGISLOG,2020-08-27,2020-09-01,202.84,191.57,2.0,,,2020-09-03,191.57,stop,2,-1.0,False,-16191.3,505.04
ZYDUSLIFE,2020-04-03,2020-04-08,322.14,248.88,2.0,,,2020-09-08,357.82,stall,105,0.487,False,6311.55,124.53
ADANIENSOL,2020-09-01,2020-09-03,276.0,247.85,2.0,,,2020-09-21,247.85,stop,12,-1.0,False,-15312.03,267.54
GMMPFAUDLR,2020-08-05,2020-08-10,1753.66,1376.08,2.0,,,2020-09-23,1394.94,deep,32,-0.95,False,-13652.94,116.27
GMRAIRPORT,2020-07-22,2020-07-27,19.91,17.78,2.0,2020-08-28,24.180468875885012,2020-09-30,20.72,stall_half,47,1.19,False,15550.0,275.37
HERITGFOOD,2020-09-22,2020-09-23,172.28,146.6,2.0,,,2020-10-01,157.5,stall,6,-0.576,False,-8603.5,171.7
AIAENG,2020-08-21,2020-08-26,1793.27,1633.69,2.0,,,2020-10-16,1705.44,stall,36,-0.55,False,-9497.48,332.02
ADVENZYMES,2020-09-28,2020-10-01,312.32,268.26,2.0,,,2020-11-04,268.26,stop,23,-1.0,False,-14220.8,179.1
DRREDDY,2020-09-16,2020-09-21,1033.66,854.05,2.0,,,2020-11-09,954.52,stall,34,-0.441,False,-6478.95,155.72
NAUKRI,2020-05-27,2020-06-01,530.08,457.09,2.0,2020-08-10,676.0623456779233,2020-11-13,749.05,target3,118,2.5,False,31830.03,219.45
THYROCARE,2020-11-13,2020-11-14,935.57,306.29,2.0,,,2020-11-17,306.29,stop,1,-1.0,False,-13271.63,26.01
BLISSGVS,2020-09-25,2020-09-30,157.57,129.76,2.0,,,2020-11-23,160.05,stall,37,0.089,False,657.26,152.45
GRANULES,2020-08-31,2020-09-03,322.69,276.68,2.0,2020-11-25,414.7317458286583,2020-12-18,371.52,stall_half,74,1.531,False,21600.03,223.61
BIRLACORPN,2020-11-10,2020-11-13,722.32,649.04,2.0,,,2020-12-22,649.04,stop,26,-1.0,False,-13883.6,243.85
ASTRAZEN,2020-09-04,2020-09-08,4627.75,3594.2,2.0,,,2020-12-23,4227.66,stall,74,-0.387,False,-5921.62,121.64
NAVINFLUOR,2020-11-03,2020-11-05,2389.18,2134.09,2.0,,,2021-01-25,2483.55,stall,55,0.37,False,3935.85,248.05
TASTYBITE,2020-12-18,2020-12-22,12291.37,11048.27,2.0,,,2021-02-04,12192.44,stall,30,-0.08,False,-2648.15,256.09
POLYMED,2020-12-21,2020-12-23,513.02,444.18,2.0,,,2021-02-04,504.75,stall,29,-0.12,False,-2219.14,190.98
AMBER,2020-10-15,2020-10-19,2203.0,1963.04,2.0,2021-01-06,2682.93,2021-02-09,2922.89,target3,78,2.5,False,32505.26,279.4
ADANIENSOL,2021-01-20,2021-01-25,486.0,417.68,2.0,2021-02-12,622.6361878051758,2021-02-15,690.95,target3,14,2.5,False,32082.24,219.81
BANKINDIA,2021-02-04,2021-02-09,50.35,45.2,2.0,2021-02-17,60.65443201543408,2021-02-17,65.81,target3,6,2.5,False,33847.14,307.95
WOCKPHARMA,2020-11-18,2020-11-23,378.23,279.91,2.0,,,2021-02-25,454.6,stall,65,0.777,False,9567.73,108.47
AFFLE,2020-11-26,2020-12-02,753.77,629.97,2.0,2021-02-11,1001.3713073730469,2021-03-03,1125.17,target3,63,2.5,False,33416.17,200.3
ARVINDFASN,2021-02-12,2021-02-17,158.53,143.53,2.0,,,2021-03-19,143.53,stop,21,-1.0,False,-17421.49,327.73
AAVAS,2021-02-01,2021-02-04,1958.0,1778.37,2.0,2021-02-09,2317.260251220703,2021-03-23,2496.89,target3,32,2.5,False,32220.47,324.22
ATGL,2021-02-12,2021-02-17,520.14,377.25,2.0,2021-03-22,805.9224294257011,2021-03-24,948.81,target3,24,2.5,False,40129.02,159.17
JKTYRE,2021-01-19,2021-01-22,119.84,84.09,2.0,,,2021-03-25,107.47,stall,42,-0.346,False,-4844.35,83.68
ASHOKA,2021-02-01,2021-02-04,107.85,87.71,2.0,,,2021-03-25,97.55,deep,34,-0.511,False,-7300.46,136.09
QUESS,2021-03-18,2021-03-22,646.16,594.91,2.0,,,2021-04-05,594.91,stop,8,-1.0,False,-17883.14,399.17
HEG,2021-02-10,2021-02-15,230.39,201.3,2.0,2021-02-17,288.56758825306196,2021-04-06,317.66,target3,33,2.5,False,37517.59,278.9
ADANIGREEN,2021-03-19,2021-03-24,1297.2,1080.02,2.0,,,2021-04-13,1085.4,stall,12,-0.975,False,-16799.91,185.24
SCI,2021-02-26,2021-03-03,123.91,91.41,2.0,,,2021-04-19,91.41,stop,29,-1.0,False,-17273.84,111.86
IIFL,2021-01-29,2021-02-03,203.7,117.52,2.0,,,2021-04-23,238.37,deep,52,0.402,False,5096.9,68.03
ABCAPITAL,2021-02-22,2021-02-25,125.25,98.4,2.0,,,2021-04-28,119.35,stall,39,-0.22,False,-3863.31,149.04
ALKYLAMINE,2021-01-01,2021-01-06,2027.07,1487.69,2.0,2021-04-27,3105.84186362167,2021-05-12,3645.23,target3,84,2.5,False,32489.81,132.02
TTKPRESTIG,2021-02-10,2021-02-11,686.84,565.65,2.0,,,2021-05-14,702.79,stall,60,0.132,False,1362.49,170.82
SWSOLAR,2021-03-31,2021-04-06,282.95,249.75,2.0,,,2021-05-17,262.7,deep,26,-0.61,False,-10215.31,262.53
ICRA,2021-03-23,2021-03-25,3332.36,2852.65,2.0,,,2021-05-24,2994.43,stall,37,-0.704,False,-12523.87,220.06
CGCL,2021-03-30,2021-04-05,373.68,332.01,2.0,2021-05-28,457.0134426183361,2021-06-01,498.68,target3,38,2.5,False,39285.18,335.67
REDINGTON,2021-05-25,2021-05-28,86.95,76.3,2.0,2021-05-31,108.25673562073355,2021-06-10,118.91,target3,9,2.5,False,40563.69,313.74
VENKEYS,2021-05-11,2021-05-17,2137.48,1623.45,2.0,2021-06-22,3165.5560630262758,2021-06-23,3679.59,target3,27,2.5,False,40568.86,178.22
BHEL,2021-05-10,2021-05-14,71.44,57.37,2.0,,,2021-06-30,64.54,stall,33,-0.491,False,-8605.75,163.61
SPICEJET,2021-06-21,2021-06-23,81.25,64.94,2.0,,,2021-07-27,77.0,stall,23,-0.26,False,-5667.26,186.69
GLENMARK,2021-04-13,2021-04-19,559.85,475.74,2.0,,,2021-07-28,581.4,deep,69,0.256,False,3796.61,222.14
ABB,2021-05-27,2021-06-01,1647.7,1458.0,2.0,,,2021-08-03,1647.61,stall,44,-0.001,False,-1071.81,303.66
BHARATRAS,2021-04-27,2021-04-29,3235.6,2483.61,2.0,,,2021-08-16,3237.85,stall,75,0.003,False,-451.8,143.31
CRISIL,2021-06-07,2021-06-10,2190.08,1844.73,2.0,2021-07-19,2880.7886578475727,2021-08-18,2505.66,stall_half,48,1.457,False,25352.36,254.71
JAMNAAUTO,2021-05-19,2021-05-24,74.21,63.08,2.0,,,2021-08-20,74.85,stall,62,0.058,False,180.34,221.82
EQUITAS,2021-07-07,2021-07-12,134.7,93.66,2.0,,,2021-09-29,121.1,stall,54,-0.331,False,-6790.47,119.83
