tkr,entry_date,entry,stop0,rank,half_date,half_px,exit_date,exit_px,reason,held_weeks,R
UJJIVAN,2019-12-02,345.0,300.55,0.0427,,,2020-03-02,349.95,time,13,0.111
ATGL,2020-01-06,172.2,153.34,0.1145,,,2020-03-02,139.65,stop,8,-1.726
WELCORP,2020-01-06,129.26,114.06,0.0526,2020-02-10,192.41,2020-03-02,171.93,trail,8,2.404
GODREJPROP,2020-02-10,1168.8,990.0,0.1894,,,2020-03-09,900.0,stop,4,-1.503
JSL,2020-03-09,38.89,37.37,0.2096,,,2020-03-16,30.73,stop,1,-5.355
CANFINHOME,2020-01-27,448.39,368.47,0.1804,,,2020-03-23,285.6,stop,8,-2.037
AARTIIND,2020-02-03,470.33,414.42,0.1627,,,2020-03-23,344.14,stop,7,-2.257
HONAUT,2020-02-10,33940.04,27162.6,0.2641,,,2020-03-23,22689.96,stop,6,-1.66
VBL,2020-03-16,65.04,52.83,0.3116,,,2020-03-23,42.1,stop,1,-1.878
RATNAMANI,2020-03-16,816.59,614.69,0.4545,,,2020-03-30,568.09,stop,2,-1.231
SFL,2020-03-16,782.5,631.05,0.3773,,,2020-04-07,647.0,stop,3,-0.895
FINEORG,2020-03-16,2149.84,1704.26,0.4246,,,2020-06-15,1944.34,time,13,-0.461
TIMKEN,2020-03-16,850.99,682.53,0.3721,,,2020-06-15,837.84,time,13,-0.078
ALKYLAMINE,2020-03-23,430.95,400.28,0.6184,2020-04-13,552.48,2020-06-22,812.99,time,13,7.228
DIVISLAB,2020-03-23,1794.52,1582.18,0.4862,2020-04-13,2313.54,2020-06-22,2265.04,time,13,2.108
GMMPFAUDLR,2020-03-30,793.92,625.21,0.7752,2020-04-27,1204.11,2020-06-29,1376.13,time,13,2.725
MIDHANI,2020-03-31,171.19,126.99,0.5215,,,2020-06-29,201.81,time,13,0.693
INDOCO,2020-04-07,217.3,166.4,0.683,,,2020-07-06,199.97,time,13,-0.34
ESSELPACK,2020-04-13,153.1,132.47,0.4963,,,2020-07-13,177.65,time,13,1.19
APLLTD,2020-04-13,641.32,516.12,0.4774,,,2020-07-13,892.83,time,13,2.009
POLYMED,2020-05-18,276.58,214.37,0.4339,2020-08-10,406.52,2020-08-17,397.22,time,13,1.97
GRSE,2020-06-15,165.92,136.48,0.1766,,,2020-09-14,166.19,time,13,0.009
JKCEMENT,2020-06-22,1371.08,1134.42,0.2442,,,2020-09-21,1546.13,time,13,0.74
TIMKEN,2020-06-22,911.1,803.6,0.1724,2020-08-31,1125.53,2020-09-21,1096.5,time,13,1.862
TRENT,2020-06-29,675.83,554.58,0.3107,,,2020-09-28,637.79,time,13,-0.314
LALPATHLAB,2020-07-13,868.59,780.05,0.138,,,2020-10-12,976.26,time,13,1.216
THYROCARE,2020-07-20,176.57,156.37,0.0426,2020-08-24,230.7,2020-10-19,302.06,time,13,4.105
HONAUT,2020-08-24,34611.91,29880.75,0.1354,,,2020-10-19,30132.13,stop,8,-0.947
INDOSTAR,2020-08-31,310.5,254.3,0.0899,,,2020-12-01,295.2,time,13,-0.272
SUDARSCHEM,2020-09-21,509.42,422.35,0.1653,,,2020-12-21,469.71,time,13,-0.456
INDOCO,2020-09-21,269.46,217.79,0.1304,,,2020-12-21,266.53,time,13,-0.057
KRBL,2020-09-29,274.34,232.99,0.1433,,,2020-12-28,236.94,time,13,-0.904
IDBI,2020-10-19,36.34,31.56,0.1036,,,2020-12-28,30.62,stop,10,-1.198
GRSE,2020-10-05,201.24,158.22,0.1678,,,2021-01-04,185.98,time,13,-0.355
HINDZINC,2020-10-19,128.13,117.31,0.0399,2020-12-01,151.59,2021-01-18,181.25,time,13,3.454
VMART,2020-12-01,564.86,500.05,0.001,2021-02-15,720.32,2021-03-01,667.08,time,13,1.789
INDOSTAR,2020-12-10,349.95,294.9,0.0293,,,2021-03-08,327.0,time,13,-0.417
RELCAPITAL,2021-03-15,13.8,10.5,0.1051,,,2021-04-19,9.7,stop,5,-1.242
INFIBEAM,2021-03-30,23.82,20.25,0.0102,,,2021-04-26,20.25,stop,4,-1.0
TTKPRESTIG,2021-02-15,712.73,566.22,0.0082,,,2021-05-17,689.96,time,13,-0.155
ITDC,2021-03-01,322.3,257.06,0.081,,,2021-05-31,378.93,time,13,0.868
GESHIP,2021-03-01,259.72,214.58,0.0643,,,2021-05-31,342.43,time,13,1.832
ICRA,2021-03-23,2909.01,2554.19,0.0402,,,2021-06-21,3046.06,time,13,0.386
GUJALKALI,2021-04-12,373.68,305.62,0.0632,,,2021-07-12,399.85,time,13,0.385
PIIND,2021-04-12,2462.49,2168.72,0.044,,,2021-07-12,2968.66,time,13,1.723
EPL,2021-06-22,252.64,223.57,0.0057,,,2021-07-19,220.39,stop,4,-1.109
TEAMLEASE,2021-04-26,3120.0,2764.65,0.0586,2021-07-19,3860.0,2021-07-26,3960.05,time,13,2.182
SPARC,2021-05-17,225.0,187.0,0.1339,,,2021-08-16,280.0,time,13,1.447
HERITGFOOD,2021-06-07,197.03,157.23,0.1022,,,2021-09-06,222.7,time,13,0.645
MUTHOOTFIN,2021-06-07,1405.69,1175.19,0.1002,,,2021-09-06,1410.34,time,13,0.02
AUBANK,2021-07-12,592.51,508.33,0.1038,,,2021-10-11,607.96,time,13,0.184
PRESTIGE,2021-07-19,320.74,294.64,0.0491,2021-09-06,419.22,2021-10-18,453.34,time,13,3.54
SYNGENE,2021-07-19,650.5,569.46,0.0395,,,2021-10-18,608.71,time,13,-0.516
