ticker,week_end,entry,base_hi,base_lo,stop_pct,base_range_pct,sma30,sma44,ext_vs_30w_pct,ext_vs_44w_pct,mansfield,vol_x,year,is_member,adv20,liquid,band
DIVISLAB,2024-05-31,4261.52099609375,4130.722675277681,3314.472264521033,22.22,24.63,3702.8575439453125,3672.2351684570312,15.09,16.05,7.25,3.24,2024,True,2817802878.634094,True,15-20%
DRREDDY,2020-01-31,599.7617797851562,597.9418945063584,452.77243242366217,24.51,32.06,532.8132039388021,528.2086896029385,12.57,13.55,10.42,3.68,2020,True,2534754392.0263977,True,10-15%
ECLERX,2023-06-02,805.43212890625,776.2422103718,609.7672238469312,24.29,27.3,698.9142557779948,702.9647563587536,15.24,14.58,8.9,4.79,2023,True,224015706.520459,True,10-15%
EPIGRAL,2024-02-23,1212.054443359375,1107.6170918287582,862.4965381560382,28.84,28.42,961.3310791015625,969.8897427645596,26.08,24.97,9.55,8.67,2024,True,234148203.55086058,True,20-25%
EPL,2024-07-05,218.93258666992188,197.51590062464678,162.29989890993556,25.87,21.7,184.07736155192057,184.1620698408647,18.94,18.88,2.0,7.42,2024,True,542927808.4280059,True,15-20%
ESSELPACK,2024-07-05,218.93258666992188,197.51590062464678,162.29989890993556,25.87,21.7,184.07736155192057,184.1620698408647,18.94,18.88,2.0,7.42,2024,False,542927808.4280059,True,15-20%
EXIDEIND,2018-05-11,242.24356079101562,234.738571803543,178.26605590256867,26.41,31.68,203.04031117757162,200.14322558316317,19.31,21.04,13.3,4.72,2018,True,768686251.296148,True,20-25%
FDC,2023-07-07,331.08880615234375,320.4857575574131,239.66804152392126,27.61,33.72,272.61729990641277,275.29952690818095,21.45,20.26,12.26,2.93,2023,True,264426340.123967,True,20-25%
FEDERALBNK,2025-10-24,227.39999389648438,218.67621963798794,182.04795241464896,19.94,20.12,199.92328694661458,195.46731810136274,13.74,16.34,8.43,3.45,2025,True,2507647257.7969384,True,15-20%
FINEORG,2024-07-05,5321.9716796875,5030.35778990608,4005.3994383407353,24.74,25.59,4480.784562174479,4516.325378417969,18.77,17.84,2.02,3.64,2024,True,287937385.4515381,True,15-20%
FIVESTAR,2024-10-18,886.427734375,859.7701688947984,674.2132451682158,23.94,27.52,763.282889811198,750.3776938698509,16.13,18.13,7.59,2.52,2024,True,2971504730.119995,True,15-20%
FLFL,2019-03-15,470.3822021484375,447.6032560947621,356.1885206805063,24.28,25.66,405.6641326904297,410.68535752729935,15.95,14.54,7.81,2.06,2019,True,30331288.293862917,False,10-15%
FORTIS,2021-01-08,178.27684020996094,160.9858005035545,120.24246397766333,32.55,33.88,136.85613072713215,132.27687402205035,30.27,34.78,2.11,3.34,2021,True,630051831.05224,True,>25%
FORTIS,2023-06-16,308.2579650878906,293.153103481646,243.96301685142663,20.86,20.16,274.3201039632161,276.139853737571,12.37,11.63,5.78,3.0,2023,True,355060033.43866426,True,10-15%
