,swing,lowvol,usd,qual
2017-09-18,0.0097392937876956,0.0091010998774112,0.006623576409395149,0.0052403308445627
2017-09-19,0.001139215235028,-0.0012936049086944,-0.0028966353348426344,0.0075125078065212
2017-09-20,-3.793753587444382e-05,-0.0025554252317518,-0.0076335693285490835,-0.0060827071203023
2017-09-21,-0.0010241573336715,-0.0063539676811695,-0.012493739589324093,-0.01042944789564
2017-09-22,-0.0056576779242097,-0.004232286347224,-0.031849349948795735,-0.0236412420777234
2017-09-25,-0.000878301571965,-0.0121577434611802,-0.0027273836711395605,-0.0258135080168865
2017-09-26,0.0006115300391258,-0.002713723220907,0.012719598397772813,0.0014214601497666
2017-09-27,-0.0030557692209917,-0.008847916957506,-0.029248935376525176,-0.0175157401950689
2017-09-28,-0.0014559498583276,0.0094298081013297,0.007944825889871332,-0.0053718669702474
2017-09-29,-0.0018033931038381,0.0068035931680605,0.00977511528345465,0.004550402839953
2017-10-03,-0.0057387857376305,0.0018605195905128,0.000483701455915142,0.0024717169472956
2017-10-04,0.0080948995506169,0.0022274663702885,0.000161944017881277,0.0101830778514542
2017-10-05,-0.0047573232557903,-0.0017979080659842,0.0077824414789398055,0.0010498461231962
2017-10-06,0.0085687722336973,0.0057012179928896,0.005383038156916875,0.0078875378048062
2017-10-09,-0.011486321228053,0.0013630908645443,0.004921470094993996,-0.0029097924830335
2017-10-10,-0.0056901384437577,0.0012474469075189,0.0058808974185970975,0.0063012840683001
2017-10-11,-0.0135731793702712,-0.0025860675965818,-0.01585743136667428,0.0001992461067932
2017-10-12,0.0028647886121651,0.0118100491808099,0.005959866753870058,0.0150886468023627
2017-10-13,0.0012640706733164,0.0084107505425929,0.0010470199536691815,-0.0045600371088126
2017-10-16,0.0163306690732802,0.0036566492249914,0.0008182801392155881,-0.0045221756484797
2017-10-17,-0.0066763626007411,0.0022055640019176,0.007026893762372977,-0.0004908572976446
2017-10-18,-0.0046968691182356,-0.0019987491292389,0.0045308440965659,0.002902825999572
2017-10-19,0.0036470881238368,-0.0036229003228636,-0.003164010206145651,-0.0014378029593428
2017-10-23,-0.0057187540359688,-0.0009463978968176,0.004708443184038735,-0.000549635035062
2017-10-24,0.0056464768886841,0.0001396470439161,0.010461994571264954,0.0058743397557523
2017-10-25,0.0035732446640261,-0.0173279376927961,-0.006498559380003099,0.0029647385038134
2017-10-26,0.0060505942545694,0.0013788942443668,0.0008989969099899575,0.0025148575676641
2017-10-27,-8.56221575321614e-05,0.0005576620456471,0.00868640580798763,-0.0050418829594961
2017-10-30,-0.0033572458131979,0.0056258813615774,0.0010064909672082845,0.0042660599913439
2017-10-31,-0.0045566425905585,-0.0011900022094832,-0.0025121245589333485,0.0019302797815488
2017-11-01,-7.811352503273028e-05,0.0077668981083063,0.041271081990653435,0.0030369019503875
2017-11-02,0.0091197006039176,-0.001398162403849,0.00821944907498362,0.000378758142018
2017-11-03,-0.0025836348315281,0.0001096945614669,0.003968609794471556,-8.097659648731437e-05
2017-11-06,-0.0029883267541866,0.0094059809179076,-0.0011475383483372514,-0.0038863987624102
2017-11-07,-0.0117388836437523,-0.0042446885428325,-0.008501757127430065,-0.0105219160329883
2017-11-08,0.0025480522137506,0.0002107469875316,-0.014247627532204099,-0.0061743876809234
2017-11-09,0.0082810180838746,-0.0020143968861422,-0.0026830847517765877,0.0012544141498875
2017-11-10,0.0116678011717685,-4.8234728585172526e-05,-0.006581302922205712,-0.0012662667043269
2017-11-13,-0.0020862689681862,-0.0033476496672081,-0.019080797655474213,-0.0101981712206374
2017-11-14,-0.0108249631978478,-0.0019105481868556,-0.0031250777734173063,-0.0006642559522166
2017-11-15,-0.0143279280919349,-0.0057816926336319,-0.02705995603893585,-0.0068266873908611
2017-11-16,0.0027665065950797,0.0067585059130168,0.024348397794966115,0.0019355482904936
2017-11-17,0.0042263045570729,0.0050791953491873,0.019859387540450246,0.0073530891602406
2017-11-20,0.0329256935652753,0.0037221414966246,0.02477084146207087,0.0004586452742292
2017-11-21,0.0099381018820738,-0.0010244880096881,0.010465635871820034,0.0002307377494172
2017-11-22,0.0056027785191905,0.0036479343862541,0.0038347731780545846,-0.005881576204847
2017-11-23,-0.0269900333343867,-0.0018161446339566,-0.0009506278376644195,0.0060055711018667
2017-11-24,0.0273161501257874,0.0033077489071795,0.00877586781527473,0.0004245786268939
2017-11-27,-0.0086817374577685,-0.0003315415728173,0.016421651297452433,-0.0023114947114967
2017-11-28,0.0042377523108276,0.0019501938208887,0.02002537368006707,-0.0016588825387102
2017-11-29,0.0076983429392116,0.0032403181182745,-0.003468305673814509,-0.0019594652166945
2017-11-30,0.004291393083144,-0.0089914559421515,-0.05552656004812384,-0.0074939781094032
2017-12-01,0.000169267555099,-0.0050893133881,-0.022998714752038296,-0.0087234008104412
