,r_mom,r_lv
2017-09-15,0.0,0.002268970000000037
2017-09-18,0.0,0.009101099877411256
2017-09-19,0.0,-0.0012936049086944568
2017-09-20,0.0,-0.0025554252317518955
2017-09-21,0.0,-0.006353967681169581
2017-09-22,0.0,-0.004232286347224057
2017-09-25,0.0,-0.01215774346118026
2017-09-26,0.0,-0.002713723220907016
2017-09-27,0.0,-0.008847916957506086
2017-09-28,0.0,0.009429808101329762
2017-09-29,0.0,0.006803593168060562
2017-10-03,0.0,0.0018605195905128102
2017-10-04,0.0,0.002227466370288589
2017-10-05,0.0,-0.0017979080659842328
2017-10-06,0.0,0.0057012179928896956
2017-10-09,0.0,0.0013630908645443363
2017-10-10,0.0,0.0012474469075189898
2017-10-11,0.0,-0.0025860675965818647
2017-10-12,0.0,0.011810049180809967
2017-10-13,0.0,0.008410750542592993
2017-10-16,0.0,0.003656649224991426
2017-10-17,0.0,0.002205564001917626
2017-10-18,0.0,-0.0019987491292389192
2017-10-19,0.0,-0.003622900322863609
2017-10-23,0.0,-0.0009463978968176079
2017-10-24,0.0,0.0001396470439161135
2017-10-25,0.0,-0.01732793769279617
2017-10-26,0.0,0.0013788942443668795
2017-10-27,0.0,0.0005576620456471115
2017-10-30,0.0,0.005625881361577489
2017-10-31,0.0,-0.0011900022094832874
2017-11-01,0.0,0.00776689810830633
2017-11-02,0.0,-0.0013981624038490459
2017-11-03,0.0,0.00010969456146692202
2017-11-06,0.0,0.009405980917907675
2017-11-07,0.0,-0.004244688542832553
2017-11-08,0.0,0.00021074698753165144
2017-11-09,0.0,-0.0020143968861422445
2017-11-10,0.0,-4.8234728585172526e-05
2017-11-13,0.0,-0.00334764966720813
2017-11-14,0.0,-0.001910548186855654
2017-11-15,0.0,-0.00578169263363193
2017-11-16,0.0,0.0067585059130168545
2017-11-17,0.0,0.0050791953491873265
2017-11-20,0.0,0.0037221414966246424
2017-11-21,0.0,-0.0010244880096881293
2017-11-22,0.0,0.0036479343862541036
2017-11-23,0.0,-0.001816144633956629
2017-11-24,0.0,0.003307748907179553
2017-11-27,0.0,-0.00033154157281733987
2017-11-28,0.0,0.0019501938208887903
2017-11-29,0.0,0.003240318118274521
2017-11-30,0.0,-0.00899145594215156
2017-12-01,0.0,-0.005089313388100036
2017-12-04,0.0,-0.006063475204337698
2017-12-05,0.0,-0.006803105773956819
2017-12-06,0.0,-0.0025900890209071825
2017-12-07,0.0,0.006312667933137339
2017-12-08,0.0,0.013665504991434263
2017-12-11,0.0,0.009356117408998887
2017-12-12,0.0,-0.0103857160592159
2017-12-13,0.0,-0.003065272865230728
2017-12-14,0.0,0.00763264648005757
2017-12-15,0.0,0.006337642881857786
2017-12-18,0.0,0.008422012569222703
2017-12-19,0.0,0.02098857981433433
2017-12-20,0.0,-0.0004954671387259468
2017-12-21,0.0,0.001455853429860543
2017-12-22,0.0,0.0007291598254992593
2017-12-26,0.0,0.0023503921491252466
2017-12-27,0.0,-0.002396498104841438
2017-12-28,0.0,-0.0013594187473069397
2017-12-29,0.0,0.009371005782367936
2018-01-01,0.0,-0.004477956440987585
2018-01-02,0.0,-0.0016678328838850565
2018-01-03,0.0,-0.0014365628274634057
2018-01-04,0.0,-0.0016644320796425083
2018-01-05,0.0,0.008418526538347182
2018-01-08,0.0,0.005767975756530097
2018-01-09,0.0,-0.00023811214687674553
2018-01-10,0.0,0.001739779028504529
2018-01-11,0.0,0.0017112226406872377
2018-01-12,0.0,-0.005278679796210106
2018-01-15,0.0,-0.004070347959684972
2018-01-16,0.0,0.005547456066851808
2018-01-17,0.0,-0.00209731285920578
2018-01-18,0.0,0.003860063880895215
2018-01-19,0.0,0.004695407176593225
2018-01-22,0.015344819999999926,0.0015880524751441527
2018-01-23,-0.0034615333931579118,-0.0011409462502555145
2018-01-24,-0.015662875519910635,-0.005425770617419667
2018-01-25,0.008434680546435702,-0.0032341453108807316
2018-01-29,-0.003568071890200475,-0.000638513283027109
2018-01-30,-0.024718098262040744,-0.004290451650441396
2018-01-31,-0.003182279865782567,-0.004616435806609531
2018-02-01,-0.006011973029013129,0.001335462051086811
2018-02-02,-0.07225785804706464,-0.014985658545703329
2018-02-05,-0.0285018104047865,0.0007050634338976458
2018-02-06,-0.04756268448943224,-0.012360259330211898
2018-02-07,0.03414229233690902,-0.000830372585089334
2018-02-08,0.02902489536757602,0.0029194149133939806
2018-02-09,0.019054185992621875,-0.003081865367291381
2018-02-12,0.045193822298049025,0.005386103639918094
2018-02-14,0.010183797721653676,-5.465717078134702e-05
2018-02-15,-0.02362753368071535,0.00010963766104143957
2018-02-16,-0.023395502088654263,-0.007795949497435006
2018-02-19,-0.0018238749192109882,-0.0027447019664970096
2018-02-20,-0.01943522140171372,-0.0024217486362109186
2018-02-21,-0.0071174159405349435,0.0014024873552673789
2018-02-22,-0.013597929153358335,-0.0067678592478427335
2018-02-23,0.023282398366881285,0.008890663020360234
2018-02-26,0.010047088853991193,0.002079676060107838
2018-02-27,0.005623781168691444,0.0017536206740231819
2018-02-28,0.005949124213094681,-0.007145616753392647
2018-03-01,0.0013077953180451463,-0.0010403089499501084
2018-03-05,-0.01706403627828046,-0.0075203975689489555
2018-03-06,-0.013543430895869957,-0.009493702192643338
2018-03-07,-0.027981150102863284,0.0013830528286904453
2018-03-08,0.006449640444985194,0.0008482966280567439
2018-03-09,-0.0069490510205098,0.000873980623548265
2018-03-12,0.011306140335449522,0.018105595012633424
2018-03-13,0.021565660603527048,-0.0012815943342737723
2018-03-14,0.002357599475680372,-0.004458449135102183
2018-03-15,0.01881135145737378,-0.0010262246937735586
2018-03-16,-0.005484620899107506,-0.010866835845722456
2018-03-19,-0.0005703121821302171,-0.0036268562308690022
2018-03-20,-0.01843129253239084,0.0033033543778346885
2018-03-21,0.022185464166438074,0.0040110047706181096
2018-03-22,-0.0060517030234013,-0.0008455542541556671
2018-03-23,-0.009874022626041645,-0.006475493986794145
2018-03-26,0.00949684803116968,0.00874224147846614
2018-03-27,0.00975566044278886,0.008188920654400356
2018-03-28,-0.013946823572859257,0.00011807304363542492
2018-04-02,0.03373076467597613,0.014998159124670396
2018-04-03,0.001285298132369217,0.004323245373176521
2018-04-04,-0.03386261470856711,-0.0017337159144278358
2018-04-05,0.009573261810230438,0.007934679436955028
2018-04-06,0.016077170310865307,0.007571770215254681
2018-04-09,-0.002284601076249726,0.005767083515897831
2018-04-10,-0.009495335714613917,-0.004512469319181922
2018-04-11,0.0009999389307209228,0.0023247499660246085
2018-04-12,-0.004053232410331509,0.003902481059058882
2018-04-13,-0.002208631350222867,-0.0028862364142151486
2018-04-16,0.008568636751018266,0.010235220837942594
2018-04-17,-0.0037002827631770208,0.0068313978470302406
2018-04-18,0.0043792056789053735,0.005482416668156187
2018-04-19,0.010111122380055404,0.0036336591372416738
2018-04-20,0.01645428339431354,-0.004077777218576384
2018-04-23,0.002600890182670401,-0.00264594930266171
2018-04-24,-0.0013887397862619721,-0.000969866745248793
2018-04-25,-0.02023582940545665,-0.00022705696973213119
2018-04-26,-0.005616696189006398,0.006113679863400501
2018-04-27,-0.0005299558618011568,-0.0010695554681808828
2018-04-30,0.007890008630052847,0.009649837915916226
2018-05-02,-0.002644791307536698,-0.0010490194548699039
2018-05-03,-0.027159594552162103,-0.0062301739224308594
2018-05-04,-0.0028277010634463196,-0.004074835687019829
2018-05-07,-0.0006845572234168706,0.009533874962104116
2018-05-08,0.017918844047858817,-0.00503661673863165
2018-05-09,0.021251097010486886,-0.0030141629353780397
2018-05-10,-0.023515148862637725,0.0004845855374751018
2018-05-11,0.0010349203844699506,0.007679253179031287
2018-05-14,0.002710756098389888,0.0038124382237478827
2018-05-15,0.0056236357011167915,0.0050437806820509135
2018-05-16,0.01782499015393224,0.010609223516227617
2018-05-17,0.030934058412738663,-0.007066629457390228
2018-05-18,-0.02917242257219077,0.005008712006496552
2018-05-21,-0.01939654162579596,-0.003233074763275945
2018-05-22,0.03385035604559894,0.007971833743354306
2018-05-23,0.021794170455330164,-0.006966866222115509
2018-05-24,-0.0035470981791434486,-0.008987354637595035
2018-05-25,0.01290973061984646,0.012216976357187548
2018-05-28,0.014103127325438836,0.009626773565253988
2018-05-29,0.016131803354433982,-0.0034213847070545533
2018-05-30,0.0012431638143430845,-0.002569157843427483
2018-05-31,-0.007751730355531228,0.012663196608229343
2018-06-01,-0.037239806798559205,0.004311488383741624
2018-06-04,-0.019375461594788645,-0.012801773919920656
2018-06-05,-0.054566662072756955,0.0005179418122764901
2018-06-06,0.035602080530482416,0.006126169122781633
2018-06-07,0.017290438330216595,0.008270297273701877
2018-06-08,-0.0009140765662466466,-0.005327644214765281
2018-06-11,-0.002194161661221994,0.0014146661172416142
2018-06-12,0.002495220335223536,0.00671553705490302
2018-06-13,-0.006083721208235193,-0.0010617756104613907
2018-06-14,0.004222819612977657,-0.004038003694818659
2018-06-15,-0.0026372041910637245,0.0009354942207042694
2018-06-18,-0.0062038099713499495,-0.0023679793563721185
2018-06-19,-0.011833159597248843,-0.008361371414460472
2018-06-20,0.00220899183519907,0.006296712971731067
2018-06-21,-0.011265262295275247,-0.0058886136381859355
2018-06-22,0.01042239787590371,0.005225126587814932
2018-06-25,0.014859021090523061,-0.004375676475067869
2018-06-26,-0.000492806999646378,0.005489364572815347
2018-06-27,-0.006439803722660065,-0.00453255923108975
2018-06-28,-0.014705972321671035,-0.0015074151925653645
2018-06-29,0.024221347355452894,0.008750315698807798
2018-07-02,0.0030880474388959023,-0.01035485551670623
2018-07-03,0.016800763740712377,0.0052879177523499354
2018-07-04,0.01792107301589918,0.012520510022935527
2018-07-05,-0.015796780409818245,0.003824432120144161
2018-07-06,-0.0078046293730641425,0.0030644119988845198
2018-07-09,0.020065022102072394,0.006497543572446363
2018-07-10,0.015785641117346705,0.007004345702346759
2018-07-11,-0.001497376525636751,4.746096953889278e-05
2018-07-12,-0.003686541620692485,0.007610246761949435
2018-07-13,-0.01883548222733189,0.0028909676369897053
2018-07-16,-0.024463640278502785,0.0002204173492401651
2018-07-17,0.015031120518986585,0.0003103768933307993
2018-07-18,0.00862460630728279,-0.0024197008038018275
2018-07-19,0.0051197794364341576,-0.0004476336706743522
2018-07-20,0.019873434985275162,0.0002707588277885975
2018-07-23,0.0016880613978407233,0.0012787820733084487
2018-07-24,0.014264322196315016,0.011268644045087761
2018-07-25,0.0006178316785936389,-0.006179883481313375
2018-07-26,0.002363218514267462,-0.003681462301913352
2018-07-27,0.013476024289934996,0.002564925077441771
2018-07-30,0.005950802717212156,0.004264123637413242
2018-07-31,0.011073668570591,0.011597519777316823
2018-08-01,0.004531992855489664,-0.0016710906235681833
2018-08-02,-0.0054642032358699355,-0.00887658212417286
2018-08-03,0.007587005903607391,0.009040852911941233
2018-08-06,-0.00705959526552602,0.004345096835552509
2018-08-07,0.010311163578802685,0.0014361693249111962
2018-08-08,0.020275701380583655,0.0015269291571855526
2018-08-09,0.01820072340926493,-0.004528375009778318
2018-08-10,-0.017817459841476757,-0.003831009805179253
2018-08-13,-0.004745517464800564,-0.000935688986963723
2018-08-14,0.004213559101844622,0.008552761344646775
2018-08-16,0.005957859992578696,-0.007524209654392822
2018-08-17,0.002472640333473386,-0.0017928752952692806
2018-08-20,-0.008586013320056152,0.005716611381693104
