tkr,sig_date,entry_date,entry,trig,gap_pct,stop0,stop_pct,sh,notional_pct,risk_pct,adv_cr,rank,half_date,half_px,exit_date,exit_px,reason,held,R,final_stop,half_done,engine,slope66_pct,dist_to_44sma_pct,atr_pct,regime_ok,days_to_fill,mae_pct,mfe_pct,max_1d_move_in_trade_pct,zero_vol_days,exit_day_open,gap_through_stop,gross_ret_pct,src
QUESS,2017-09-12,2017-09-13,742.6301813742713,742.6301813742713,-0.1238249658321755,656.1375232949255,13.182092931525347,227.3641675208953,17.17209755984154,2.0,8.5702771853125,31,,,2017-09-25,714.5976262737688,stop,8,-0.3241032906490887,714.5976262737688,False,A,8.106792474447833,-5.264815398444211,2.9189832118758567,True,1,-5.312133966395837,2.0723499054427386,3.264889852454975,0,728.8671972348181,False,-3.7747664724085084,backfill
GUJALKALI,2017-12-15,2017-12-18,641.4523281211616,641.4523281211616,-1.5108137362266683,522.9400097435945,22.662698621143097,164.66361471820971,10.825074336619855,2.0,11.853146432306824,20,,,2017-12-29,616.1749835172085,stop,8,-0.2132887530174061,616.1749835172085,False,B,78.22607852964695,0.7569907786416863,4.694539883034716,True,1,-10.130039958978509,2.3273749939452637,3.347644716846851,0,622.7966147775732,False,-3.9406427408239963,pinned
HFCL,2017-12-18,2017-12-20,29.748568053495184,29.748568053495184,-2.4116538208707183,22.974043670088015,29.487731810258254,2881.11123601063,8.782481653282789,1.9999999999999998,19.656455337274533,45,,,2018-01-16,31.455757065445173,stop,18,0.25200130892308903,31.455757065445173,False,B,55.530110493757576,1.7310708080519932,5.93425335865029,True,2,-6.374625038210557,21.035979810350703,12.56543289252417,0,33.64861679483342,False,5.738726680491135,pinned
BOMDYEING,2018-01-19,2018-01-22,249.97555635337358,249.97555635337358,-0.7163243521870588,184.79846480617456,35.269281925886055,299.23019860186054,7.6706569875812844,2.0,107.10007576389907,3,,,2018-01-25,228.11719525594285,stop,3,-0.33536877112108715,228.11719525594285,False,B,60.69450684968862,1.2907923278635325,6.647926800499334,True,1,-10.559933730522186,2.0961303856413593,4.737564585952553,0,233.35354290962945,False,-8.744199399452901,pinned
BLISSGVS,2018-01-19,2018-01-23,195.88119363820218,195.88119363820218,-2.88099066905787,171.1353324516457,14.459820092118282,787.6230031515059,15.831430731909002,2.0000000000000004,12.494363222132263,36,,,2018-02-02,185.51245982674718,stop,7,-0.41900880851493477,185.51245982674718,False,B,22.948005629427048,0.639320186374559,3.191044069945956,True,2,-5.344948124650317,4.364510897693519,5.0608235002454665,0,195.63774390852495,False,-5.293378919574243,pinned
DMART,2018-05-10,2018-05-11,1480.4789999999998,1480.4789999999998,-1.5183599362098232,1338.8635702124611,10.57728606097379,135.55732767524978,20.90844199987413,2.0000000000000004,90.6961916629474,39,,,2018-05-18,1400.2982512207032,stop,5,-0.5661865299536173,1400.2982512207032,False,B,21.463174798472284,3.0803191049833867,2.430832409888053,True,1,-7.060488451921632,2.5884223165695053,5.204016644021739,0,1495.0,False,-5.415865323270152,pinned
MANAPPURAM,2018-05-28,2018-05-29,94.89329678976253,94.89329678976253,-0.3227879446562443,79.63099915602263,19.16627669563229,1251.8198035369717,12.43499492238767,2.0,44.635220150846216,47,,,2018-06-01,90.23492145686131,stop,3,-0.30522110397081265,90.23492145686131,False,A,3.1629951761242836,-7.32592726875586,4.0673764520541695,True,1,-9.293266439297721,0.6334603857874432,3.24974560386928,0,92.98823327599413,False,-4.909066805026185,pinned
COFORGE,2018-06-06,2018-06-07,193.6815314883946,193.6815314883946,-0.36780773778761766,156.84544432428982,23.485595850615447,513.5384302253561,10.515858029412477,2.0,146.40445766974295,26,,,2018-06-25,198.29558884319022,stop,12,0.12525916051398164,198.29558884319022,False,B,34.25706579756187,2.0729354128703026,4.816117361873689,True,1,-0.8095462695977829,8.650367094364576,3.7566355443791064,0,200.98797808003812,False,2.382290825221034,pinned
INTELLECT,2018-06-05,2018-06-07,190.86272859844019,190.86272859844019,-4.376179581398565,148.1295356865037,28.84852957507109,442.67102663921986,8.932762360714088,2.0,12.69252284717392,19,,,2018-06-27,187.1413296287739,stop,14,-0.08708450541796076,187.1413296287739,False,A,7.739485027787074,-5.699587118653982,5.9253658192768235,True,2,-5.27780003254118,16.953703757893003,5.577989610821339,0,187.8695109278678,False,-1.9497777261142546,pinned
IBVENTURES,2018-06-08,2018-06-11,453.0,451.20074999999997,0.3987692839606316,348.7647759103077,29.88697004094776,182.80887847806298,8.691879428593213,2.0,54.61009384,7,,,2018-06-29,458.541,stop,14,0.053158613591429316,458.541,False,B,65.16989757791552,5.496014584359066,5.7850607220386445,True,1,-0.6622516556291425,12.869757174392937,4.814615797958082,0,459.15,False,1.223178807947023,backfill
RADICO,2018-06-06,2018-06-07,407.64825916211686,406.1959708141756,0.35753391276389657,313.5295431293973,30.019090096997857,200.9881474724169,8.66242712066751,2.0,58.78973277491058,34,,,2018-07-03,372.99864226403196,stop,18,-0.368147998173278,372.99864226403196,False,B,22.16970840580239,0.4479398833398207,5.8251570256590846,True,1,-9.95562125885181,1.7272355965049835,4.989720386210349,0,379.4350940184518,False,-8.499880992820618,pinned
LTI,2018-04-23,2018-04-25,1568.5669999999998,1568.5669999999998,-2.289796993051596,1353.9771180371044,15.84885587091691,89.39205059969495,14.61920744493648,2.0,33.8481284175,17,,,2018-07-19,1791.7564499999999,stop,60,1.0400744338849661,1791.7564499999999,False,B,34.400619021315016,10.028525249494002,3.4989382351686844,True,2,-5.96512613104826,20.077752496386836,7.392964716006888,0,1824.85,False,14.228875782800475,backfill
RBLBANK,2018-07-17,2018-07-20,547.6759005873959,547.6759005873959,-1.4945328407971692,490.8459366417964,11.577963614084496,335.4066821483489,19.274194898721362,2.0,90.1577877064148,20,,,2018-08-02,542.8832361398406,stop,9,-0.08433340644282343,542.8832361398406,False,B,12.953295481305416,3.9650433709539135,2.6142913253477733,True,3,-1.671065936064553,3.271860731422316,1.8036542056335905,0,551.0928896939754,False,-0.8750913528265514,pinned
TATAELXSI,2018-07-25,2018-07-26,1342.7763046561731,1342.7763046561731,-1.7885473349034564,1185.6470022497692,13.252620898821533,121.82740635345385,17.091354497115717,2.0,108.00401240348084,18,,,2018-08-29,1277.3018550229324,stop,22,-0.41669153130900866,1277.3018550229324,False,B,28.63222821143756,11.774300586798404,2.955457938496276,True,1,-7.121277626282163,0.7038907676292894,1.9096720961789673,0,1286.1991052002613,False,-4.876050419284539,pinned
VIPIND,2018-07-24,2018-07-25,468.4252622775138,468.4252622775138,-3.1686436917919614,404.06568471458,15.927998837217627,296.39466349050895,14.556505185866571,2.0000000000000004,20.61485217914719,48,2018-08-23,597.1444174033813,2018-09-04,585.1864333525232,stop,27,1.9071001977975606,585.1864333525232,True,B,23.453255625013014,10.502706770782089,3.538955488095341,True,1,-3.7077488682652704,34.15393045703659,7.859544590396972,0,600.2441701499297,False,24.926318129664704,pinned
GAIL,2018-08-30,2018-08-31,91.04081373028166,91.04081373028166,-0.5210895183012765,78.27253077752952,16.312597568926,1655.8572526842686,14.260463065734037,2.0,148.802399514257,49,,,2018-09-04,86.52023484719189,stop,2,-0.3540475175728608,86.52023484719189,False,B,11.007161782412345,3.166113001548654,3.540490532504677,True,1,-5.983352088090854,1.0057111751353043,2.402922943411622,0,88.26569240429896,False,-4.965442088954164,pinned
DABUR,2018-07-31,2018-08-01,400.11182595370934,400.11182595370934,-1.1841336313616613,361.02257609154844,10.827369934961805,485.72064905421354,20.471706536431896,2.0,114.18257834052291,18,,,2018-09-11,413.52531885074933,stop,27,0.34315042996065503,413.52531885074933,False,B,14.975434955635603,11.310815960586007,2.4848553536728177,True,1,-1.6038289529001215,14.403056363174539,5.481710259434769,0,419.7233899237194,False,3.352436000877379,pinned
VMART,2018-08-02,2018-08-03,663.6548872980302,663.6548872980302,-1.0405859212783697,527.1491661021537,25.895084346851394,138.27624751334434,9.723473587538946,2.0,21.419810910091552,1,,,2018-09-17,678.5565860366397,stop,28,0.10916537862341016,678.5565860366397,False,B,25.884063315713355,5.105760707032436,5.229773075073632,True,1,-1.0405859212783697,24.131982894609205,4.87567366528159,0,691.7089750140301,False,2.245398779368535,pinned
LTI,2018-09-04,2018-09-07,1919.918,1919.918,-1.5582957188796542,1655.4860830272428,15.973067951692688,77.21617578599124,14.521076139215053,2.0,84.85344755275,47,,,2018-09-19,1832.166,stop,7,-0.33185101482677876,1832.166,False,B,17.124464545317352,4.167668596963803,3.5621402184006925,True,3,-6.503819433954994,3.4940033897281175,2.3612029922141295,0,1851.0,False,-4.570611869881935,backfill
