tkr,sig_date,entry_date,entry,trig,stop0,risk_pct,half_date,half_px,exit_date,exit_px,reason,held,R,gap_through,net_pnl,stt_paid
DCAL,2017-03-28,2017-03-29,299.67,278.39,244.48,2.0,,,2017-05-23,294.22,ma_breach,36,-0.099,False,-2844.77,224.59
MANPASAND,2017-05-17,2017-05-19,399.37,399.37,385.11,2.0,,,2017-05-23,385.11,stop,2,-1.0,False,-25300.33,1115.55
COFFEEDAY,2017-05-23,2017-05-26,257.0,257.0,245.4,2.0,,,2017-05-29,245.4,stop,1,-1.0,False,-24681.87,840.08
SUVEN,2017-05-29,2017-06-01,6.52,6.52,6.22,2.0,,,2017-06-19,6.22,stop,12,-1.0,False,-23377.64,832.94
GAYAPROJ,2017-06-15,2017-06-20,162.66,157.48,151.77,2.0,,,2017-06-27,151.77,stop,4,-1.0,False,-23710.6,579.47
MANPASAND,2017-05-25,2017-05-26,390.91,390.42,366.63,2.0,2017-05-29,439.49318803126135,2017-06-28,373.1,trail,22,0.633,False,10051.86,636.39
RUPA,2017-06-02,2017-06-07,479.94,417.92,350.86,2.0,,,2017-07-31,434.75,ma_breach,37,-0.35,False,-7790.41,142.4
JETAIRWAYS,2017-07-28,2017-08-01,602.1,599.75,567.83,2.0,,,2017-08-10,567.83,stop,7,-1.0,False,-23652.97,760.77
GVKPIL,2017-06-28,2017-06-30,7.4,6.7,6.29,2.0,2017-07-21,9.612599905014038,2017-08-24,11.57,trail,38,2.886,False,52509.31,304.99
LAXMIMACH,2017-05-25,2017-05-29,4295.9,4237.5,4157.1,2.0,2017-06-01,4573.47721433054,2017-08-29,5831.37,time,63,6.532,False,119786.42,1343.79
GREENPLY,2017-08-22,2017-08-24,285.41,266.72,260.1,2.0,,,2017-09-14,260.1,stop,14,-1.0,False,-26000.28,493.45
RELCAPITAL,2017-06-23,2017-06-27,550.69,550.69,519.71,2.0,2017-07-31,612.646114745465,2017-09-22,677.45,trail,61,3.046,False,57243.15,742.31
FRETAIL,2017-08-07,2017-08-10,429.31,425.42,393.87,2.0,2017-08-24,500.1908126220703,2017-09-25,500.08,trail,30,1.998,False,44467.84,597.68
FCONSUMER,2017-08-23,2017-08-29,49.4,48.15,45.5,2.0,2017-09-07,57.191106101989746,2017-09-28,56.31,trail,22,1.886,False,40572.72,617.29
GAYAPROJ,2017-09-18,2017-09-19,189.87,189.87,170.99,2.0,,,2017-09-28,170.99,stop,7,-1.0,False,-27600.32,470.78
DCAL,2017-09-28,2017-09-29,324.54,321.29,290.44,2.0,,,2017-10-13,298.62,ma_breach,9,-0.76,False,-19912.11,419.93
FRETAIL,2017-09-29,2017-10-03,524.52,524.52,499.88,2.0,,,2017-10-18,499.88,stop,11,-1.0,False,-24803.38,959.28
MANPASAND,2017-09-11,2017-09-13,451.69,433.26,411.93,2.0,,,2017-10-26,445.71,ma_breach,29,-0.15,False,-5663.44,557.47
EROSMEDIA,2017-10-24,2017-10-26,220.25,220.25,208.79,2.0,,,2017-10-31,208.79,stop,3,-1.0,False,-25161.68,832.94
FCONSUMER,2017-10-27,2017-10-31,62.0,61.75,56.84,2.0,,,2017-11-06,59.85,ma_breach,4,-0.417,False,-11093.63,524.65
GVKPIL,2017-10-26,2017-10-31,18.7,16.2,15.43,2.0,,,2017-11-14,15.43,stop,10,-1.0,True,-23434.4,232.11
AVANTIFEED,2017-08-11,2017-08-14,596.38,511.53,428.11,2.0,,,2017-12-06,789.75,ma_breach,78,1.149,False,24327.95,178.88
GAYAPROJ,2017-10-19,2017-10-23,182.99,182.99,175.35,2.0,2017-11-07,198.250016784668,2017-12-18,189.63,trail,40,1.435,False,25114.47,1103.3
RUPA,2017-12-01,2017-12-04,446.77,446.77,391.89,2.0,,,2018-01-23,421.25,ma_breach,35,-0.465,False,-11521.63,350.24
JETAIRWAYS,2017-11-08,2017-11-10,666.0,627.0,593.46,2.0,2017-12-26,811.0881243896483,2018-01-24,775.64,trail,52,1.756,False,37894.04,443.34
GREENPLY,2017-11-03,2017-11-07,295.02,286.38,273.0,2.0,2018-01-01,339.0559667149435,2018-01-30,345.44,trail,58,2.145,False,42258.65,623.16
BOMDYEING,2017-12-15,2017-12-19,272.98,259.89,221.96,2.0,,,2018-01-30,229.21,ma_breach,28,-0.858,False,-19349.73,217.51
DREDGECORP,2017-12-28,2018-01-01,847.32,793.92,682.26,2.0,,,2018-01-30,682.26,stop,20,-1.0,False,-23685.5,212.6
BLISSGVS,2018-01-24,2018-01-30,201.47,199.75,190.05,2.0,,,2018-02-02,190.05,stop,3,-1.0,False,-24976.97,764.55
KNRCON,2017-12-21,2017-12-27,170.75,155.44,135.39,2.0,,,2018-02-05,135.39,stop,27,-1.0,False,-23744.22,199.56
GVKPIL,2018-01-30,2018-02-02,21.1,21.0,19.18,2.0,,,2018-02-06,19.18,stop,2,-1.0,True,-23315.16,455.86
JKCEMENT,2017-12-13,2017-12-18,1024.07,1024.07,939.53,2.0,,,2018-02-07,1015.94,ma_breach,35,-0.096,False,-5544.91,539.31
APLAPOLLO,2018-02-02,2018-02-07,207.38,207.38,190.75,2.0,,,2018-02-15,198.82,ma_breach,5,-0.514,False,-12053.04,490.91
INTELLECT,2018-01-31,2018-02-05,178.63,178.63,159.19,2.0,,,2018-03-12,175.73,ma_breach,23,-0.149,False,-4471.08,382.59
LTTS,2018-01-22,2018-01-25,1121.29,932.15,881.74,2.0,,,2018-03-19,1121.24,ma_breach,34,-0.0,False,-1120.35,210.58
ESCORTS,2018-02-01,2018-02-06,846.6,846.6,780.15,2.0,,,2018-03-19,800.07,ma_breach,27,-0.7,False,-15413.35,512.83
OBEROIRLTY,2018-03-09,2018-03-14,538.51,515.9,477.19,2.0,,,2018-03-19,477.19,stop,3,-1.0,False,-21102.26,330.41
LTI,2018-03-20,2018-03-22,1364.0,1339.0,1270.23,2.0,,,2018-04-02,1335.0,ma_breach,5,-0.309,False,-8117.94,569.89
CYIENT,2018-01-19,2018-01-23,550.97,550.97,475.73,2.0,2018-05-07,701.4499864967127,2018-05-07,669.83,time,68,1.79,False,39338.21,373.22
CHAMBLFERT,2018-04-18,2018-04-23,167.5,150.03,144.98,2.0,,,2018-05-10,144.98,stop,12,-1.0,False,-23194.71,306.97
CHOLAFIN,2018-02-09,2018-02-15,273.44,260.37,249.8,2.0,2018-04-23,320.7314893002129,2018-05-14,305.31,trail,58,1.674,False,33000.65,515.73
JUBLFOOD,2018-03-14,2018-03-19,208.41,204.6,200.39,2.0,2018-03-22,224.44370664164882,2018-05-15,235.09,trail,38,2.664,False,49937.65,1063.8
IBVENTURES,2018-04-13,2018-04-16,324.7,324.7,276.77,2.0,2018-04-24,420.5540999999999,2018-05-18,434.0,trail,23,2.14,False,45681.53,339.36
DMART,2018-05-10,2018-05-15,1479.0,1479.0,1400.3,2.0,,,2018-05-18,1400.3,stop,3,-1.0,False,-24610.94,844.76
FLFL,2018-03-26,2018-04-02,407.63,407.63,377.47,2.0,2018-04-13,467.93837622017855,2018-05-21,420.8,trail,34,1.218,False,22805.54,575.61
GEPIL,2018-05-07,2018-05-10,944.1,872.85,849.4,2.0,,,2018-05-21,849.4,stop,7,-1.0,False,-27002.55,456.88
CCL,2018-05-15,2018-05-18,290.41,285.13,270.32,2.0,,,2018-05-21,270.32,stop,1,-1.0,False,-26699.53,633.85
GRAPHITE,2018-05-15,2018-05-18,659.11,607.85,589.62,2.0,,,2018-06-06,589.62,stop,13,-1.0,True,-23440.71,408.03
TAKE,2018-06-05,2018-06-06,232.67,232.67,206.88,2.0,2018-06-15,284.2547016296734,2018-06-25,239.51,trail,13,1.133,False,22750.96,409.46
MERCK,2018-04-19,2018-04-24,1397.15,1332.07,1138.04,2.0,2018-06-01,1915.3699636864515,2018-06-28,1697.52,trail,46,1.58,False,34765.23,279.78
COLPAL,2018-05-16,2018-05-21,1015.84,979.73,944.37,2.0,,,2018-07-02,989.68,ma_breach,30,-0.366,False,-10038.9,606.83
IBVENTURES,2018-06-28,2018-07-02,492.0,474.4,459.54,2.0,,,2018-07-03,459.54,stop,1,-1.0,True,-24081.53,640.24
VIPIND,2018-05-22,2018-05-23,396.29,396.29,356.36,2.0,,,2018-07-06,401.33,ma_breach,32,0.126,False,1188.17,422.39
HEXAWARE,2018-06-26,2018-06-27,468.0,468.0,434.07,2.0,2018-07-09,535.869,2018-07-25,464.26,trail,20,0.945,False,19830.3,633.07
JUSTDIAL,2018-06-28,2018-07-03,549.8,549.8,515.58,2.0,,,2018-07-26,558.0,ma_breach,17,0.24,False,3896.25,695.5
BAJFINANCE,2018-05-16,2018-05-21,205.7,186.72,181.11,2.0,2018-07-20,254.86465679128807,2018-08-17,276.47,time,63,2.439,False,52007.12,414.65
ENDURANCE,2018-07-23,2018-07-26,1281.12,1277.44,1211.26,2.0,2018-08-03,1420.8376951199477,2018-09-05,1382.47,trail,27,1.725,False,35501.96,866.89
ZYDUSWELL,2018-08-31,2018-09-05,344.65,329.97,316.35,2.0,,,2018-09-12,316.35,stop,5,-1.0,False,-27933.73,590.32
SUVEN,2018-07-04,2018-07-09,9.14,8.92,8.49,2.0,2018-08-21,10.445676489640453,2018-09-21,11.13,trail,50,2.525,False,51832.57,654.77
3MINDIA,2018-07-20,2018-07-25,22008.06,21822.27,19785.18,2.0,,,2018-09-25,22017.36,ma_breach,40,0.004,False,-2783.89,457.21
MPHASIS,2018-07-31,2018-08-03,1014.93,974.79,927.33,2.0,,,2018-09-26,998.3,ma_breach,34,-0.19,False,-6145.41,522.7
ZENSARTECH,2018-08-16,2018-08-21,262.59,257.0,227.44,2.0,,,2018-09-26,247.45,ma_breach,23,-0.431,False,-12212.45,349.19
PRAJIND,2018-09-07,2018-09-12,87.33,84.67,79.1,2.0,2018-09-17,103.78763322269744,2018-09-28,83.68,trail,10,0.779,False,17582.94,551.34
ERIS,2018-09-19,2018-09-21,724.62,724.62,673.52,2.0,,,2018-09-28,673.52,stop,5,-1.0,False,-29020.49,677.24
UBL,2018-09-25,2018-09-28,1393.07,1358.97,1280.0,2.0,,,2018-10-01,1280.0,stop,1,-1.0,False,-24182.73,548.38
SANOFI,2018-09-21,2018-09-26,4754.87,4754.87,4362.13,2.0,,,2018-10-04,4362.13,stop,5,-1.0,False,-26012.68,558.48
ZENSARTECH,2018-09-27,2018-10-01,268.83,268.83,252.09,2.0,,,2018-10-05,252.09,stop,3,-1.0,False,-24837.32,696.96
ABFRL,2018-09-25,2018-09-28,184.33,184.28,170.36,2.0,,,2018-10-08,177.38,ma_breach,5,-0.497,False,-13640.03,600.55
LTI,2018-09-21,2018-09-25,1909.0,1889.95,1640.56,2.0,,,2018-10-10,1725.6,ma_breach,10,-0.683,False,-16815.21,321.76
JSWSTEEL,2018-10-08,2018-10-10,352.14,352.14,329.03,2.0,,,2018-10-11,329.03,stop,1,-1.0,False,-22157.14,620.17
DRREDDY,2018-10-09,2018-10-11,473.37,473.37,447.11,2.0,,,2018-10-26,457.01,ma_breach,10,-0.623,False,-14965.62,772.11
NAUKRI,2018-10-24,2018-10-26,310.71,310.71,287.71,2.0,,,2018-11-01,287.71,stop,4,-1.0,False,-22997.35,548.52
TIINDIA,2018-10-05,2018-10-08,282.35,282.35,264.65,2.0,,,2018-11-26,285.23,ma_breach,32,0.163,False,-830.72,679.74
PRAJIND,2018-10-05,2018-10-08,89.53,89.53,86.07,2.0,2018-10-10,96.46060405303515,2018-11-29,94.96,trail,35,1.784,False,33851.73,1133.89
AUROPHARMA,2018-10-29,2018-11-01,765.81,743.65,688.88,2.0,,,2018-12-11,692.24,ma_breach,26,-0.956,False,-20995.33,401.73
VINATIORGA,2018-11-29,2018-12-04,727.22,715.06,680.28,2.0,,,2018-12-11,680.28,stop,5,-1.0,True,-24947.19,629.18
ADANIENSOL,2019-01-10,2019-01-14,222.4,218.5,205.44,2.0,,,2019-01-24,205.44,stop,8,-1.0,True,-24277.06,528.56
COLPAL,2018-11-26,2018-11-27,1014.16,1014.16,968.95,2.0,2018-12-13,1104.5755094449419,2019-01-29,1059.56,trail,44,1.502,False,27651.83,956.93
KSCL,2019-01-24,2019-01-29,558.0,551.87,524.73,2.0,,,2019-02-08,524.73,stop,8,-1.0,False,-22311.18,651.78
APOLLOHOSP,2018-12-07,2018-12-12,1190.51,1190.51,1142.53,2.0,2019-01-14,1286.461734576232,2019-02-11,1226.37,trail,42,1.374,False,25400.41,1010.61
VINATIORGA,2018-12-11,2018-12-14,760.76,705.33,675.47,2.0,,,2019-02-25,749.11,ma_breach,49,-0.137,False,-5042.54,359.77
BALRAMCHIN,2019-02-05,2019-02-08,100.55,100.55,95.06,2.0,2019-02-15,111.53922545139153,2019-04-09,121.05,trail,38,2.866,False,54994.87,795.83
TTKPRESTIG,2019-03-01,2019-03-06,684.78,639.46,602.56,2.0,,,2019-04-25,650.94,ma_breach,32,-0.412,False,-11297.96,357.13
SUVEN,2019-02-21,2019-02-25,11.0,10.97,10.19,2.0,2019-03-07,12.614202644348143,2019-05-07,11.78,trail,44,1.486,False,28527.05,590.24
JUSTDIAL,2019-03-13,2019-03-14,654.0,654.0,552.9,2.0,,,2019-05-09,562.0,ma_breach,34,-0.91,False,-20826.21,268.87
ICICIGI,2019-02-12,2019-02-15,865.93,847.81,815.52,2.0,2019-03-05,966.7438096612238,2019-05-13,977.34,trail,54,2.105,False,40254.15,742.22
GILLETTE,2019-04-12,2019-04-16,7004.01,6562.91,6093.46,2.0,,,2019-05-15,6208.14,ma_breach,17,-0.874,False,-21400.76,326.54
NAUKRI,2019-01-22,2019-01-24,339.41,321.84,294.81,2.0,,,2019-05-21,361.19,ma_breach,75,0.488,False,8937.65,323.96
DCMSHRIRAM,2019-04-25,2019-05-02,436.41,385.95,366.5,2.0,2019-05-23,576.2295083808567,2019-06-06,475.37,trail,24,1.279,False,26636.02,304.07
BAJAJFINSV,2019-05-14,2019-05-17,764.45,738.85,719.01,2.0,,,2019-07-11,766.49,ma_breach,38,0.045,False,-342.61,735.92
JKCEMENT,2019-05-20,2019-05-23,957.42,884.29,836.64,2.0,,,2019-07-12,940.1,ma_breach,35,-0.143,False,-4596.54,364.0
ASTRAL,2019-07-09,2019-07-11,595.33,586.44,567.87,2.0,,,2019-07-12,567.87,stop,1,-1.0,False,-28696.82,959.38
FEDERALBNK,2019-05-02,2019-05-07,95.23,90.19,86.85,2.0,,,2019-07-22,94.44,ma_breach,53,-0.095,False,-2956.05,493.42
ADANIPORTS,2019-07-09,2019-07-12,393.65,387.96,374.83,2.0,,,2019-07-24,382.23,ma_breach,8,-0.607,False,-15308.87,926.82
LALPATHLAB,2019-07-17,2019-07-22,520.94,520.94,492.51,2.0,,,2019-08-02,505.08,ma_breach,9,-0.558,False,-15164.97,799.89
MERCK,2019-05-10,2019-05-14,2913.43,2768.84,2711.4,2.0,2019-05-17,3317.480354775694,2019-08-13,3751.62,time,63,3.074,False,62091.52,668.88
RELAXO,2019-08-01,2019-08-05,425.05,425.05,402.13,2.0,,,2019-08-22,416.14,ma_breach,11,-0.389,False,-13900.36,822.87
ASIANPAINT,2019-07-22,2019-07-24,1346.28,1326.99,1277.76,2.0,2019-08-09,1483.3230908693909,2019-09-16,1417.79,trail,34,1.522,False,31782.18,895.65
NAM-INDIA,2019-08-22,2019-08-23,201.83,201.83,190.3,2.0,2019-08-28,224.88316186829252,2019-09-16,208.44,trail,14,1.287,False,25999.82,813.66
ADANIPOWER,2019-09-11,2019-09-16,12.9,12.9,12.1,2.0,,,2019-10-01,12.1,stop,11,-1.0,False,-25234.03,709.08
ELGIEQUIP,2019-09-26,2019-10-01,148.38,141.38,134.63,2.0,,,2019-10-03,134.63,stop,1,-1.0,False,-26139.34,476.05
BRIGADE,2019-09-26,2019-10-01,160.87,146.18,141.12,2.0,,,2019-10-07,141.12,stop,3,-1.0,False,-25015.11,353.75
BHARTIARTL,2019-10-09,2019-10-14,367.5,344.94,323.73,2.0,,,2019-10-24,323.73,stop,7,-1.0,False,-22663.16,348.01
TRENT,2019-08-09,2019-08-13,451.22,451.22,428.97,2.0,2019-09-23,495.70615436480347,2019-11-11,503.56,trail,58,2.177,False,44896.05,956.32
KOLTEPATIL,2019-10-03,2019-10-04,242.92,242.92,219.68,2.0,,,2019-11-18,233.62,ma_breach,28,-0.4,False,-11943.58,462.79
BPCL,2019-09-18,2019-09-23,132.43,124.65,118.22,2.0,2019-10-01,160.85277629027263,2019-11-27,158.47,trail,43,1.916,True,43032.06,470.63
GODFRYPHLP,2019-08-23,2019-08-28,300.96,293.33,260.2,2.0,2019-11-14,382.49385332138576,2019-12-03,415.78,time,63,2.408,False,53805.35,393.52
BDL,2019-11-07,2019-11-13,157.81,151.88,143.65,2.0,,,2019-12-05,143.65,stop,16,-1.0,False,-26260.62,492.68
CHOLAFIN,2019-11-13,2019-11-18,324.85,296.29,290.21,2.0,,,2019-12-06,296.0,ma_breach,14,-0.833,False,-19562.24,405.23
PETRONET,2019-09-20,2019-09-23,216.61,201.05,184.02,2.0,,,2019-12-30,204.97,ma_breach,65,-0.357,False,-8715.61,296.14
GRANULES,2019-10-22,2019-10-24,117.03,117.03,100.03,2.0,,,2019-12-31,122.68,ma_breach,46,0.333,False,6434.9,320.18
ATGL,2019-12-31,2020-01-02,177.53,163.64,154.28,2.0,,,2020-01-24,154.28,stop,16,-1.0,False,-24125.23,327.95
NMDC,2019-12-02,2019-12-05,18.64,17.5,16.69,2.0,2020-01-20,22.534910316826775,2020-01-28,20.21,trail,37,1.402,False,29757.87,459.49
PRESTIGE,2019-12-02,2019-12-03,325.07,325.07,291.75,2.0,2020-01-20,391.7028993555161,2020-02-03,347.21,trail,43,1.332,True,28385.31,469.85
MASFIN,2019-12-04,2019-12-09,254.24,233.89,229.02,2.0,2020-01-30,304.6952994980246,2020-02-17,324.13,trail,49,2.385,False,48778.03,490.18
MGL,2020-01-15,2020-01-20,966.24,940.54,861.64,2.0,,,2020-02-27,916.28,ma_breach,27,-0.478,False,-12243.41,432.01
INFIBEAM,2019-12-26,2019-12-30,13.99,13.99,11.88,2.0,,,2020-03-04,14.2,ma_breach,46,0.101,False,1245.02,308.27
JCHAC,2020-01-21,2020-01-24,2380.0,2126.55,2033.11,2.0,2020-03-04,3073.7702999999997,2020-03-12,2763.4,trail,32,1.553,False,36325.05,378.79
AARTIIND,2020-01-27,2020-01-30,488.16,423.74,414.01,2.0,,,2020-03-12,414.01,stop,28,-1.0,False,-25309.1,295.35
DEEPAKNTR,2020-02-03,2020-02-04,408.91,403.94,364.73,2.0,2020-02-25,497.25843489438734,2020-03-12,448.93,trail,25,1.453,True,33158.32,478.64
MIDHANI,2020-02-17,2020-02-18,211.61,202.67,173.56,2.0,,,2020-03-12,173.56,stop,15,-1.0,False,-26269.18,256.83
GARFIBRES,2020-02-24,2020-02-27,318.47,297.62,263.57,2.0,,,2020-03-12,263.57,stop,9,-1.0,True,-27049.89,268.83
PIIND,2020-02-28,2020-03-04,1533.72,1516.95,1412.36,2.0,,,2020-03-12,1412.36,stop,5,-1.0,False,-27868.73,623.56
INDOCO,2020-03-03,2020-03-04,236.19,232.77,184.91,2.0,,,2020-03-12,184.91,stop,5,-1.0,False,-26804.22,210.93
BHARTIARTL,2019-11-15,2019-11-20,428.54,380.93,341.16,2.0,,,2020-03-13,433.79,ma_breach,79,0.06,False,958.66,223.11
SFL,2020-03-11,2020-03-12,776.6,776.6,741.13,2.0,,,2020-03-13,741.13,stop,1,-1.0,True,-30723.64,1035.57
BAYERCROP,2020-03-09,2020-03-13,3676.04,3676.04,3512.25,2.0,,,2020-03-16,3512.25,stop,1,-1.0,True,-25555.0,972.19
RATNAMANI,2020-03-09,2020-03-13,816.52,816.52,757.96,2.0,,,2020-03-16,757.96,stop,1,-1.0,False,-25904.47,595.57
JCHAC,2020-03-12,2020-03-13,3096.0,3096.0,2507.49,2.0,,,2020-03-16,2507.49,stop,1,-1.0,False,-23270.25,210.92
IPCALAB,2020-03-13,2020-03-17,663.78,663.78,608.09,2.0,,,2020-03-19,608.09,stop,2,-1.0,False,-20948.6,459.57
NAVINFLUOR,2020-03-13,2020-03-17,1359.26,1359.26,1106.29,2.0,,,2020-03-19,1106.29,stop,2,-1.0,True,-20474.37,196.11
PIDILITIND,2020-03-17,2020-03-18,777.07,777.07,716.71,2.0,,,2020-03-19,716.71,stop,1,-1.0,True,-20790.49,492.54
PFIZER,2020-03-13,2020-03-16,3797.74,3797.74,3022.05,2.0,,,2020-03-20,3527.04,ma_breach,4,-0.349,False,-8196.61,202.61
IPCALAB,2020-03-20,2020-03-23,796.22,741.24,647.0,2.0,,,2020-03-24,647.0,stop,1,-1.0,False,-19100.51,181.58
NAVINFLUOR,2020-03-26,2020-03-27,1322.02,1293.6,1091.6,2.0,,,2020-04-03,1180.65,ma_breach,4,-0.614,False,-11983.01,199.76
HINDUNILVR,2020-03-31,2020-04-01,2069.06,2069.06,1952.6,2.0,,,2020-04-03,1952.6,stop,1,-1.0,False,-19188.48,623.87
AJANTPHARM,2020-03-30,2020-03-31,832.25,832.25,743.27,2.0,,,2020-04-23,815.41,ma_breach,13,-0.189,False,-4550.23,331.54
NAVINFLUOR,2020-04-03,2020-04-07,1288.7,1255.13,1165.03,2.0,2020-04-27,1536.028131082598,2020-05-12,1390.33,trail,22,1.411,False,23262.19,388.32
IPCALAB,2020-03-31,2020-04-03,694.92,694.92,644.14,2.0,2020-04-08,796.5025762138079,2020-05-29,742.3,trail,35,1.466,False,25005.1,509.69
ABBOTINDIA,2020-03-26,2020-03-30,15487.62,13578.23,13015.65,2.0,,,2020-06-11,14955.46,ma_breach,47,-0.215,False,-4726.67,225.29
DIVISLAB,2020-04-07,2020-04-08,2085.58,2085.58,1861.82,2.0,,,2020-06-18,2236.81,ma_breach,47,0.676,False,11722.11,353.21
INDIACEM,2020-05-15,2020-05-18,117.11,117.11,98.78,2.0,,,2020-07-13,119.82,ma_breach,39,0.148,False,1977.28,248.98
TRIDENT,2020-06-10,2020-06-11,6.67,6.35,5.67,2.0,,,2020-07-16,5.67,stop,25,-1.0,False,-21339.64,251.41
GMMPFAUDLR,2020-04-20,2020-04-23,1270.27,1166.73,1061.3,2.0,,,2020-07-20,1306.7,ma_breach,60,0.174,False,2500.19,235.13
ALKYLAMINE,2020-04-22,2020-04-27,678.46,678.46,554.79,2.0,2020-07-09,925.7985899429601,2020-07-27,882.21,time,63,1.824,False,34317.33,246.84
ZYDUSLIFE,2020-04-03,2020-04-07,291.32,269.57,248.88,2.0,,,2020-07-30,348.66,ma_breach,78,1.351,False,23099.93,263.12
IDBI,2020-07-28,2020-07-30,39.23,36.58,34.51,2.0,,,2020-08-07,37.43,ma_breach,6,-0.381,False,-8961.52,332.44
HATHWAY,2020-08-04,2020-08-07,41.7,37.9,34.27,2.0,,,2020-08-18,37.55,ma_breach,7,-0.558,False,-12441.84,222.71
ISEC,2020-08-05,2020-08-10,495.0,487.3,452.85,2.0,,,2020-08-19,475.0,ma_breach,7,-0.474,False,-11624.73,481.98
IBREALEST,2020-08-17,2020-08-19,78.85,71.75,65.03,2.0,,,2020-08-24,65.03,stop,3,-1.0,False,-22443.7,225.53
NAUKRI,2020-05-27,2020-06-01,530.08,478.2,457.09,2.0,2020-08-10,676.0623456779233,2020-08-27,642.21,time,63,1.768,False,34301.49,321.42
ITI,2020-06-17,2020-06-18,101.0,92.8,82.32,2.0,2020-07-07,138.36479695129395,2020-08-31,131.87,trail,52,1.826,False,35971.28,255.13
CIPLA,2020-07-15,2020-07-20,657.48,614.06,603.53,2.0,2020-08-10,765.3694198433034,2020-08-31,680.41,trail,30,1.213,False,23785.75,521.74
BHARATRAS,2020-07-09,2020-07-13,2496.18,2335.58,2146.58,2.0,,,2020-09-08,2311.85,ma_breach,41,-0.527,False,-11882.02,283.99
DCAL,2020-09-04,2020-09-08,186.3,186.3,170.08,2.0,,,2020-09-10,170.08,stop,2,-1.0,True,-23837.45,486.34
GMMPFAUDLR,2020-08-05,2020-08-10,1753.66,1405.9,1376.08,2.0,,,2020-09-24,1325.2,ma_breach,33,-1.135,False,-24365.39,170.79
BAJAJELEC,2020-08-14,2020-08-19,450.67,439.71,406.77,2.0,,,2020-09-25,423.75,ma_breach,27,-0.613,False,-14789.38,431.36
AFFLE,2020-07-06,2020-07-09,369.6,320.1,310.7,2.0,2020-08-24,487.4020187988282,2020-10-05,546.54,trail,61,2.502,False,50897.58,312.78
IDEA,2020-09-25,2020-09-28,10.75,10.45,8.99,2.0,,,2020-10-05,8.99,stop,4,-1.0,False,-20784.71,228.64
HONAUT,2020-08-19,2020-08-24,34611.91,31546.23,30269.95,2.0,,,2020-10-09,31001.39,ma_breach,33,-0.832,False,-19007.69,324.77
SEQUENT,2020-09-22,2020-09-24,148.8,147.0,129.07,2.0,,,2020-11-03,139.8,ma_breach,27,-0.456,False,-10505.86,302.89
GODREJPROP,2020-10-29,2020-11-03,1126.95,1004.4,975.52,2.0,,,2020-11-04,975.52,stop,1,-1.0,False,-20519.98,277.96
THYROCARE,2020-10-06,2020-10-09,290.12,265.72,226.22,2.0,2020-11-14,417.9158194566491,2020-11-17,359.28,trail,27,1.541,True,30442.96,215.0
INDIAMART,2020-11-13,2020-11-14,4713.39,2359.04,2298.44,2.0,,,2020-11-17,2298.44,stop,1,-1.0,False,-20168.23,57.97
ASTRAZEN,2020-08-26,2020-08-31,3586.86,3538.66,3333.25,2.0,2020-09-07,4094.0651450231467,2020-11-27,4473.98,time,63,2.749,False,57653.79,677.68
WOCKPHARMA,2020-11-26,2020-11-27,409.11,400.67,361.92,2.0,2020-12-11,503.4923831176758,2020-12-22,409.58,trail,16,1.005,False,19601.23,369.94
ADVENZYMES,2020-09-23,2020-09-25,277.38,222.5,210.97,2.0,,,2020-12-24,311.28,ma_breach,62,0.511,False,9639.79,178.21
