,base,hard_stop,widen10,widen20,disaster05,disaster10,disaster15,extcap10,extcap15,extcap20,voltarget,p2exit,scaledP,tp_on_high,earlycut,maxrisk10,notional20
2017-01-31,-0.008947009793545235,-0.008947009793545235,-0.008133645266859335,-0.007455841494620974,-0.008947009793545235,-0.008947009793545235,-0.008947009793545235,-0.008947009793545235,-0.008947009793545235,-0.008947009793545235,-0.008947009793545235,-0.008947009793545235,-0.008947009793545235,-0.008947009793545235,-0.008947009793545235,-0.008947009793545235,-0.008843252293447401
2017-02-28,0.04832650128775873,0.04832650128775873,0.07778917543401098,0.08154114471343021,0.04832650128775873,0.04832650128775873,0.04832650128775873,0.06452138751870695,0.04832650128775873,0.04832650128775873,0.04832650128775873,0.04832650128775873,0.04832650128775873,0.04832650128775873,0.04832650128775873,0.048347751456104815,0.07136432241942203
2017-03-31,0.012230210983838363,0.012230210983838363,0.03166030916502072,0.027267236719453525,0.012230210983838363,0.012230210983838363,0.012230210983838363,0.0076706941250954674,0.012230210983838363,0.012230210983838363,0.012230210983838363,0.012230210983838363,0.010962640489221576,0.010003558490248476,0.012230210983838363,0.012268655501138204,0.02501918143149573
2017-04-30,0.027753373895200495,0.027753373895200495,0.05386523062583515,0.05582121685954777,0.027753373895200495,0.027753373895200495,0.027753373895200495,0.008610506004176344,0.027753373895200495,0.027753373895200495,0.027753373895200495,0.016966166681128048,0.028236159408053574,0.03676915962838456,0.027753373895200495,0.027765442913417537,0.04488550646777267
2017-05-31,0.0205576630982216,0.0205576630982216,0.12405704315584942,0.1361014485227805,0.0205576630982216,0.0205576630982216,0.0205576630982216,0.04496986822437665,0.0205576630982216,0.0205576630982216,0.020043085746298983,0.04606895994684468,0.02873056198089774,0.038409146982627984,0.0205576630982216,0.020554625543999894,0.09148104050407802
2017-06-30,0.02826948136845675,0.02826948136845675,-0.014605044797442068,-0.013500918726275457,0.02826948136845675,0.02826948136845675,0.02826948136845675,6.875313888254908e-05,0.02826948136845675,0.02826948136845675,0.01115294741191164,0.01540492481841027,-0.020322543334275855,0.016028619863127203,0.02826948136845675,0.028269321119967383,0.018250912107140138
2017-07-31,-0.00046226358001177914,-0.00046226358001177914,0.01561510332818039,0.014242207620414948,-0.00046226358001177914,-0.00046226358001177914,-0.00046226358001177914,0.00045207779455647135,0.004806940914062308,0.004806940914062308,0.0076589822449348866,0.03292937715787003,0.03311528137909492,0.03188237017324114,-0.00046226358001177914,-0.0029260211909523104,0.023426877613900388
2017-08-31,0.004583009112962166,-0.012604830053062566,-0.07063692750089012,-0.06466473920879867,0.004583009112962166,0.004583009112962166,0.004583009112962166,-0.005112126960972296,-0.0006732586022485387,0.0030230470040011337,-0.017686623874488494,-0.00857884246695706,-0.02896537638478669,-0.0018782462215931606,0.004583009112962166,-0.016269617793649105,-0.006826849109064614
2017-09-30,0.0015399430100662137,0.0024449384763214344,0.0015021400267065665,0.0013693761343449573,0.0015399430100662137,0.0015399430100662137,0.0015399430100662137,0.0,0.0,0.0024449384763209903,0.0010481099733030685,0.0010563972542994016,0.003944682125240684,0.01694803311634563,0.0015399430100662137,0.0024449384763214344,0.013017151885529321
2017-10-31,-0.01076083567692765,-0.0012922944499524913,-0.009348548540118573,-0.00860745659667328,-0.01076083567692765,-0.01076083567692765,-0.01076083567692765,0.00395021218066427,0.005086067106672587,0.0022502879042858304,-0.012883396923670687,0.01577754530391351,-0.017446040945675922,-0.010907427426869787,-0.0072364008824097326,-0.0029855718671455422,-0.012501288480364803
2017-11-30,0.049696066078849244,0.07003875682985172,0.04511732151867087,0.04132716302660833,0.045542032858207904,0.049696066078849244,0.049696066078849244,0.04124483473277163,0.04455491807959011,0.05109724626430867,0.04979042941741407,0.0802575850996694,0.02455483159577132,0.04541244410395584,0.05591787217417177,0.058683985526600146,0.030295799637656495
2017-12-31,0.1123567118155413,0.10928265911447532,0.10246196426332266,0.094196481904393,0.11278826008296172,0.1123567118155413,0.1123567118155413,0.028424437580463424,0.08870365045276074,0.08132206185792668,0.11219155798129066,0.08882674951016378,0.08967642556308908,0.10143038677658067,0.09413351740560016,0.08300483349483834,0.0752284562732548
2018-01-31,0.06738938379793002,0.06779826961874869,0.044940188666916736,0.03588149510844518,0.06736373660556105,0.06738938379793002,0.06738938379793002,0.05813682984806623,0.07166355809521119,0.07173537870411684,0.041488167520205455,0.04722344009236257,0.006670949651835567,0.07475393659473206,0.02846495764952217,0.0571489111794774,0.02797704868737605
2018-02-28,-0.025430711100301373,-0.09413200336099836,-0.03843158263475421,-0.03139685941047865,-0.025429774874207833,-0.025430711100301373,-0.025430711100301373,-0.09233731508528886,0.010491187691708648,-0.031115338300511164,-0.036387735583057745,-0.07743244841668628,-0.07976416606075187,-0.07756484843558897,-0.05318876070750633,-0.03611899885608061,-0.039832713519380114
2018-03-31,-0.09427814454336259,-0.10186028802607383,-0.08118626047657673,-0.08415329902309665,-0.09427815790302296,-0.09427814454336259,-0.09427814454336259,-0.02620968126502954,-0.06266635215824157,-0.08702536282890383,-0.0865688646437357,-0.09022387328677295,-0.08606404139796109,-0.10388770436441852,-0.06370132584872135,-0.02833829998576043,-0.09585463478069034
2018-04-30,0.2447806107572541,0.1403202288282106,0.19786103889184048,0.06297979243553642,0.24478058539248604,0.2447806107572541,0.2447806107572541,0.009129199053223624,0.17587778536315013,0.21432043502426823,0.12802726675428788,0.08059678929040359,0.21451760776463824,0.08733844871008922,0.09826263006387137,0.1634298583280227,0.14760998790022883
2018-05-31,-0.04358820483650028,-0.06719236344775326,-0.06325227835748426,-0.062748832548843,-0.043588200388877674,-0.04358820483650028,-0.04358820483650028,-0.058288165001342374,-0.059148253521310035,-0.0756069910561421,-0.07339458284600331,-0.11779635665330368,-0.07133416929733916,-0.08604369274864232,-0.04016541628238557,-0.06038182660536584,-0.08243559603191086
2018-06-30,-0.02854855771058018,-0.049363419150803,-0.03409718807308548,-0.04591936556517906,-0.029924915513980466,-0.02854855771058018,-0.02854855771058018,-0.07788986064676873,-0.0656892139194436,-0.03127586726109188,-0.03510388361209016,-0.019475271087226353,-0.004292350926867083,-0.023190157352642515,-0.05722010949474843,-0.01664392812670712,-0.05153332255964316
2018-07-31,0.09737603802740513,0.1172690526271063,0.08199269941634557,0.05273884927410766,0.0968829604066388,0.09737603802740513,0.09737603802740513,0.029763387747659076,0.06881600534063503,0.11102037721800273,0.07499171165307583,0.0653844307106477,0.06878935462069435,0.05387206814044854,0.11930805339965356,0.09154655194042638,0.06749363792569785
2018-08-31,0.07970946157779846,0.11163052708510168,0.102803869667071,0.08670180787271331,0.07974485194988068,0.07970946157779846,0.07970946157779846,0.03646412048068082,0.09581081946421732,0.047837005112309594,0.10674295372460008,0.045426308864868314,0.0749832163375388,0.04606715731389177,0.07835665724398422,0.08346837540866803,0.03748847292819213
2018-09-30,-0.11657712915630969,-0.11516607433454762,-0.09095218489566126,-0.13208558892803668,-0.11858761708593046,-0.12273594700031742,-0.12689762195446574,-0.04360787202944938,-0.13483514191803625,-0.08317581476796587,-0.11307975639013212,-0.11231756274484828,-0.10380353679094245,-0.1107715435512926,-0.12013414861029725,-0.04887264703300398,-0.09607792340069143
2018-10-31,-0.007699728495029645,-0.047647700787237235,-0.048485794438286156,-0.04713248645988888,-0.09469909729220172,-0.007955839300206602,-0.00813094575940243,-0.0556101623093731,-0.013083743561815186,-0.06337159910319312,-0.058552571016987964,0.022338653865406677,-0.04578417024804715,-0.06696063798704044,-0.020952969579013603,-0.03503585980850488,-0.08712905794124459
