ticker,entry_week,exit_week,entry,stop0,risk_pct,R,held_weeks,reason,gap_through,half_booked,ext_vs_44w_pct,mansfield,adv20,year,legs
CASTROLIND,2023-07-28,2023-09-22,127.66,90.35,29.22,-0.095,8,stop,False,False,24.58,15.52,247434736.92105445,2023,stop@125.01x1.00
CCL,2024-09-06,2024-10-25,751.12,545.44,27.38,-0.433,7,stop,False,True,21.97,7.58,611933898.8134705,2024,stage3_half@692.68x0.50;stop@636.61x0.50
CENTURYPLY,2024-09-20,2024-11-01,894.47,620.54,30.62,-0.259,6,stop,False,False,25.06,9.88,442068226.0221863,2024,stop@829.50x1.00
CESC,2023-08-04,2023-10-27,71.69,56.49,21.19,0.367,12,stop,False,False,10.71,1.52,293670680.56331635,2023,stop@77.78x1.00
CHAMBLFERT,2019-05-31,2019-07-12,159.54,114.77,28.06,-0.463,6,stop,False,False,21.24,12.91,74894424.7114212,2019,stop@139.87x1.00
CHEMPLASTS,2024-06-14,2024-07-19,621.5,413.45,33.48,-0.47,5,stop,False,False,29.33,16.5,438885021.5604156,2024,stop@527.65x1.00
CHOLAHLDNG,2020-01-17,2020-03-13,535.82,419.06,21.79,-0.722,8,stop,False,True,11.11,4.52,90906915.941008,2020,stage3_half@491.01x0.50;stop@419.06x0.50
CIEINDIA,2024-05-24,2024-07-26,532.99,391.02,26.64,0.034,9,stop,False,False,15.19,2.34,381120561.20410764,2024,stop@541.54x1.00
CLEAN,2024-08-02,2024-10-11,1634.63,1231.57,24.66,-0.381,10,stop,False,True,17.31,1.97,490316274.69794923,2024,stage3_half@1482.70x0.50;stop@1501.46x0.50
COCHINSHIP,2022-09-02,2022-12-23,178.41,132.04,25.99,2.257,16,stop,False,False,15.52,11.89,205236985.4104584,2022,stop@284.70x1.00
COLPAL,2018-05-18,2018-07-20,1013.52,839.68,17.15,-0.373,9,stop,False,True,13.32,9.33,348870822.4603119,2018,stage3_half@957.47x0.50;stop@953.71x0.50
COLPAL,2022-09-02,2022-09-30,1532.8,1253.22,18.24,-0.42,4,stop,True,False,11.02,7.13,575198209.7727845,2022,stop@1420.65x1.00
COLPAL,2023-07-07,2024-01-25,1656.81,1327.04,19.9,1.806,29,stop,False,False,14.31,5.44,685117812.8617675,2023,stop@2259.53x1.00
CONCOR,2019-09-27,2019-11-22,547.02,421.91,22.87,-0.253,8,stop,False,False,15.11,11.64,763393044.9456803,2019,stop@517.27x1.00
CONCOR,2022-09-09,2022-12-23,713.84,524.23,26.56,-0.13,15,stop,False,False,16.59,11.16,2009450603.0770843,2022,stop@691.69x1.00
CROMPTON,2024-05-17,2024-09-27,385.72,257.13,33.34,0.188,19,stop,False,False,30.95,20.83,2426479080.3736587,2024,stop@411.39x1.00
DABUR,2024-06-07,2024-08-09,598.16,477.28,20.21,0.019,9,stop,True,False,13.32,0.17,2952913795.21593,2024,stop@602.58x1.00
DCMSHRIRAM,2024-08-09,2025-01-17,1120.69,819.28,26.9,-0.385,23,stop,False,True,16.23,2.57,160443511.82491454,2024,stage3_half@1020.72x0.50;stop@1003.19x0.50
DIVISLAB,2024-05-31,2024-07-26,4261.52,3314.47,22.22,0.128,8,stop,False,False,16.05,7.25,2817802878.634094,2024,stop@4397.86x1.00
DRREDDY,2020-01-31,2020-02-28,599.76,452.77,24.51,-0.017,4,stop,False,False,13.55,10.42,2534754392.0263977,2020,stop@599.47x1.00
ECLERX,2023-06-02,2023-08-18,805.43,609.77,24.29,0.02,11,stop,False,False,14.58,8.9,224015706.520459,2023,stop@815.07x1.00
EPIGRAL,2024-02-23,2024-05-10,1212.05,862.5,28.84,0.069,11,stop,False,False,24.97,9.55,234148203.55086058,2024,stop@1244.79x1.00
