ticker,entry_week,exit_week,entry,stop0,risk_pct,R,held_weeks,reason,gap_through,half_booked,ext_vs_44w_pct,mansfield,adv20,year,legs
TORNTPOWER,2019-07-05,2019-08-30,249.24,189.79,23.85,-0.199,8,stop,False,True,20.06,14.46,486958093.3215645,2019,stage3_half@243.01x0.50;stop@235.23x0.50
TRIVENI,2023-09-08,2023-10-27,336.43,241.05,28.35,0.267,7,stop,False,False,22.57,14.06,392227401.54048,2023,stop@364.34x1.00
ULTRACEMCO,2019-04-26,2019-07-12,4459.9,3154.32,29.27,-0.149,11,stop,False,False,16.76,9.72,2830317791.8103395,2019,stop@4280.97x1.00
UNITDSPR,2023-07-21,2024-02-09,1017.41,715.34,29.69,0.073,29,stop,False,False,23.5,13.34,1281643152.585092,2023,stop@1043.21x1.00
VGUARD,2019-05-31,2019-07-26,235.53,178.09,24.39,-0.272,8,stop,False,False,17.54,9.46,246815023.1800316,2019,stop@221.50x1.00
VGUARD,2023-06-30,2023-10-06,279.4,226.53,18.92,0.325,14,stop,False,False,11.83,4.97,114369707.58370285,2023,stop@298.59x1.00
VOLTAS,2023-12-22,2024-05-10,935.97,735.86,21.38,1.583,20,stop,False,False,14.2,1.02,1974813805.919632,2023,stop@1256.74x1.00
WHIRLPOOL,2023-10-13,2023-12-01,1703.87,1279.43,24.91,-0.471,7,stop,False,False,18.76,10.13,205394614.5870239,2023,stop@1515.41x1.00
WIPRO,2023-12-22,2024-04-12,216.38,175.41,18.93,0.181,16,stop,False,True,16.23,2.46,3498358141.370369,2023,stage3_half@228.30x0.50;stop@220.88x0.50
YESBANK,2022-04-08,2022-06-17,15.65,12.1,22.68,-0.916,10,stop,False,False,19.49,11.04,2862471746.620897,2022,stop@12.45x1.00
YESBANK,2023-11-17,2024-03-15,20.8,15.5,25.48,0.325,17,stop,False,False,23.93,14.12,4510654234.2046995,2023,stop@22.60x1.00
