,blend
2017-09-18,0.0094201968325534
2017-09-19,-7.71948368332e-05
2017-09-20,-0.001296681383813122
2017-09-21,-0.0036890625074204996
2017-09-22,-0.00494498213571685
2017-09-25,-0.0065180225165726
2017-09-26,-0.0010510965908906
2017-09-27,-0.0059518430892488506
2017-09-28,0.00398692912150105
2017-09-29,0.0025001000321112
2017-10-03,-0.00193913307355885
2017-10-04,0.0051611829604527
2017-10-05,-0.00327761566088725
2017-10-06,0.00713499511329345
2017-10-09,-0.0050616151817543505
2017-10-10,-0.0022213457681194
2017-10-11,-0.0080796234834265
2017-10-12,0.0073374188964875
2017-10-13,0.00483741060795465
2017-10-16,0.0099936591491358
2017-10-17,-0.00223539929941175
2017-10-18,-0.0033478091237372502
2017-10-19,1.2093900486599913e-05
2017-10-23,-0.0033325759663932002
2017-10-24,0.0028930619663001
2017-10-25,-0.006877346514385
2017-10-26,0.0037147442494680997
2017-10-27,0.00023601994405746932
2017-10-30,0.00113431777418975
2017-10-31,-0.00287332240002085
2017-11-01,0.003844392291636785
2017-11-02,0.0038607691000343
2017-11-03,-0.0012369701350306
2017-11-06,0.0032088270818605
2017-11-07,-0.0079917860932924
2017-11-08,0.0013793996006411
2017-11-09,0.0031333105988662
2017-11-10,0.005809783221591664
2017-11-13,-0.00271695931769715
2017-11-14,-0.0063677556923517
2017-11-15,-0.010054810362783401
2017-11-16,0.00476250625404825
2017-11-17,0.0046527499531301
2017-11-20,0.01832391753094995
2017-11-21,0.0044568069361928505
2017-11-22,0.0046253564527222995
2017-11-23,-0.01440308898417165
2017-11-24,0.01531194951648345
2017-11-27,-0.0045066395152929
2017-11-28,0.00309397306585815
2017-11-29,0.00546933052874305
2017-11-30,-0.00235003142950375
2017-12-01,-0.0024600229165005
2017-12-04,0.004278624761848799
2017-12-05,-0.00332148523048185
2017-12-06,-0.00544606790555615
2017-12-07,0.011552481904867951
2017-12-08,0.0092882478420125
2017-12-11,0.01757886813331935
2017-12-12,-0.0037230956834262995
2017-12-13,-0.00601965558986325
2017-12-14,0.0030656914026645997
2017-12-15,0.0116261297975522
2017-12-18,0.0019724677254387498
2017-12-19,0.017209364018151152
2017-12-20,0.0043356274266764
2017-12-21,0.00024116728989810002
2017-12-22,3.908286070794997e-05
2017-12-26,0.00852762473138255
2017-12-27,-0.0011296318124572999
2017-12-28,0.00375610307485585
2017-12-29,0.006606596913143
2018-01-01,-0.0009470209885926559
2018-01-02,-0.002423586185179334
2018-01-03,0.0016170285517062089
2018-01-04,0.007318146311848703
2018-01-05,0.006000907042596176
2018-01-08,0.006284918517883174
2018-01-09,0.005207242491485917
2018-01-10,0.005339522512830517
2018-01-11,8.892066803213626e-05
2018-01-12,-0.005828213929352281
2018-01-15,-0.0024945639466597822
2018-01-16,0.0009274151831429466
2018-01-17,0.0039050479976863264
2018-01-18,-0.008378716885781779
2018-01-19,0.006663323770430303
2018-01-22,0.009102425560365127
2018-01-23,0.004430052985368982
2018-01-24,-0.006694245865212747
2018-01-25,0.003252466402792392
2018-01-29,0.012854361397894743
2018-01-30,-0.014325568809064751
2018-01-31,-0.009654198509515426
2018-02-01,-0.0011656141525801583
2018-02-02,-0.02528421424349675
2018-02-05,0.004756869877821411
2018-02-06,0.008592279817647555
2018-02-07,-0.0013312686203283473
2018-02-08,0.007987979863382573
2018-02-09,-0.00453798723635611
2018-02-12,0.0016772939003755801
2018-02-14,0.00026185934896431537
2018-02-15,-0.00935027070437944
2018-02-16,-0.006886712847085107
2018-02-19,-0.0047015696893969484
2018-02-20,0.0004259991659077212
2018-02-21,-0.0005882061032013676
2018-02-22,-0.007570662105462625
2018-02-23,0.008416698549496839
2018-02-26,0.005521947123682067
2018-02-27,-0.0007093781130698561
2018-02-28,-0.005104244050419174
2018-03-01,0.0019598116677262906
2018-03-05,-0.007129098344563519
2018-03-06,-0.009252807733319483
2018-03-07,-0.0077132892822769665
2018-03-08,-0.001923384358337759
2018-03-09,0.0020969877894802505
2018-03-12,0.012997232451872072
2018-03-13,0.0030549075185654848
2018-03-14,-0.005857940210660935
2018-03-15,-0.00016946170402650597
2018-03-16,-0.012184525041509521
2018-03-19,-0.010829861201632124
2018-03-20,-0.0009403490786100799
2018-03-21,0.0014879378845187425
2018-03-22,-0.003165372027070787
2018-03-23,-0.010371216877699851
2018-03-26,0.006040877249625375
2018-03-27,0.0050680140665574705
2018-03-28,-0.0020845003555393254
2018-04-02,0.014799859110726527
2018-04-03,0.0105949347285378
2018-04-04,-0.00375515092506417
2018-04-05,0.025313017493925314
2018-04-06,0.0018118710616243966
