id,ticker,entry_date,cohort,ext_band,crs_tercile,false_touch,noise_stop,exit_too_early,R,opp_quality_R,ext_vs_sma,rank_crs
5f701fbe6fc8,FINEORG,2020-03-09,noise_stop,1,2,0,1,0,-39.947,21.878,18.35,0.3384
f5bdd1ed21ae,RCF,2022-05-23,noise_stop,1,2,0,1,0,-1.134,-0.103,27.1,0.339
19da29daac63,SIS,2020-02-11,noise_stop,1,2,0,1,0,-1.394,0.399,25.25,0.1981
cc5b6831f3e6,IOB,2023-03-08,noise_stop,1,2,0,1,0,-1.179,-0.103,19.75,0.196
2e42c4494f55,SHRIRAMFIN,2018-03-19,noise_stop,1,2,0,1,0,-1.213,1.446,23.99,0.2122
2fe169ee7674,TATAELXSI,2022-05-16,noise_stop,1,2,0,1,0,-1.368,1.819,25.88,0.3235
d19439415140,JSL,2022-03-07,noise_stop,1,2,0,1,0,-1.393,0.55,23.6,0.253
de5271b27b36,UNOMINDA,2022-03-14,noise_stop,1,2,0,1,0,-1.286,0.316,20.36,0.2004
56d9b3d68f6f,BERGEPAINT,2023-09-25,noise_stop,1,2,0,1,0,-1.157,-0.493,27.75,0.1986
a3bd76114889,CGCL,2019-11-11,noise_stop,1,2,0,1,0,-1.442,0.122,25.4,0.207
507652b2b713,INDOCO,2020-06-10,strong_winner,1,2,0,0,1,2.136,3.733,19.03,0.2303
5e6501c5ac24,JINDALSTEL,2020-10-05,strong_winner,1,2,0,0,1,3.798,8.635,25.18,0.1728
e23c35ac0dbf,FINCABLES,2023-01-16,strong_winner,1,2,0,0,0,5.781,12.083,23.68,0.175
eb5472db1670,TATAELXSI,2022-03-07,strong_winner,1,2,0,0,1,2.936,8.529,22.84,0.27
d74cf4ff2aac,ZYDUSLIFE,2023-02-13,strong_winner,1,2,0,0,0,2.264,2.592,22.86,0.1737
7ccde005a347,TIMKEN,2019-09-24,strong_winner,1,2,0,0,0,2.381,3.287,24.67,0.1897
3c0981ea20f9,VBL,2022-07-04,strong_winner,1,2,0,0,1,2.051,3.408,23.73,0.3313
e9f86e65879e,NCC,2023-01-02,strong_winner,1,2,0,0,1,2.328,5.628,25.54,0.1847
abdbecd83ab0,COALINDIA,2023-09-11,strong_winner,1,2,0,0,0,2.702,4.754,27.49,0.1728
45ae16d93b2a,MGL,2023-03-13,strong_winner,1,2,0,0,0,2.573,3.737,19.86,0.1895
ccf61f084e4a,ATGL,2022-03-07,strong_winner,1,2,0,0,0,2.378,3.462,22.57,0.301
0516f2400577,KEI,2022-03-21,strong_winner,1,2,0,0,0,2.447,3.502,24.12,0.194
2218679ee858,BAJFINANCE,2019-08-13,strong_winner,1,2,0,0,0,2.031,2.92,18.6,0.1778
3b9e73d30289,TVSMOTOR,2022-06-28,strong_winner,1,2,0,0,0,2.038,3.281,25.4,0.3451
42d6298f9403,JBCHEPHARM,2020-03-30,strong_winner,1,2,0,0,0,2.056,2.883,21.11,0.5964
69c69dbea895,MIDHANI,2020-01-13,strong_winner,1,2,0,0,0,2.387,3.981,26.28,0.1952
fa75c3969332,TITAN,2018-03-12,strong_winner,1,2,0,0,0,3.725,6.957,22.01,0.1773
