ticker,from_date,to_date
RBLBANK,2016-08-31,2030-12-31
RCF,2011-04-20,2026-03-05
RCOM,2011-06-06,2019-10-29
RECLTD,2011-04-20,2030-12-31
REDINGTON,2011-04-20,2030-12-31
RELAXO,2011-06-17,2024-10-21
RELCAPITAL,2011-06-06,2021-11-26
RELIANCE,2011-04-20,2030-12-31
RELINFRA,2011-06-06,2019-10-29
RELINFRA,2025-10-26,2026-03-05
RENUKA,2011-04-20,2025-10-26
REPCOHOME,2013-04-01,2021-06-14
RHFL,2017-09-22,2019-10-29
RHIM,2021-06-14,2030-12-31
RITES,2018-12-03,2030-12-31
RKFORGE,2011-04-20,2019-10-29
RKFORGE,2024-10-21,2030-12-31
RNAVAL,2011-06-06,2019-10-29
ROSSARI,2021-06-14,2024-10-21
ROUTE,2021-06-14,2025-10-26
RPOWER,2011-04-20,2019-10-29
RPOWER,2024-10-21,2030-12-31
RRKABEL,2024-10-21,2030-12-31
RTNINDIA,2021-06-14,2025-10-26
RUPA,2011-12-07,2019-10-29
RUSTOMJEE,2023-01-05,2023-09-05
RVNL,2019-10-29,2030-12-31
SADBHAV,2011-06-06,2021-06-14
SADBHIN,2015-09-16,2019-10-29
SAFARI,2023-09-05,2024-10-21
SAGILITY,2024-10-21,2030-12-31
SAIL,2011-04-20,2030-12-31
SAILIFE,2024-10-21,2030-12-31
SAMMAANCAP,2024-10-21,2030-12-31
SANOFI,2011-06-06,2024-10-21
SAPPHIRE,2021-06-14,2030-12-31
SARDAEN,2024-10-21,2030-12-31
SAREGAMA,2021-06-14,2023-01-05
SAREGAMA,2023-09-05,2030-12-31
SBFC,2024-10-21,2030-12-31
SBICARD,2021-06-14,2030-12-31
SBILIFE,2017-10-03,2030-12-31
SBIN,2011-04-20,2030-12-31
SCHAEFFLER,2011-04-20,2030-12-31
SCHNEIDER,2019-10-29,2021-06-14
SCHNEIDER,2024-10-21,2030-12-31
SCI,2011-04-20,2023-01-05
SCI,2024-10-21,2030-12-31
SEQUENT,2019-10-29,2022-07-22
SFL,2018-12-03,2023-01-05
SFL,2023-09-05,2024-10-21
SHANKARA,2017-04-05,2019-10-29
SHARDACROP,2022-07-22,2024-10-21
SHILPAMED,2011-06-06,2019-10-29
SHILPAMED,2021-06-14,2023-01-05
SHK,2015-11-16,2019-10-29
SHOPERSTOP,2011-06-06,2021-06-14
SHOPERSTOP,2022-07-22,2024-10-21
SHREECEM,2011-04-20,2030-12-31
SHRIRAMFIN,2011-04-20,2030-12-31
SHYAMMETL,2021-06-14,2030-12-31
SIEMENS,2011-04-20,2030-12-31
SIGNATURE,2024-10-21,2030-12-31
SIS,2017-08-10,2023-01-05
SJVN,2011-04-20,2030-12-31
SKFINDIA,2011-04-20,2025-10-26
SOBHA,2011-04-20,2030-12-31
SOLARA,2021-06-14,2022-07-22
SOLARINDS,2011-04-20,2030-12-31
SONACOMS,2021-06-14,2030-12-31
SONATSOFTW,2011-04-20,2030-12-31
SOUTHBANK,2011-06-06,2021-06-14
SPANDANA,2019-10-29,2021-06-14
SPARC,2011-06-06,2024-10-21
SPICEJET,2019-10-29,2022-07-22
SPLPETRO,2026-03-05,2030-12-31
SPTL,2017-08-08,2019-10-29
SREINFRA,2011-01-01,2019-10-29
SRF,2011-04-20,2030-12-31
STAR,2011-06-06,2022-07-22
STARCEMENT,2017-06-19,2021-06-14
STARHEALTH,2021-06-14,2030-12-31
STLTECH,2021-06-14,2024-10-21
STRTECH,2011-01-01,2021-06-14
SUDARSCHEM,2011-06-06,2023-01-05
SUMICHEM,2019-10-29,2030-12-31
SUNDARMFIN,2011-04-20,2030-12-31
SUNDRMFAST,2011-04-20,2026-03-05
SUNPHARMA,2011-04-20,2030-12-31
SUNTECK,2011-06-06,2024-10-21
SUNTV,2011-04-20,2030-12-31
SUPRAJIT,2019-10-29,2024-10-21
SUPREMEIND,2011-04-20,2030-12-31
SUVEN,2011-06-06,2019-10-29
SUVENPHAR,2021-06-14,2024-10-21
SUZLON,2011-04-20,2030-12-31
SWANCORP,2025-10-26,2030-12-31
SWANENERGY,2011-01-01,2021-06-14
SWANENERGY,2022-07-22,2025-10-26
SWIGGY,2024-10-21,2030-12-31
SWSOLAR,2019-10-29,2025-10-26
SYMPHONY,2011-06-15,2023-01-05
SYMPHONY,2023-09-05,2024-10-21
SYNDIBANK,2011-01-01,2020-04-01
SYNGENE,2015-08-11,2030-12-31
SYRMA,2023-09-05,2030-12-31
TAKE,2011-06-06,2021-06-14
TANLA,2021-06-14,2025-10-26
TARIL,2024-10-21,2030-12-31
TASTYBITE,2019-10-29,2021-06-14
TATACAP,2026-03-05,2030-12-31
TATACHEM,2011-04-20,2019-10-29
TATACHEM,2021-06-14,2030-12-31
TATACOMM,2019-10-29,2030-12-31
TATACONSUM,2011-04-20,2030-12-31
TATAELXSI,2011-04-20,2030-12-31
TATAINVEST,2011-04-20,2030-12-31
TATAMOTORS,2011-01-01,2025-10-26
TATAMTRDVR,2011-01-01,2024-10-21
TATAPOWER,2011-04-20,2030-12-31
TATASPONGE,2011-01-01,2019-10-29
TATASTEEL,2011-04-20,2030-12-31
TATASTLBSL,2019-10-29,2021-06-14
TATASTLLP,2021-06-14,2022-07-22
TATATECH,2024-10-21,2030-12-31
TBOTEK,2024-10-21,2030-12-31
TCI,2022-07-22,2023-09-05
TCIEXP,2019-10-29,2023-09-05
TCNSBRANDS,2019-10-29,2023-09-05
TCS,2011-04-20,2030-12-31
TEAMLEASE,2016-02-12,2024-10-21
TECHM,2011-04-20,2030-12-31
TECHNOE,2024-10-21,2030-12-31
TEGA,2026-03-05,2030-12-31
TEJASNET,2022-07-22,2030-12-31
TENNIND,2026-03-05,2030-12-31
TEXRAIL,2011-06-06,2019-10-29
THELEELA,2025-10-26,2030-12-31
THERMAX,2011-04-20,2030-12-31
THOMASCOOK,2011-06-06,2019-10-29
THYROCARE,2016-05-09,2023-01-05
TIFIN,2011-01-01,2019-10-29
TIINDIA,2017-11-02,2030-12-31
TIMETECHNO,2011-06-06,2021-06-14
TIMKEN,2011-04-20,2030-12-31
TITAGARH,2024-10-21,2030-12-31
TITAN,2011-04-20,2030-12-31
TMB,2023-01-05,2023-09-05
TMCV,2026-03-05,2030-12-31
TMPV,2025-10-26,2030-12-31
TNPL,2011-06-06,2019-10-29
TORNTPHARM,2011-04-20,2030-12-31
TORNTPOWER,2011-04-20,2030-12-31
TRAVELFOOD,2026-03-05,2030-12-31
TRENT,2011-04-20,2030-12-31
TRIDENT,2011-04-20,2030-12-31
TRITURBINE,2021-06-14,2030-12-31
TRIVENI,2022-07-22,2026-03-05
TTKPRESTIG,2011-06-06,2024-10-21
TTML,2021-06-14,2030-12-31
TV18BRDCST,2011-01-01,2024-10-21
TVSMOTOR,2011-04-20,2030-12-31
TVSSRICHAK,2011-06-06,2019-10-29
TVTODAY,2011-06-06,2021-06-14
UBL,2011-04-20,2030-12-31
UCOBANK,2011-04-20,2022-07-22
UCOBANK,2023-01-05,2030-12-31
UFLEX,2011-06-06,2023-09-05
UJJIVAN,2011-01-01,2021-06-14
UJJIVANSFB,2019-10-29,2021-06-14
UJJIVANSFB,2023-09-05,2024-10-21
ULTRACEMCO,2011-04-20,2030-12-31
UNICHEMLAB,2011-06-06,2019-10-29
UNIONBANK,2011-04-20,2030-12-31
UNITDSPR,2018-10-04,2030-12-31
UNOMINDA,2011-04-20,2030-12-31
UPL,2011-04-20,2030-12-31
URBANCO,2026-03-05,2030-12-31
USHAMART,2023-09-05,2030-12-31
UTIAMC,2021-06-14,2030-12-31
VAIBHAVGBL,2019-10-29,2024-10-21
VAKRANGEE,2011-06-06,2022-07-22
VARROC,2018-12-03,2024-10-21
VBL,2016-11-08,2030-12-31
VEDL,2011-04-20,2030-12-31
VENKEYS,2011-06-06,2022-07-22
VENTIVE,2025-10-26,2026-03-05
VESUVIUS,2019-10-29,2021-06-14
VGUARD,2011-04-20,2026-03-05
VIJAYA,2021-06-14,2030-12-31
VIJAYABANK,2011-01-01,2018-12-03
VINATIORGA,2011-06-06,2024-10-21
VIPIND,2011-06-06,2024-10-21
VMART,2013-02-20,2024-10-21
VMM,2024-10-21,2030-12-31
VOLTAS,2011-04-20,2030-12-31
VRLLOG,2015-04-30,2021-06-14
VSTIND,2019-10-29,2021-06-14
VTL,2011-04-20,2030-12-31
WAAREEENER,2024-10-21,2030-12-31
WABAG,2011-06-06,2019-10-29
WELCORP,2011-04-20,2030-12-31
WELSPUNLIV,2011-04-20,2030-12-31
WESTLIFE,2019-10-29,2025-10-26
WHIRLPOOL,2011-04-20,2030-12-31
WIPRO,2011-04-20,2030-12-31
WOCKPHARMA,2011-04-20,2023-01-05
WOCKPHARMA,2024-10-21,2030-12-31
YESBANK,2011-04-20,2019-10-29
YESBANK,2021-06-14,2030-12-31
ZEEL,2011-04-20,2030-12-31
ZENSARTECH,2011-04-20,2030-12-31
ZENTEC,2024-10-21,2030-12-31
ZFCVINDIA,2011-04-20,2030-12-31
ZOMATO,2021-06-14,2024-10-21
ZYDUSLIFE,2011-04-20,2030-12-31
ZYDUSWELL,2011-06-06,2024-10-21
ZYDUSWELL,2026-03-05,2030-12-31
