PATANJALI FOODS LIMITED (XNSE:PATANJALI),PATANJALI,PATANJALI.NS,,,,,,,,,,,,
INTERGLOBE AVIATION LIMITED (XNSE:INDIGO),INDIGO,INDIGO.NS,,,,,,,,,,,,
GILLETTE INDIA LIMITED (XNSE:GILLETTE),GILLETTE,GILLETTE.NS,,,,,,,,,,,,
NESTLE INDIA LIMITED (XNSE:NESTLEIND),NESTLEIND,NESTLEIND.NS,,,,,,,,,,,,
OIL AND NATURAL GAS CORPORATION LIMITED (XNSE:ONGC),ONGC,ONGC.NS,,,,,,,,,,,,
DR. LAL PATHLABS Limited (XNSE:LALPATHLAB),LALPATHLAB,LALPATHLAB.NS,,,,,,,,,,,,
ZEN TECHNOLOGIES LIMITED (XNSE:ZENTEC),ZENTEC,ZENTEC.NS,,,,,,,,,,,,
GODREJ INDUSTRIES LIMITED (XNSE:GODREJIND),GODREJIND,GODREJIND.NS,,,,,,,,,,,,
CHALET HOTELS LIMITED (XNSE:CHALET),CHALET,CHALET.NS,,,,,,,,,,,,
SUNDARAM FINANCE LIMITED (XNSE:SUNDARMFIN),SUNDARMFIN,SUNDARMFIN.NS,,,,,,,,,,,,
MANKIND PHARMA LIMITED (XNSE:MANKIND),MANKIND,MANKIND.NS,,,,,,,,,,,,
EXIDE INDUSTRIES LIMITED (XNSE:EXIDEIND),EXIDEIND,EXIDEIND.NS,,,,,,,,,,,,
TANLA PLATFORMS LIMITED (XNSE:TANLA),TANLA,TANLA.NS,,,,,,,,,,,,
COAL INDIA LTD (XNSE:COALINDIA),COALINDIA,COALINDIA.NS,,,,,,,,,,,,
SCHNEIDER ELECTRIC INFRASTRUCTURE LIMITED (XNSE:SCHNEIDER),SCHNEIDER,SCHNEIDER.NS,,,,,,,,,,,,
SWIGGY LIMITED (XNSE:SWIGGY),SWIGGY,SWIGGY.NS,,,,,,,,,,,,
EMAMI LIMITED (XNSE:EMAMILTD),EMAMILTD,EMAMILTD.NS,,,,,,,,,,,,
SCHAEFFLER INDIA LIMITED (XNSE:SCHAEFFLER),SCHAEFFLER,SCHAEFFLER.NS,,,,,,,,,,,,
LAURUS LABS LIMITED (XNSE:LAURUSLABS),LAURUSLABS,LAURUSLABS.NS,,,,,,,,,,,,
Devyani International Limited (XNSE:DEVYANI),DEVYANI,DEVYANI.NS,,,,,,,,,,,,
UTI ASSET MANAGEMENT COMPANY LIMITED (XNSE:UTIAMC),UTIAMC,UTIAMC.NS,,,,,,,,,,,,
JAIPRAKASH POWER VENTURES LIMITED (XNSE:JPPOWER),JPPOWER,JPPOWER.NS,,,,,,,,,,,,
ICICI BANK LIMITED (XNSE:ICICIBANK),ICICIBANK,ICICIBANK.NS,,,,,,,,,,,,
RHI Magnesita India Limited (XNSE:RHIM),RHIM,RHIM.NS,,,,,,,,,,,,
TORRENT PHARMACEUTICALS LTD (XNSE:TORNTPHARM),TORNTPHARM,TORNTPHARM.NS,,,,,,,,,,,,
ORACLE FINANCIAL SERVICES SOFTWARE LIMITED (XNSE:OFSS),OFSS,OFSS.NS,,,,,,,,,,,,
BIKAJI FOODS INTERNATIONAL LIMITED (XNSE:BIKAJI),BIKAJI,BIKAJI.NS,,,,,,,,,,,,
BIOCON LIMITED (XNSE:BIOCON),BIOCON,BIOCON.NS,,,,,,,,,,,,
POLYCAB INDIA LIMITED (XNSE:POLYCAB),POLYCAB,POLYCAB.NS,,,,,,,,,,,,
AFCONS INFRASTRUCTURE LIMITED (XNSE:AFCONS),AFCONS,AFCONS.NS,,,,,,,,,,,,
JINDAL STEEL AND POWER LIMITED (XNSE:JINDALSTEL),JINDALSTEL,JINDALSTEL.NS,,,,,,,,,,,,
REDINGTON LIMITED (XNSE:REDINGTON),REDINGTON,REDINGTON.NS,,,,,,,,,,,,
KALPATARU PROJECTS INTERNATIONAL LIMITED (XNSE:KPIL),KPIL,KPIL.NS,,,,,,,,,,,,
VISHAL MEGA MART LIMITED (XNSE:VMM),VMM,VMM.NS,,,,,,,,,,,,
HINDUSTAN COPPER LTD (XNSE:HINDCOPPER),HINDCOPPER,HINDCOPPER.NS,,,,,,,,,,,,
Network18 Media & Investments Limited (XNSE:NETWORK18),NETWORK18,NETWORK18.NS,,,,,,,,,,,,
OIL INDIA LIMITED (XNSE:OIL),OIL,OIL.NS,,,,,,,,,,,,
TRIVENI ENGINEERING AND INDUSTRIES LIMITED (XNSE:TRIVENI),TRIVENI,TRIVENI.NS,,,,,,,,,,,,
LODHA DEVELOPERS LIMITED (XNSE:LODHA),LODHA,LODHA.NS,,,,,,,,,,,,
INFOSYS LIMITED (XNSE:INFY),INFY,INFY.NS,,,,,,,,,,,,
SIEMENS LIMITED (XNSE:SIEMENS),SIEMENS,SIEMENS.NS,,,,,,,,,,,,
DCM SHRIRAM LIMITED (XNSE:DCMSHRIRAM),DCMSHRIRAM,DCMSHRIRAM.NS,,,,,,,,,,,,
ASTRAL LIMITED (XNSE:ASTRAL),ASTRAL,ASTRAL.NS,,,,,,,,,,,,
YES BANK LIMITED (XNSE:YESBANK),YESBANK,YESBANK.NS,,,,,,,,,,,,
Vedanta Limited (XNSE:VEDL),VEDL,VEDL.NS,,,,,,,,,,,,
AMBUJA CEMENTS LIMITED (XNSE:AMBUJACEM),AMBUJACEM,AMBUJACEM.NS,,,,,,,,,,,,
BALRAMPUR CHINI MILLS LTD (XNSE:BALRAMCHIN),BALRAMCHIN,BALRAMCHIN.NS,,,,,,,,,,,,
R R KABEL LIMITED (XNSE:RRKABEL),RRKABEL,RRKABEL.NS,,,,,,,,,,,,
ABB India Limited (XNSE:ABB),ABB,ABB.NS,,,,,,,,,,,,
NATCO PHARMA LIMITED (XNSE:NATCOPHARM),NATCOPHARM,NATCOPHARM.NS,,,,,,,,,,,,
NMDC STEEL LIMITED (XNSE:NSLNISP),NSLNISP,NSLNISP.NS,,,,,,,,,,,,
