tv_symbol,grade,signal_week,sig_ctl_pct,sig_body_frac,sig_range_pct,entry_date,entry,stop,risk_pct,ext_vs_sma,crs_rank,exit_date,exit_px,pct_move,R,mfe_pct,mfe_R,mae_pct,reason,weeks_held,split_flag
NSE:ERIS,A,2025-04-25,7.57,0.54,12.14,2025-04-28,1460.36,1349.76,7.57,13.69,0.11,2025-08-18,1743.74,19.4,2.28,30.09,3.97,-7.66,trail,16.0,
NSE:KFINTECH,A,2025-04-25,8.72,0.48,18.56,2025-04-28,1211.89,1105.9,8.75,16.38,0.13,2025-05-12,1109.47,-8.45,-0.97,6.89,0.79,-17.52,stop,2.0,
NSE:REDINGTON,A,2025-04-25,9.92,0.74,13.3,2025-04-28,239.67,216.29,9.76,17.44,0.17,2025-07-28,292.8,22.17,2.14,36.65,3.76,-1.82,trail,13.0,
NSE:POWERINDIA,A,2025-05-02,9.04,0.82,11.85,2025-05-05,14969.66,13472.69,10.0,17.43,0.13,2025-06-09,18259.7,21.98,2.1,35.55,3.56,-5.49,blowoff_half,5.0,
NSE:GRSE,A,2025-05-02,13.75,0.59,26.02,2025-05-05,1881.39,1693.25,10.0,10.46,0.13,2025-06-30,3023.07,60.68,4.03,86.76,8.68,-8.1,trail,8.0,
NSE:HDFCLIFE,A,2025-05-02,4.26,0.51,7.41,2025-05-05,725.5,693.7,4.38,8.31,0.06,2025-07-07,778.28,7.27,1.83,12.73,2.9,-2.97,blowoff_half,9.0,
NSE:EIDPARRY,A,2025-05-16,11.01,0.97,12.71,2025-05-19,963.65,867.29,10.0,18.2,0.13,2025-08-11,1122.0,16.43,1.82,29.38,2.94,-3.36,trail,12.0,
NSE:BAJAJHLDNG,A,2025-05-16,12.23,0.72,17.15,2025-05-19,12898.58,11608.72,10.0,19.96,0.13,2025-11-24,11577.14,-10.24,-1.02,12.49,1.25,-13.08,stop,27.0,
NSE:PTCIL,A,2025-05-23,10.66,0.41,14.66,2025-05-26,15423.0,13880.7,10.0,15.48,0.12,2025-08-18,13731.0,-10.97,-1.1,3.09,0.31,-12.01,stop,12.0,
NSE:SUZLON,A,2025-05-30,12.23,0.75,18.43,2025-06-02,72.2,64.98,10.0,12.94,0.11,2025-06-16,64.5,-10.66,-1.07,1.8,0.18,-12.52,stop,2.0,
NSE:KFINTECH,A,2025-06-06,14.62,0.85,18.69,2025-06-09,1256.59,1130.93,10.0,15.35,0.08,2025-08-04,1095.07,-12.85,-1.28,9.76,0.98,-14.85,stop,8.0,
NSE:CDSL,B,2025-06-06,13.79,0.85,18.6,2025-06-12,1714.02,1542.62,10.0,19.52,0.18,2025-08-04,1468.03,-14.35,-1.44,4.98,0.5,-15.34,stop,7.6,
