tv_symbol,grade,signal_week,sig_ctl_pct,sig_body_frac,sig_range_pct,entry_date,entry,stop,risk_pct,ext_vs_sma,crs_rank,exit_date,exit_px,pct_move,R,mfe_pct,mfe_R,mae_pct,reason,weeks_held,split_flag
NSE:IDBI,A,2025-12-12,7.28,0.3,8.3,2025-12-15,99.3,92.52,6.83,12.01,0.05,2026-01-27,97.79,-1.52,0.89,19.21,2.81,-5.19,trail,6.1,
NSE:MANAPPURAM,A,2025-12-12,6.64,0.39,7.56,2025-12-15,286.61,267.62,6.63,13.19,0.06,2026-03-09,254.6,-11.17,-1.69,11.84,1.79,-13.02,stop,12.0,
NSE:GPIL,B,2025-12-12,7.29,0.32,8.13,2025-12-18,239.04,221.21,7.46,13.56,0.06,2026-05-04,300.0,25.5,2.71,30.84,4.13,-1.69,blowoff_half,19.6,
NSE:AIIL,A,2025-12-19,11.63,0.78,14.55,2025-12-22,581.0,522.9,10.0,17.35,0.09,2026-01-27,520.0,-10.5,-1.05,17.56,1.76,-14.29,stop,5.1,
NSE:CEATLTD,A,2025-12-19,7.03,0.58,8.5,2025-12-22,3933.1,3655.2,7.07,15.01,0.08,2026-03-02,3132.8,-20.35,-2.88,4.96,0.7,-20.35,stop,10.0,
NSE:NUVAMA,A,2025-12-26,5.06,0.45,7.97,2025-12-29,1465.98,1404.57,4.19,10.79,0.05,2026-01-27,1297.89,-11.47,-2.74,1.7,0.41,-16.62,stop,4.1,
NSE:HEG,A,2025-12-26,5.62,0.67,8.07,2025-12-29,562.4,528.35,6.05,13.5,0.06,2026-02-16,520.05,-7.53,-1.24,19.49,3.22,-10.03,stop,7.0,
NSE:GRAPHITE,A,2025-12-26,5.46,0.79,6.66,2025-12-29,585.35,551.0,5.87,12.52,0.06,2026-03-16,618.5,5.66,1.48,27.62,4.71,-1.81,trail,11.0,
NSE:SAIL,A,2026-01-02,9.88,0.88,12.47,2026-01-05,147.4,132.9,9.84,17.26,0.1,2026-05-11,182.89,24.08,2.22,29.24,2.97,-4.14,blowoff_half,18.0,
NSE:TATASTEEL,A,2026-01-02,7.43,0.92,8.6,2026-01-05,179.18,165.87,7.43,14.32,0.08,2026-03-16,179.3,0.07,1.0,18.36,2.47,-3.03,trail,10.0,
NSE:MAHABANK,A,2026-01-02,10.95,0.96,12.73,2026-01-05,62.09,55.89,9.99,18.79,0.11,2026-06-29,93.85,51.15,3.56,52.2,5.23,-5.15,eos,25.0,
NSE:MSUMI,B,2026-01-02,11.15,0.82,12.89,2026-01-09,48.44,44.29,8.57,15.96,0.12,2026-01-27,43.03,-11.17,-1.3,2.87,0.33,-13.29,stop,2.6,
NSE:SOBHA,A,2026-01-09,3.1,0.1,6.15,2026-01-12,1557.3,1509.0,3.1,6.68,0.03,2026-01-27,1380.0,-11.39,-3.67,1.46,0.47,-15.1,stop,2.1,
NSE:DIVISLAB,A,2026-01-09,4.1,0.56,6.09,2026-01-12,6635.0,6345.0,4.37,5.72,0.02,2026-01-19,6236.0,-6.01,-1.38,0.01,0.0,-8.06,stop,1.0,
NSE:ALKEM,A,2026-01-09,4.61,0.63,5.71,2026-01-12,5752.63,5487.26,4.61,10.74,0.08,2026-02-16,5387.57,-6.35,-1.38,2.32,0.5,-8.06,stop,5.0,
NSE:BEL,A,2026-01-09,3.79,0.73,5.4,2026-01-12,417.72,401.09,3.98,10.91,0.06,2026-03-23,420.6,0.69,1.09,13.34,3.35,-5.36,trail,10.0,
NSE:RAMCOCEM,A,2026-01-09,3.65,0.57,4.79,2026-01-12,1093.8,1053.9,3.65,7.08,0.03,2026-03-16,965.0,-11.78,-3.23,11.03,3.03,-14.06,stop,9.0,
NSE:JSWSTEEL,A,2026-01-16,3.44,0.49,4.84,2026-01-19,1187.4,1146.4,3.45,10.4,0.08,2026-03-16,1121.5,-5.55,-1.61,8.19,2.37,-6.06,stop,8.0,
NSE:JSL,A,2026-01-16,7.96,0.64,9.0,2026-01-19,807.0,747.62,7.36,14.05,0.11,2026-01-27,749.07,-7.18,-0.98,2.91,0.4,-9.63,stop,1.1,
NSE:CHENNPETRO,A,2026-01-16,10.98,0.61,16.69,2026-01-19,851.21,766.09,10.0,15.54,0.12,2026-03-30,942.53,10.73,1.54,27.56,2.76,-7.31,blowoff_half,10.0,
NSE:ASAHIINDIA,A,2026-01-23,6.72,0.03,9.89,2026-01-27,941.0,879.5,6.54,11.37,0.1,2026-03-09,800.0,-14.98,-2.29,8.71,1.33,-16.57,stop,5.9,
NSE:MRPL,A,2026-01-23,11.2,0.27,17.03,2026-01-27,153.48,138.13,10.0,10.62,0.1,2026-03-16,178.1,16.04,1.8,36.8,3.68,-2.17,trail,6.9,
NSE:CREDITACC,A,2026-01-23,13.27,0.31,23.91,2026-01-27,1390.0,1251.0,10.0,9.98,0.09,2026-03-09,1182.8,-14.91,-1.49,0.91,0.09,-18.63,stop,5.9,
NSE:INDUSTOWER,A,2026-01-30,7.44,0.69,9.91,2026-02-02,424.3,411.25,3.08,9.8,0.15,2026-03-16,425.0,0.16,1.03,13.48,4.38,-1.38,trail,6.0,
NSE:ADANIPOWER,A,2026-02-06,14.48,0.73,20.11,2026-02-09,154.0,138.6,10.0,18.39,0.14,2026-05-11,224.5,45.78,3.29,52.21,5.22,-15.13,blowoff_half,13.0,
NSE:BSE,A,2026-02-06,12.67,0.83,15.78,2026-02-09,2918.0,2626.2,10.0,16.89,0.12,2026-06-01,4180.0,43.25,3.16,52.39,5.24,-13.06,blowoff_half,16.0,
NSE:POWERINDIA,A,2026-02-06,16.45,0.92,20.82,2026-02-09,21900.0,19710.0,10.0,19.11,0.14,2026-06-29,34005.0,55.27,3.76,77.1,7.71,-0.33,trail,20.0,
NSE:SAILIFE,A,2026-02-13,6.16,0.55,11.66,2026-02-16,919.7,858.5,6.65,10.25,0.07,2026-06-29,1247.9,35.69,3.68,37.0,5.56,-1.53,eos,19.0,
NSE:JBCHEPHARM,A,2026-02-13,2.92,0.52,4.87,2026-02-16,1897.16,1828.74,3.61,10.89,0.08,2026-04-06,1905.23,0.43,1.06,15.21,4.22,-0.66,trail,7.0,
NSE:ABSLAMC,A,2026-02-13,6.79,0.79,8.47,2026-02-16,869.9,810.2,6.86,11.96,0.09,2026-06-29,1140.0,31.05,3.26,40.81,5.95,-2.86,blowoff_half,19.0,
NSE:GRANULES,A,2026-02-20,7.19,0.84,8.27,2026-02-23,600.0,556.0,7.33,13.48,0.11,2026-06-29,794.8,32.47,3.21,34.05,4.64,-8.77,eos,18.0,
NSE:OIL,A,2026-02-20,6.35,0.71,9.16,2026-02-23,474.95,445.34,6.23,13.48,0.12,2026-06-15,418.8,-11.82,-1.9,11.8,1.89,-13.57,stop,16.0,
NSE:SCHNEIDER,A,2026-02-20,13.74,0.74,18.41,2026-02-23,936.3,842.67,10.0,19.81,0.14,2026-06-01,1243.4,32.8,2.64,51.43,5.14,-11.4,blowoff_half,14.0,
NSE:PNB,B,2026-02-20,9.29,0.9,10.93,2026-02-24,126.57,114.23,9.75,15.84,0.12,2026-03-16,108.84,-14.01,-1.44,1.84,0.19,-16.93,stop,2.9,
NSE:COALINDIA,B,2026-02-20,5.25,0.86,6.03,2026-02-24,424.0,401.3,5.35,11.92,0.1,2026-06-15,448.3,5.73,1.54,15.86,2.96,-1.89,trail,15.9,
NSE:TIMKEN,A,2026-02-27,10.99,0.78,13.22,2026-03-02,3351.0,3091.3,7.75,9.05,0.13,2026-06-29,3490.9,4.17,0.54,17.13,2.21,-10.24,eos,17.0,
NSE:HEG,A,2026-02-27,5.01,0.44,8.56,2026-03-02,552.5,548.75,0.68,6.07,0.1,2026-03-09,526.7,-4.67,-6.88,4.98,7.33,-8.31,stop,1.0,
NSE:SCHAEFFLER,A,2026-02-27,10.45,0.84,13.89,2026-03-02,4135.97,3870.06,6.43,5.54,0.11,2026-03-16,3789.32,-8.38,-1.3,7.14,1.11,-10.09,stop,2.0,
NSE:RRKABEL,A,2026-02-27,8.49,0.77,10.36,2026-03-02,1521.17,1426.4,6.23,13.57,0.16,2026-03-16,1335.73,-12.19,-1.96,3.15,0.51,-13.77,stop,2.0,
NSE:AUBANK,A,2026-03-06,7.18,0.81,9.51,2026-03-09,943.4,895.05,5.13,11.87,0.17,2026-03-16,880.6,-6.66,-1.3,0.84,0.16,-7.91,stop,1.0,
NSE:NLCINDIA,A,2026-03-13,9.06,0.21,16.46,2026-03-16,260.0,236.0,9.23,6.18,0.15,2026-06-15,321.6,23.69,2.28,49.15,5.32,-3.69,trail,13.0,
NSE:J&KBANK,A,2026-03-13,10.02,0.39,18.2,2026-03-16,121.14,109.03,10.0,15.62,0.25,2026-06-29,159.64,31.78,2.59,37.98,3.8,-10.85,eos,15.0,
NSE:TATASTEEL,A,2026-03-20,7.89,0.76,10.04,2026-03-23,189.1,177.59,6.09,11.49,0.23,2026-06-15,199.96,5.74,1.47,16.27,2.67,-3.36,trail,12.0,
NSE:KARURVYSYA,A,2026-03-27,13.59,0.82,17.55,2026-03-30,290.9,261.81,10.0,18.98,0.31,2026-06-29,298.85,2.73,0.27,10.69,1.07,-10.28,eos,13.0,
NSE:EMCURE,A,2026-03-27,12.64,0.81,15.79,2026-03-30,1654.9,1489.41,10.0,18.0,0.29,2026-06-29,1849.5,11.76,1.18,17.47,1.75,-11.96,eos,13.0,
NSE:APARINDS,A,2026-03-27,12.19,0.65,15.92,2026-03-30,10385.0,9346.5,10.0,19.02,0.33,2026-06-29,16022.0,54.28,3.71,65.21,6.52,-10.46,blowoff_half,13.0,
NSE:GMDCLTD,A,2026-04-02,5.89,0.52,7.83,2026-04-06,581.0,548.05,5.67,12.79,0.22,2026-05-18,648.0,11.53,2.02,32.86,5.79,-1.17,trail,6.0,
NSE:FORCEMOT,A,2026-04-02,8.74,0.58,10.21,2026-04-06,21108.0,19280.0,8.66,14.85,0.24,2026-06-08,17999.0,-14.73,-1.7,10.01,1.16,-18.75,stop,9.0,
NSE:HONASA,A,2026-04-10,12.96,0.88,16.18,2026-04-13,342.7,308.43,10.0,18.81,0.25,2026-06-29,446.45,30.27,2.51,31.02,3.1,-3.41,eos,11.0,
NSE:CANFINHOME,A,2026-04-24,6.33,0.84,7.62,2026-04-27,909.2,852.05,6.29,8.87,0.14,2026-05-18,846.1,-6.94,-1.1,3.82,0.61,-11.17,stop,3.0,
NSE:ANURAS,A,2026-04-24,4.82,0.53,8.44,2026-04-27,1354.9,1276.3,5.8,12.88,0.16,2026-06-15,1234.8,-8.86,-1.53,4.44,0.76,-10.83,stop,7.0,
NSE:ASTERDM,B,2026-04-24,4.54,0.56,5.21,2026-04-30,700.0,673.25,3.82,11.0,0.16,2026-06-29,765.7,9.39,2.23,19.5,5.1,-2.11,eos,8.6,
NSE:RRKABEL,A,2026-05-01,7.59,0.57,13.51,2026-05-04,1605.95,1448.15,9.83,17.7,0.2,2026-06-29,2502.3,55.81,3.84,58.72,5.98,-0.48,eos,8.0,
NSE:RBLBANK,A,2026-05-01,9.05,0.47,12.92,2026-05-04,339.0,306.1,9.71,14.79,0.17,2026-06-29,363.8,7.32,0.75,12.6,1.3,-6.06,eos,8.0,
NSE:IDEA,B,2026-05-01,6.46,0.65,10.36,2026-05-05,10.52,9.56,9.13,13.12,0.12,2026-06-01,14.2,34.98,2.92,37.26,4.08,-0.19,blowoff_half,3.9,
NSE:MOTHERSON,A,2026-05-08,10.32,0.7,12.12,2026-05-11,130.58,118.41,9.32,17.42,0.21,2026-06-29,150.56,15.3,1.64,18.89,2.03,-5.38,eos,7.0,
NSE:NEULANDLAB,B,2026-05-08,14.53,0.96,17.65,2026-05-12,17501.0,15750.9,10.0,20.0,0.24,2026-06-29,18088.0,3.35,0.34,7.02,0.7,-9.15,eos,6.9,
NSE:DELHIVERY,A,2026-05-15,3.11,0.09,5.1,2026-05-18,472.95,460.95,2.54,7.8,0.14,2026-05-25,449.1,-5.04,-1.99,0.0,0.0,-5.73,stop,1.0,
NSE:ACMESOLAR,A,2026-05-22,7.77,0.56,10.52,2026-05-25,292.9,267.65,8.62,12.37,0.17,2026-06-15,339.9,16.05,1.93,24.55,2.85,-2.07,blowoff_half,3.0,
NSE:STARHEALTH,A,2026-05-22,5.92,0.5,8.96,2026-05-25,522.85,491.9,5.92,11.69,0.16,2026-06-29,584.75,11.84,2.0,14.26,2.41,-1.88,eos,5.0,
NSE:MANAPPURAM,B,2026-05-22,8.75,0.66,10.55,2026-05-26,325.65,295.75,9.18,15.6,0.2,2026-06-29,315.45,-3.13,-0.34,2.03,0.22,-13.24,eos,4.9,
NSE:UNIONBANK,A,2026-05-29,3.56,0.6,6.1,2026-06-01,168.0,161.91,3.63,5.89,0.1,2026-06-29,174.56,3.9,1.08,5.71,1.58,-4.7,eos,4.0,
NSE:AMBER,A,2026-05-29,4.32,0.38,6.35,2026-06-01,7630.0,7286.0,4.51,4.01,0.1,2026-06-29,7413.0,-2.84,-0.63,7.71,1.71,-6.68,eos,4.0,
NSE:LTF,A,2026-05-29,4.92,0.83,6.2,2026-06-01,282.0,272.5,3.37,5.04,0.1,2026-06-08,264.1,-6.35,-1.88,1.22,0.36,-7.87,stop,1.0,
NSE:ABDL,B,2026-05-29,4.35,0.53,6.14,2026-06-02,545.97,529.42,3.03,2.13,0.09,2026-06-22,628.95,15.2,3.51,18.5,6.1,-1.58,blowoff_half,2.9,
NSE:PTCIL,A,2026-06-05,7.55,0.51,15.93,2026-06-08,18500.0,17124.0,7.44,11.13,0.17,2026-06-29,17193.0,-7.06,-0.95,4.57,0.61,-8.92,eos,3.0,
NSE:CCL,A,2026-06-05,3.35,0.55,4.4,2026-06-08,1070.0,1043.0,2.52,9.44,0.16,2026-06-29,1164.8,8.86,2.76,15.53,6.16,-0.82,eos,3.0,
NSE:AJANTPHARM,A,2026-06-05,4.2,0.23,6.22,2026-06-08,2945.1,2851.5,3.18,8.35,0.16,2026-06-29,3384.2,14.91,3.35,18.13,5.7,-0.0,eos,3.0,
NSE:MARICO,A,2026-06-12,2.3,0.49,4.09,2026-06-15,827.0,800.25,3.23,9.74,0.14,2026-06-29,839.95,1.57,0.48,2.13,0.66,-3.75,eos,2.0,
NSE:JSWSTEEL,B,2026-06-12,3.48,0.52,4.23,2026-06-16,1300.0,1252.5,3.65,10.33,0.14,2026-06-29,1239.0,-4.69,-1.28,0.19,0.05,-6.0,stop,1.9,
NSE:NYKAA,A,2026-06-19,10.6,0.77,12.4,2026-06-22,302.0,271.8,10.0,18.08,0.21,2026-06-29,302.05,0.02,0.0,2.57,0.26,-0.61,eos,1.0,
NSE:GALLANTT,A,2026-06-19,7.7,0.61,13.3,2026-06-22,727.45,658.4,9.49,17.01,0.18,2026-06-29,685.6,-5.75,-0.61,2.96,0.31,-7.07,eos,1.0,
NSE:GABRIEL,A,2026-06-19,11.83,0.84,15.18,2026-06-22,1215.0,1093.5,10.0,14.54,0.18,2026-06-29,1275.2,4.95,0.5,5.76,0.58,-1.53,eos,1.0,
NSE:LTF,A,2026-06-26,4.45,0.48,7.74,2026-06-29,299.0,285.7,4.45,8.46,0.1,2026-06-29,299.05,0.02,0.0,2.91,0.65,-0.5,eos,0.0,
NSE:USHAMART,A,2026-06-26,2.77,0.01,5.22,2026-06-29,478.0,460.0,3.77,8.63,0.1,2026-06-29,484.35,1.33,0.35,2.34,0.62,-0.28,eos,0.0,
NSE:SBIN,A,2026-06-26,2.38,0.21,3.42,2026-06-29,1044.45,1020.5,2.29,6.53,0.08,2026-06-29,1036.1,-0.8,-0.35,0.19,0.08,-1.3,eos,0.0,
NSE:HBLENGINE,A,2026-06-25,2.3,0.23,4.53,2026-06-29,828.0,808.25,2.39,1.68,0.05,2026-06-29,792.8,-4.25,-1.78,0.48,0.2,-4.68,eos,0.0,
