bucket,tv_symbol,signal_week,sig_ctl_pct,sig_body_frac,sig_range_pct,entry_date,entry,stop,risk_pct,ext_vs_sma,crs_rank,exit_date,exit_px,pct_move,R,mfe_pct,mae_pct,reason,weeks_held
GOOD_RANDOM,NSE:BAJAJFINSV,2019-03-15,4.56,0.8,5.92,2019-03-18,694.23,658.59,5.13,12.12,0.06,2019-07-08,846.61,21.95,3.14,23.1,-1.61,blowoff_half,16.0
GOOD_RANDOM,NSE:TEAMLEASE,2021-04-23,10.34,0.17,17.56,2021-04-26,3120.0,2808.0,10.0,19.97,0.06,2021-10-18,5020.5,60.91,4.05,77.88,-3.01,blowoff_half,25.0
WINNER_MATCHED,NSE:BAJFINANCE,2018-05-18,14.27,0.87,17.84,2018-05-21,205.7,185.13,10.0,19.24,0.17,2018-09-03,279.26,35.76,2.79,41.13,-3.3,blowoff_half,15.0
WINNER_MATCHED,NSE:GAYAPROJ,2017-08-24,11.51,0.63,14.1,2017-08-28,163.66,148.17,9.46,17.84,0.1,2018-01-08,207.21,26.61,2.41,38.71,-0.0,blowoff_half,19.0
WINNER_MATCHED,NSE:HINDPETRO,2023-11-10,13.72,0.86,17.93,2023-11-13,181.64,163.47,10.0,17.51,0.13,2024-01-29,262.95,44.76,3.24,59.47,-1.29,blowoff_half,11.0
WINNER_MATCHED,NSE:VIPIND,2018-03-23,8.26,0.26,10.73,2018-03-26,304.13,277.5,8.76,15.29,0.14,2018-05-21,383.15,25.98,2.48,40.16,-0.84,trail,8.0
WINNER_MATCHED,NSE:MUTHOOTFIN,2019-08-02,8.04,0.56,9.4,2019-08-05,553.61,510.01,7.88,15.47,0.15,2020-01-13,668.58,20.77,2.32,25.6,-10.19,blowoff_half,23.0
WINNER_MATCHED,NSE:MAZDOCK,2022-08-12,11.6,0.86,14.26,2022-08-16,150.45,135.41,10.0,15.87,0.1,2022-11-21,395.68,163.0,9.15,184.07,-4.08,blowoff_half,13.9
WINNER_MATCHED,NSE:CANBK,2023-07-07,9.33,0.9,11.29,2023-07-10,61.07,55.06,9.84,18.63,0.08,2024-03-18,100.09,63.89,4.24,80.67,-4.87,trail,36.0
WINNER_MATCHED,NSE:DELTACORP,2021-04-23,8.55,0.58,11.6,2021-04-26,151.36,136.49,9.82,18.56,0.05,2021-11-01,249.71,64.98,4.3,96.06,-7.8,trail,27.0
WINNER_MATCHED,NSE:LINDEINDIA,2024-03-15,13.39,0.83,18.2,2024-03-18,6427.45,5784.71,10.0,18.5,0.06,2024-05-06,8296.19,29.07,2.45,34.05,-1.76,blowoff_half,7.0
WINNER_MATCHED,NSE:HONASA,2026-04-10,12.96,0.88,16.18,2026-04-13,342.7,308.43,10.0,18.81,0.25,2026-06-29,446.45,30.27,2.51,31.02,-3.41,eos,11.0
