ticker,entry_date,exit_date,entry,exit,qty,days_held,reason,return_pct,pnl,decision_date,nms,nms_rank_pct,n_rankable,mr12,mr6,close,turnover_63d,nms_rank_in_band
AVANTIFEED,2018-02-01,2018-02-07,682.8269,691.687,5,4,rebalance_trim,1.2976,44.3007,2018-01-31,2.707830377353568,0.96,150,7.1812403440790655,1.2561256854960252,669.1112060546875,145059808.02392578,7.000000000000005
BRITANNIA,2018-02-01,2018-02-07,2076.0735,2037.9874,2,4,rebalance_trim,-1.8345,-76.1723,2018-01-31,1.6081371749926088,0.8266666666666667,150,2.8041528422752666,1.1228039242888246,2072.297607421875,531886962.671875,27.0
FCONSUMER,2018-02-01,2018-02-07,63.4692,62.3811,70,4,rebalance_trim,-1.7144,-76.1691,2018-01-31,2.3372508284965363,0.9466666666666667,150,4.594614112111633,1.6287643040444781,63.20000076293945,270385959.8594818,9.000000000000002
GODREJPROP,2018-02-01,2018-02-07,806.2142,778.5179,3,4,rebalance_trim,-3.4354,-83.0891,2018-01-31,1.6119988168485342,0.84,150,3.249902970418061,0.9616047682596309,799.5999755859375,115103702.25,25.000000000000004
KEC,2018-02-01,2018-02-07,334.8514,344.6923,11,4,rebalance_trim,2.9389,108.2497,2018-01-31,1.6447543139707312,0.86,150,4.113249277673582,0.6902438237342416,330.4397277832031,135493763.57266235,22.000000000000004
VENKEYS,2018-02-01,2018-02-07,2651.0343,2682.9188,1,4,rebalance_trim,1.2027,31.8845,2018-01-31,2.3243310581377985,0.94,150,7.481789333116617,0.523345927737981,2621.781494140625,180584437.85009766,10.000000000000007
VIPIND,2018-02-01,2018-02-07,331.9557,342.8468,12,4,rebalance_trim,3.2809,130.6926,2018-01-31,2.8231188079726266,0.9733333333333334,150,4.373194920015278,2.4972868307938367,327.8094787597656,156788632.85272217,4.999999999999993
BAJAJELEC,2018-02-01,2018-02-08,438.396,439.8264,6,5,rebalance_trim,0.3263,8.5823,2018-01-31,1.6059908154160956,0.82,150,2.585402867588763,1.2015055655496352,435.3494567871094,130408459.45730591,28.000000000000007
HFCL,2018-02-01,2018-02-12,28.7507,30.496,176,7,rebalance_trim,6.0704,307.1695,2018-01-31,1.616717599064605,0.8466666666666667,150,2.3962554958356805,1.289895253780475,28.687284469604492,193109746.16171265,24.0
PHILIPCARB,2018-02-01,2018-02-12,92.8673,89.1385,46,7,rebalance_trim,-4.0152,-171.5263,2018-01-31,2.255911191830684,0.9266666666666666,150,5.157634804471037,1.2857958493280262,93.191162109375,286802830.01434326,12.000000000000004
TORNTPOWER,2018-02-01,2018-02-12,228.203,219.1951,13,7,rebalance_trim,-3.9473,-117.1027,2018-01-31,1.644199554134813,0.8533333333333334,150,1.436793574428392,1.6947277648645478,230.88365173339844,253138257.39752197,22.999999999999993
DBL,2018-02-01,2018-02-14,909.6374,988.2524,3,8,rebalance_trim,8.6425,235.8449,2018-01-31,3.349229434778917,0.9933333333333333,150,7.317245471731799,2.241783600497845,897.7291870117188,274711685.59399414,2.000000000000006
UNOMINDA,2018-02-01,2018-02-14,197.7491,195.3619,18,8,rebalance_trim,-1.2072,-42.9696,2018-01-31,3.3379646046522664,0.9866666666666667,150,8.277383128057929,1.8629103469509656,199.83889770507812,131497665.25195312,2.9999999999999964
KEC,2018-02-01,2018-02-15,333.9948,367.4531,8,9,rebalance_trim,10.0176,267.6669,2018-01-31,1.6447543139707312,0.86,150,4.113249277673582,0.6902438237342416,330.4397277832031,135493763.57266235,22.000000000000004
BBTC,2018-02-01,2018-02-16,1378.9978,1427.9053,2,10,rebalance_trim,3.5466,97.8149,2018-01-31,2.953691240362195,0.98,150,5.347131416482586,2.3424935785966317,1364.679931640625,240248746.9921875,4.000000000000003
VENKEYS,2018-02-01,2018-02-16,2661.336,2744.6842,1,10,rebalance_trim,3.1318,83.3481,2018-01-31,2.3243310581377985,0.94,150,7.481789333116617,0.523345927737981,2621.781494140625,180584437.85009766,10.000000000000007
BBTC,2018-02-01,2018-02-20,1378.9978,1532.816,2,12,rebalance_trim,11.1543,307.6364,2018-01-31,2.953691240362195,0.98,150,5.347131416482586,2.3424935785966317,1364.679931640625,240248746.9921875,4.000000000000003
IBVENTURES,2018-02-01,2018-02-21,248.1663,256.837,10,13,rebalance_trim,3.4939,86.7077,2018-01-31,5.361283182397639,1.0,150,20.116482303105837,0.6861435190649217,245.4,363755520.0,1.0
VENKEYS,2018-02-01,2018-02-22,2665.5231,2740.8237,1,14,rebalance_trim,2.825,75.3006,2018-01-31,2.3243310581377985,0.94,150,7.481789333116617,0.523345927737981,2621.781494140625,180584437.85009766,10.000000000000007
BRITANNIA,2018-02-01,2018-02-23,2067.3091,2163.8903,2,15,rebalance_trim,4.6718,193.1622,2018-01-31,1.6081371749926088,0.8266666666666667,150,2.8041528422752666,1.1228039242888246,2072.297607421875,531886962.671875,27.0
VENKEYS,2018-02-01,2018-02-26,2665.5231,3166.0175,1,16,rebalance_trim,18.7766,500.4944,2018-01-31,2.3243310581377985,0.94,150,7.481789333116617,0.523345927737981,2621.781494140625,180584437.85009766,10.000000000000007
KEC,2018-02-01,2018-02-27,333.9948,400.9389,8,17,rebalance_trim,20.0435,535.5528,2018-01-31,1.6447543139707312,0.86,150,4.113249277673582,0.6902438237342416,330.4397277832031,135493763.57266235,22.000000000000004
VENKEYS,2018-02-01,2018-02-27,2665.5231,3335.194,1,17,rebalance_trim,25.1234,669.6709,2018-01-31,2.3243310581377985,0.94,150,7.481789333116617,0.523345927737981,2621.781494140625,180584437.85009766,10.000000000000007
AVANTIFEED,2018-02-01,2018-03-01,682.8269,726.2563,7,19,rebalance_trim,6.3602,304.0057,2018-01-31,2.707830377353568,0.96,150,7.1812403440790655,1.2561256854960252,669.1112060546875,145059808.02392578,7.000000000000005
BAJAJELEC,2018-02-01,2018-03-01,438.396,469.8682,14,19,rebalance_trim,7.1789,440.6104,2018-01-31,1.6059908154160956,0.82,150,2.585402867588763,1.2015055655496352,435.3494567871094,130408459.45730591,28.000000000000007
BALKRISIND,2018-02-01,2018-03-01,1061.0046,998.7723,5,19,rebalance_trim,-5.8654,-311.1616,2018-01-31,2.1443305810320226,0.9066666666666666,150,3.8295485128003097,1.6043195736181235,1057.161865234375,565077522.7001953,15.000000000000007
BATAINDIA,2018-02-01,2018-03-01,659.3423,676.0446,50,19,rebalance_exit,2.5332,835.1128,2018-01-31,1.5003259900955572,0.8133333333333334,150,2.324786518517845,1.1286083235975797,656.1114501953125,394820321.25738525,28.999999999999996
BBTC,2018-02-01,2018-03-01,1390.2296,1388.1263,3,19,rebalance_trim,-0.1513,-6.3098,2018-01-31,2.953691240362195,0.98,150,5.347131416482586,2.3424935785966317,1364.679931640625,240248746.9921875,4.000000000000003
BRITANNIA,2018-02-01,2018-03-01,2067.3091,2201.4271,2,19,rebalance_trim,6.4876,268.236,2018-01-31,1.6081371749926088,0.8266666666666667,150,2.8041528422752666,1.1228039242888246,2072.297607421875,531886962.671875,27.0
DBL,2018-02-01,2018-03-01,909.6374,942.4781,5,19,rebalance_trim,3.6103,164.2036,2018-01-31,3.349229434778917,0.9933333333333333,150,7.317245471731799,2.241783600497845,897.7291870117188,274711685.59399414,2.000000000000006
EDELWEISS,2018-02-01,2018-03-01,129.4466,123.8628,41,19,rebalance_trim,-4.3136,-228.9345,2018-01-31,1.8017306208414086,0.88,150,3.8563930502053023,1.0404628719893811,128.7095184326172,422128886.83496094,19.0
FCONSUMER,2018-02-01,2018-03-01,63.4733,59.3916,77,19,rebalance_trim,-6.4306,-314.2929,2018-01-31,2.3372508284965363,0.9466666666666667,150,4.594614112111633,1.6287643040444781,63.20000076293945,270385959.8594818,9.000000000000002
FRETAIL,2018-02-01,2018-03-01,553.482,517.2846,9,19,rebalance_trim,-6.5399,-325.7764,2018-01-31,1.709088796545232,0.8666666666666667,150,4.397041787373832,0.687629524737106,557.8499755859375,227339385.0,20.999999999999996
GNFC,2018-02-01,2018-03-01,383.4628,345.982,13,19,rebalance_trim,-9.7743,-487.2503,2018-01-31,1.734397698276943,0.8733333333333333,150,2.2791977609400402,1.5240828286172001,383.32086181640625,408991932.82421875,20.000000000000007
GODREJPROP,2018-02-01,2018-03-01,802.3006,778.2687,8,19,rebalance_trim,-2.9954,-192.2546,2018-01-31,1.6119988168485342,0.84,150,3.249902970418061,0.9616047682596309,799.5999755859375,115103702.25,25.000000000000004
HFCL,2018-02-01,2018-03-01,28.7366,29.4681,249,19,rebalance_trim,2.5454,182.1329,2018-01-31,1.616717599064605,0.8466666666666667,150,2.3962554958356805,1.289895253780475,28.687284469604492,193109746.16171265,24.0
HSCL,2018-02-01,2018-03-01,173.7466,156.7976,33,19,rebalance_trim,-9.755,-559.3167,2018-01-31,2.4670118259153533,0.9533333333333334,150,5.250599399827601,1.5920942768322097,173.53025817871094,242472915.53497314,7.999999999999995
IBVENTURES,2018-02-01,2018-03-01,248.1663,256.1012,20,19,rebalance_trim,3.1974,158.6996,2018-01-31,5.361283182397639,1.0,150,20.116482303105837,0.6861435190649217,245.4,363755520.0,1.0
IGL,2018-02-01,2018-03-01,134.2744,133.2874,48,19,rebalance_trim,-0.7351,-47.3756,2018-01-31,2.0863995025558757,0.8933333333333333,150,3.222459930349033,1.7387267812978426,133.87924194335938,492393124.85202026,17.000000000000004
JAICORPLTD,2018-02-01,2018-03-01,166.185,145.9957,29,19,rebalance_trim,-12.1487,-585.4877,2018-01-31,2.249660665054276,0.92,150,2.9073732065209343,2.1209781997631776,169.08351135253906,432702797.4949341,12.999999999999995
JINDALSAW,2018-02-01,2018-03-01,63.7088,58.9346,105,19,rebalance_trim,-7.4937,-501.2863,2018-01-31,1.4919866379541582,0.8066666666666666,150,2.9610047531273813,0.8761404711398171,64.22614288330078,197825123.47909546,30.000000000000004
KEC,2018-02-01,2018-03-01,333.9948,384.641,13,19,rebalance_trim,15.1638,658.4006,2018-01-31,1.6447543139707312,0.86,150,4.113249277673582,0.6902438237342416,330.4397277832031,135493763.57266235,22.000000000000004
KOLTEPATIL,2018-02-01,2018-03-01,353.4098,333.3795,98,19,rebalance_exit,-5.6677,-1962.9733,2018-01-31,2.820115588422675,0.9666666666666667,150,5.188690245502895,2.1861007801339967,349.91729736328125,134720976.83703613,5.999999999999999
