ticker,entry_date,stop_width_pct,r_multiple,return_pct,reason,population,stop_width_pct_card,stop_width_pct_engine,width_gap_pct,beyond_stop_r,designed_r
SUNPHARMA,2023-01-09 00:00:00,2.7392365258762434,-0.003,-3.6662684921437205,stop_part,historical,,,,,
NFL,2023-02-20 00:00:00,9.99342537804077,1.093,4.8980933596318055,sma_break,historical,,,,,
TVSSRICHAK,2023-05-12 00:00:00,9.999870400850167,-1.244,-12.436334417646222,stop,historical,,,,,
SUPRAJIT,2023-08-21 00:00:00,5.913631168314852,-0.866,-5.121005814242396,stop,historical,,,,,
SIEMENS,2022-12-12 00:00:00,7.382992748846403,2.858,16.979833275969682,sma_break,historical,,,,,
HINDZINC,2023-03-21 00:00:00,6.765053128689491,1.173,4.207005116096041,sma_break,historical,,,,,
HINDALCO,2023-10-04 00:00:00,2.0155171308269404,-0.158,-3.218842840960101,stop_part,historical,,,,,
FINCABLES,2023-12-05 00:00:00,9.673533071317118,-0.403,-3.900618173918191,sma_break,historical,,,,,
IIFL,2022-06-13 00:00:00,6.470906467900946,2.942,26.31942774705458,sma_break,historical,,,,,
USHAMART,2022-12-26 00:00:00,8.435765961930175,4.558,113.06455011589516,sma_break,historical,,,,,
GRAVITA,2022-11-28 00:00:00,5.780589536153188,6.285,123.4862693502785,sma_break,historical,,,,,
BORORENEW,2024-03-04 00:00:00,9.999999999999996,-1.29,-12.895847994370158,stop,historical,,,,,
NH,2020-10-05 00:00:00,10.000577901063327,6.99,244.90869163199264,sma_break,historical,,,,,
DELHIVERY,2026-07-06,9.7429,-1.05,-10.23,stop,live,9.7759,9.7429,0.339,-0.05,-1.0
CANFINHOME,2026-07-13,3.7551,-2.94,-11.04,stop,live,3.749,3.7551,0.162,-1.94,-1.0
GLENMARK,2026-07-13,3.1935,-0.93,-2.97,stop,live,3.2066,3.1935,0.41,0.0,-0.93
NATCOPHARM,2026-07-13,6.5158,-0.95,-6.19,sma_break,live,6.519,6.5158,0.049,0.0,-0.95
NLCINDIA,2026-07-13,5.5685,-1.97,-10.97,stop,live,5.5806,5.5685,0.217,-0.97,-1.0
BIOCON,2026-07-20,8.5948,-1.16,-9.97,stop,live,8.5604,8.5948,0.4,-0.16,-1.0
LINDEINDIA,2026-07-20,1.9397,-2.32,-4.5,stop,live,1.9378,1.9397,0.098,-1.32,-1.0
3MINDIA,2026-07-24,3.0351,-0.57,-1.73,stop,live,2.2254,3.0351,26.678,0.0,-0.57
GESHIP,2026-07-24,6.8562,-1.46,-10.01,stop,live,6.8085,6.8562,0.696,-0.46,-1.0
CCL,2026-08-14,2.4633,-2.18,-5.37,stop,live,1.5176,2.4633,38.392,-1.18,-1.0
HINDZINC,2026-08-28,2.6606,-1.65,-4.39,stop,live,5.6511,2.6606,112.399,-0.65,-1.0
