date,total_value
2026-07-06,1024851.982575916
2026-07-07,1029572.8696206635
2026-07-08,1007201.380658038
2026-07-09,1027101.3782028182
2026-07-10,1029144.2942574245
2026-07-13,1017562.1430512823
2026-07-14,1010671.6119564163
2026-07-15,1006440.4808288107
2026-07-16,1007068.1138633649
2026-07-17,1012185.2860411725
