as_of,ticker,week_ending,weekly_close,weekly_low,weekly_high,sma44,close_above_sma,touch_ok,dist_to_sma_pct,is_signal,is_grade_a,crs_rank_dist
2026-07-31,SIGNATURE,2026-07-30,813.45,780.55,829.5,929.08,False,True,-12.45,False,False,
2026-07-31,SJVN,2026-07-31,68.62,67.56,69.4,75.44,False,True,-9.04,False,False,
2026-07-31,SKFINDIA,2026-07-31,1479.6,1461.0,1516.9,1842.65,False,True,-19.7,False,False,
2026-07-31,SOBHA,2026-07-31,1372.2,1338.0,1385.0,1432.99,False,True,-4.24,False,False,
2026-07-31,SOLARINDS,2026-07-30,18053.0,17855.0,18694.95,14795.11,True,False,22.02,False,False,
2026-07-31,SONACOMS,2026-07-31,769.4,707.0,773.2,539.11,True,False,42.72,False,False,
2026-07-31,SONATSOFTW,2026-07-30,308.9,289.45,327.45,299.88,True,True,3.01,False,False,
2026-07-31,SRF,2026-07-30,2604.8,2595.7,2689.19,2771.19,False,True,-6.0,False,False,
2026-07-31,STARHEALTH,2026-07-31,601.0,577.2,624.9,497.07,True,False,20.91,False,False,
2026-07-31,SUMICHEM,2026-07-30,508.4,488.25,551.9,454.62,True,False,11.83,False,False,
2026-07-31,SUNDARMFIN,2026-07-30,4490.9,4343.1,4504.5,4744.89,False,True,-5.35,False,False,
2026-07-31,SUNDRMFAST,2026-07-30,966.15,933.5,976.4,898.68,True,True,7.51,False,False,
2026-07-31,SUNPHARMA,2026-07-31,1990.5,1933.0,2046.9,1757.06,True,False,13.29,False,False,
2026-07-31,SUNTV,2026-07-30,511.5,485.35,519.8,554.43,False,True,-7.74,False,False,
2026-07-31,SUPREMEIND,2026-07-30,3459.9,3297.0,3534.0,3613.69,False,True,-4.26,False,False,
2026-07-31,SUZLON,2026-07-31,48.01,45.93,53.2,51.31,False,True,-6.43,False,False,
2026-07-31,SWIGGY,2026-07-31,284.86,252.96,298.85,321.99,False,True,-11.53,False,False,
2026-07-31,SWSOLAR,2026-07-31,203.96,203.16,213.0,208.95,False,True,-2.39,False,False,
2026-07-31,SYNGENE,2026-07-31,385.9,375.25,417.5,509.73,False,True,-24.29,False,False,
2026-07-31,SYRMA,2026-07-31,1366.8,1257.0,1468.0,939.64,True,False,45.46,False,False,
2026-07-31,TANLA,2026-07-30,593.05,582.25,627.05,525.76,True,False,12.8,False,False,
